secs,pps,tps,gps,glst,bpc
0,2813653,274660,6853,138,0.009
5,2305142,467471,6038,1111,0.023
10,2033905,698358,5880,638,0.031
15,2037580,905525,5696,1565,0.043
20,2069330,1117695,5664,1472,0.057
25,2027456,1357514,5603,2211,0.068
30,1957997,1582979,5595,2736,0.078
35,1890356,1816203,5576,3183,0.087
40,1900003,2074382,5596,3551,0.098
45,1862278,2312788,5593,3812,0.108
50,1799927,2534617,5579,4568,0.115
55,1739994,2767318,5565,5230,0.122
60,1750638,3051043,5607,132,0.131
65,1741369,3262831,5582,684,0.140
70,1711983,3465086,5564,835,0.148
75,1685589,3708731,5556,1637,0.156
80,1687435,3918639,5551,2155,0.167
85,1658777,4176261,5563,2564,0.174
90,1650390,4393154,5552,3187,0.183
95,1643408,4586513,5526,68,0.192
100,1638624,4796897,5506,7,0.203
105,1641993,5009235,5490,179,0.212
110,1681924,5256586,5500,755,0.226
115,1679327,5492768,5498,1309,0.237
120,1718134,5715234,5494,1937,0.253
125,1717154,5932644,5487,2411,0.262
130,1745732,6185411,5490,3075,0.279
135,1745334,6401546,5492,3614,0.288
140,1741623,6644834,5487,4391,0.298
145,1737864,6903932,5495,5200,0.307
150,1741042,7102505,5483,5514,0.318
155,1754034,7302727,5473,6060,0.333
160,1745849,7566185,5484,6387,0.341
165,1754916,7768981,5476,6621,0.352
170,1753095,8017600,5477,6870,0.363
175,1766147,8253171,5484,7409,0.376
180,1748636,8477416,5476,7664,0.384
185,1745574,8733918,5481,8541,0.393
190,1732412,8935212,5474,9166,0.401
195,1718215,9174040,5476,10203,0.408
200,1706126,9415513,5479,10357,0.415
205,1706588,9673283,5485,10944,0.425
210,1706854,9890281,5481,905,0.432
215,1712792,10127779,5481,1908,0.444
220,1700624,10359821,5486,2157,0.451
225,1728583,10615135,5490,2583,0.467
230,1730680,10852766,5490,3058,0.480
235,1725409,11071711,5487,3928,0.489
240,1714198,11309739,5488,4127,0.495
245,1734210,11540544,5486,4446,0.512
250,1733182,11800130,5491,4788,0.522
255,1726726,12013026,5492,4879,0.530
260,1728048,12262865,5492,5097,0.541
265,1734563,12483462,5491,6088,0.553
270,1745497,12741197,5495,5668,0.567
275,1755504,12987115,5499,6462,0.581
280,1761179,13221432,5498,6528,0.593
285,1763612,13450221,5500,6584,0.604
290,1756488,13660123,5494,7333,0.613
295,1749415,13885503,5489,7785,0.620
300,1747807,14087646,5485,8117,0.630
305,1767018,14351013,5491,8240,0.648
310,1764440,14558920,5490,9257,0.657
315,1774714,14815642,5493,9846,0.672
320,1771141,15067567,5494,9850,0.682
325,1769330,15308189,5496,10849,0.691
330,1775802,15528328,5494,11411,0.704
335,1768847,15775489,5494,11758,0.712
340,1772422,16002493,5495,11857,0.724
345,1770951,16238338,5495,12074,0.734
350,1761861,16491992,5497,13145,0.741
355,1768351,16693966,5493,13694,0.754
360,1766149,16934473,5495,13707,0.764
365,1765597,17149127,5492,14097,0.774
370,1765013,17376872,5493,14731,0.784
375,1762965,17613741,5493,14903,0.794
380,1766711,17875175,5497,382,0.805
385,1760139,18127642,5498,333,0.813
390,1768851,18352087,5498,1117,0.827
395,1765844,18580679,5496,1796,0.836
400,1761713,18819843,5497,2302,0.844
405,1761025,19040361,5496,3000,0.855
410,1760442,19293450,5497,3267,0.865
415,1758389,19495734,5495,3548,0.874
420,1756063,19733184,5495,4180,0.884
425,1762270,19948340,5492,4661,0.898
430,1756618,20141311,5487,5623,0.905
435,1753793,20398981,5490,6968,0.914
440,1765630,20618257,5489,7674,0.930
445,1762396,20856605,5489,7919,0.938
450,1761191,21096892,5490,8269,0.950
455,1756648,21345323,5494,8258,0.958
460,1759071,21576776,5493,8666,0.969
465,1766285,21814968,5493,9562,0.984
470,1773760,22058772,5495,9227,0.999
475,1774616,22296460,5495,10325,1.010
480,1777360,22510984,5493,10776,1.022
485,1775302,22711741,5490,11272,1.031
490,1770730,22971769,5493,12062,1.039
495,1766760,23199259,5491,12284,1.048
500,1765824,23428528,5492,12306,1.057
505,1765372,23677038,5493,13065,1.067
510,1761498,23929944,5494,13555,1.076
515,1760336,24190647,5497,13558,1.085
520,1757045,24408416,5498,14075,1.094
525,1756236,24657686,5498,13603,1.104
530,1757499,24900280,5499,13504,1.115
535,1756613,25124032,5499,13531,1.125
540,1760611,25403831,5504,13342,1.138
545,1755895,25653499,5506,12845,1.146
550,1751215,25905376,5507,13101,1.153
555,1752005,26172959,5511,13729,1.164
560,1748004,26363195,5506,379,1.172
565,1749634,26643790,5511,552,1.184
570,1749563,26864194,5510,1292,1.194
575,1747344,27083680,5508,1685,1.203
580,1745847,27346251,5511,1516,1.212
585,1747633,27602670,5513,1964,1.224
590,1755085,27866846,5516,2081,1.239
595,1754471,28126004,5518,2321,1.250
600,1753725,28371286,5519,2411,1.260
605,1758462,28633747,5522,2975,1.274
610,1758168,28876714,5523,3340,1.283
615,1761338,29139692,5525,3878,1.297
620,1759938,29372855,5524,4368,1.306
625,1758110,29621191,5526,5401,1.315
