secs,pps,tps,gps,glst,bpc
0,235520,289865,6079,152,0.002
5,346912,589698,6031,460,0.004
10,346308,840681,5943,940,0.006
15,305854,1128523,5956,1954,0.008
20,305137,1356441,5883,2752,0.009
25,328015,1640994,5902,2981,0.012
30,330840,1901318,5885,38,0.014
35,309806,2199593,5959,117,0.015
40,305501,2435864,5899,731,0.017
45,293694,2658007,5869,1914,0.018
50,282818,2898376,5830,2413,0.020
55,278795,3108293,5807,2280,0.021
60,270812,3349890,5777,2234,0.022
65,270433,3587693,5765,3019,0.024
70,260095,3819023,5745,3027,0.025
75,259024,4016028,5712,3298,0.026
80,255130,4262567,5700,3819,0.027
85,252113,4504919,5698,4274,0.028
90,254730,4731172,5693,4438,0.030
95,254099,4959639,5676,756,0.032
100,258755,5199559,5673,765,0.034
105,257806,5417292,5659,1134,0.035
110,255243,5671004,5659,1516,0.037
115,257447,5910999,5657,1168,0.038
120,254644,6128089,5645,1767,0.040
125,254340,6380720,5643,2358,0.041
130,251780,6622063,5643,2946,0.042
135,252460,6842091,5634,2981,0.044
140,247989,7076737,5629,3877,0.045
145,242659,7292974,5619,4166,0.045
150,242675,7553946,5625,4592,0.047
155,242544,7774331,5618,5216,0.048
160,241747,7997572,5614,5586,0.049
165,239616,8208948,5602,5508,0.050
170,239129,8408080,5591,6058,0.052
175,236582,8611662,5575,7197,0.053
180,238647,8874168,5583,774,0.055
185,235820,9072761,5565,1476,0.055
190,235610,9276541,5559,1901,0.057
195,235143,9488188,5557,2215,0.058
200,232746,9721729,5548,3326,0.059
205,229768,9922977,5541,3792,0.060
210,227596,10115632,5529,4446,0.060
215,227992,10312868,5521,4646,0.062
220,227108,10554214,5517,5490,0.063
225,227418,10754131,5510,5701,0.064
230,228976,10957920,5506,5190,0.067
235,231343,11147916,5495,6719,0.068
240,231954,11371652,5489,455,0.070
245,231732,11535664,5478,1423,0.071
250,233137,11717645,5464,2816,0.073
255,233255,11909709,5455,3567,0.075
260,231408,12118851,5449,4914,0.075
265,231388,12320541,5445,5992,0.077
270,230705,12516805,5439,7290,0.078
275,229847,12713799,5434,7667,0.079
280,229172,12929229,5426,8969,0.080
285,227923,13097128,5418,9781,0.081
290,227628,13279430,5407,10894,0.083
295,227988,13469278,5400,371,0.084
300,228713,13681559,5397,1118,0.085
305,227441,13859093,5389,1689,0.087
310,229177,14068409,5385,2330,0.089
315,228600,14269069,5382,3138,0.090
320,226849,14424584,5367,4217,0.091
325,227040,14566509,5356,5095,0.092
330,226063,14755359,5349,5148,0.093
335,224907,14942349,5342,6489,0.094
340,224899,15132463,5337,7475,0.095
345,223250,15324362,5332,7695,0.096
350,225460,15510727,5325,8926,0.098
355,226731,15713288,5324,9372,0.100
360,226691,15932227,5325,9970,0.101
365,226596,16106494,5318,10720,0.103
370,229795,16264522,5306,11756,0.105
375,229363,16453810,5301,12305,0.107
380,228474,16636828,5298,13659,0.108
385,230438,16807395,5291,14349,0.110
390,229354,17031910,5290,14473,0.111
395,229925,17247055,5290,15185,0.113
400,232627,17575957,5307,92,0.113
405,232885,17793067,5308,464,0.115
410,233723,17986574,5305,1704,0.116
415,234050,18181954,5302,1955,0.118
420,233223,18377928,5300,2426,0.119
425,232093,18576890,5298,2872,0.120
430,232178,18820068,5300,3281,0.121
435,232848,19020657,5299,3254,0.123
440,232652,19264537,5301,3681,0.124
445,232104,19478801,5303,4071,0.125
450,232350,19724812,5305,4773,0.127
455,232358,19934114,5307,4757,0.128
460,233202,20169567,5306,5161,0.130
