secs,pps,tps,gps,glst,bpc
0,7909893,15524,552,5425,0.00826
2,8324012,45284,566,15072,0.0291
4,8278216,79731,587,24322,0.0478
6,8260401,112466,590,33928,0.0679
8,8224096,141047,585,42995,0.0878
10,8408811,172751,584,52437,0.11
12,8275136,192386,576,60724,0.127
14,8201193,217494,565,69387,0.147
16,8108774,245739,565,78562,0.166
18,8191953,274880,566,88069,0.187
20,8171428,303881,567,96720,0.206
22,8194063,331729,566,105363,0.227
24,8217677,363412,571,114895,0.247
26,8226863,395845,573,124513,0.267
28,8291749,424929,573,133524,0.289
30,8227325,448776,570,142346,0.307
32,8209896,477854,570,151789,0.326
34,8190026,508441,570,161167,0.346
36,8273473,531140,568,169713,0.367
38,8224460,554383,565,178337,0.386
40,8186073,577034,562,186209,0.404
42,8109065,599719,559,194143,0.421
44,8085208,626352,560,203081,0.439
46,8073470,653167,558,212025,0.458
48,8058791,679455,559,221113,0.476
50,7998437,700877,555,229287,0.492
52,8009115,729867,556,238240,0.513
54,7997710,758430,557,247337,0.531
56,7999452,782559,555,256144,0.55
58,7977991,804506,553,264037,0.568
60,7934760,819617,549,3617,0.589
62,7899388,845464,549,12642,0.606
64,7878655,876213,550,21695,0.623
66,7870005,904801,550,30795,0.642
68,7881696,927221,550,38997,0.662
70,7854739,950654,549,47033,0.679
72,7835628,974486,548,55016,0.696
74,7827578,999246,548,63879,0.715
76,7849665,1027276,548,72806,0.736
78,7853290,1049104,547,81269,0.755
80,7842356,1075493,547,89161,0.774
82,7830494,1096321,545,97350,0.791
84,7850805,1121442,545,106465,0.812
86,7866802,1147324,545,115135,0.833
88,7893538,1175044,545,123982,0.855
90,7854138,1191888,543,131928,0.87
92,7828802,1211081,541,139963,0.886
94,7819605,1230986,540,148027,0.905
96,7807803,1252417,539,155918,0.922
98,7792000,1279127,539,164851,0.94
100,7792192,1303745,539,173485,0.959
102,7813589,1331106,539,182168,0.979
104,7811528,1348983,538,189991,0.998
106,7810461,1368568,537,198321,1.02
108,7796802,1390337,536,206316,1.04
110,7773448,1410340,535,214462,1.05
112,7787419,1434209,534,222495,1.07
114,7797200,1457973,534,230768,1.09
116,7794297,1483818,534,240168,1.11
118,7793922,1514772,535,249477,1.13
120,7793420,1543771,536,258258,1.15
122,7780710,1562576,535,266310,1.17
124,7779789,1589907,535,274765,1.18
126,7789542,1618645,536,283942,1.2
128,7782836,1643575,536,292066,1.22
130,7787105,1670840,536,300933,1.24
132,7810302,1694522,535,309295,1.26
134,7828325,1727721,537,318527,1.29
136,7834538,1757024,537,327455,1.31
138,7823817,1785649,538,336176,1.33
140,7815162,1806409,537,343786,1.34
142,7800660,1828327,536,351719,1.36
144,7787113,1844995,535,359939,1.37
146,7786687,1870459,535,368459,1.39
148,7777401,1895548,535,376898,1.41
150,7785047,1924160,536,385786,1.43
152,7797089,1950765,536,394027,1.45
154,7816581,1983410,537,402992,1.48
156,7831018,2016937,538,412142,1.5
158,7838288,2048878,538,421655,1.52
160,7827278,2071013,538,429703,1.54
162,7815713,2094741,538,437795,1.55
164,7802406,2114223,537,445958,1.57
166,7805135,2137459,537,453996,1.59
168,7792848,2159151,536,462108,1.6
170,7793118,2190475,537,2946,1.62
172,7812204,2219689,537,11894,1.64
174,7802979,2247125,537,20804,1.66
176,7796443,2267822,537,28614,1.67
178,7797374,2301173,538,37396,1.69
180,7807910,2326275,538,46257,1.71
182,7804236,2354488,538,54543,1.73
184,7797926,2378248,538,62553,1.75
186,7797883,2404129,538,71127,1.77
188,7811940,2429009,538,79936,1.79
190,7807890,2454889,538,88470,1.81
192,7798878,2477216,538,96339,1.83
194,7791323,2497133,537,104369,1.84
196,7794489,2517415,537,112471,1.86
198,7786291,2541117,536,120767,1.88
200,7785636,2572502,537,129627,1.9
202,7786417,2602324,537,138424,1.92
204,7781232,2633241,538,147564,1.93
206,7772039,2652140,538,156228,1.95
208,7783537,2686444,538,165533,1.97
210,7793651,2718245,539,174572,1.99
212,7817354,2749539,539,183537,2.02
214,7814436,2777700,540,192071,2.04
216,7828181,2807781,540,200742,2.06
218,7836053,2833776,540,209301,2.08
220,7840791,2863502,541,218720,2.1
222,7852523,2895219,541,227853,2.12
224,7860852,2928777,542,237442,2.15
226,7866321,2957193,542,6499,2.15
228,7863759,2984892,542,15248,2.17
230,7875272,3017865,543,24912,2.19
232,7885024,3051938,544,34360,2.22
234,7894625,3084073,544,44123,2.24
236,7900280,3113344,544,52720,2.26
238,7901639,3140729,545,61326,2.28
240,7903298,3170801,545,70772,2.3
242,7921458,3204433,546,80189,2.32
244,7924711,3240939,546,89755,2.34
246,7921239,3267948,546,98193,2.36
248,7926580,3297428,547,106811,2.38
250,7932101,3330178,547,116819,2.4
252,7940376,3367101,548,126431,2.42
254,7944620,3400374,549,135928,2.44
256,7940845,3428657,549,144559,2.46
258,7956276,3458486,549,154023,2.49
260,7962445,3487766,549,163425,2.51
262,7967701,3527614,550,172907,2.53
264,7962451,3555603,550,181559,2.55
266,7977296,3586627,551,7197,2.56
268,7988295,3619641,551,16747,2.58
270,7993878,3656567,552,26548,2.6
272,7989768,3683781,552,35052,2.62
274,7998528,3715712,553,44235,2.64
276,8000103,3750804,553,54034,2.66
278,8004263,3783776,553,63404,2.68
280,7997199,3808456,553,71756,2.7
282,8001326,3838940,554,81590,2.72
284,8004794,3872002,554,90950,2.74
286,8001306,3903972,554,100566,2.76
288,8001303,3934821,555,109310,2.78
290,8014692,3968816,555,118995,2.8
292,8024101,4002060,556,128538,2.83
294,8030255,4031506,556,138280,2.85
296,8032328,4058298,556,146913,2.87
298,8033205,4092076,556,156699,2.89
300,8038538,4122421,556,166233,2.91
302,8042174,4154790,557,176072,2.93
304,8041644,4182112,557,184650,2.95
306,8045718,4213957,557,194631,2.97
308,8058916,4250104,558,204440,2.99
310,8074014,4286988,558,214077,3.02
312,8070224,4315467,558,222591,3.04
314,8071381,4344515,558,232124,3.06
316,8071962,4375019,559,241663,3.08
318,8081379,4411570,559,251187,3.1
320,8080693,4436270,559,259899,3.12
322,8116221,4474202,560,269357,3.15
324,8122690,4511392,560,278942,3.17
326,8122285,4539137,560,6559,3.18
328,8129215,4565336,560,15228,3.2
330,8131918,4598192,560,24577,3.22
332,8133866,4631520,561,34110,3.24
334,8131832,4660506,561,43489,3.26
336,8125398,4685178,561,51994,3.28
338,8131185,4721746,561,61775,3.3
340,8134908,4755476,562,71352,3.32
342,8153056,4789727,562,81292,3.34
344,8154035,4818483,562,89909,3.37
346,8163473,4854406,562,99491,3.39
348,8172007,4885050,563,108852,3.41
350,8176399,4916693,563,118028,3.43
352,8177617,4945785,563,126543,3.45
354,8181689,4979194,563,136169,3.47
356,8181461,5012360,563,145770,3.5
358,8191929,5047008,564,155196,3.52
360,8188198,5070426,564,163706,3.54
362,8189252,5107612,564,173654,3.56
364,8196854,5141406,564,183465,3.58
366,8204156,5175385,565,192866,3.6
368,8201480,5204216,565,201428,3.62
370,8204413,5238228,565,211180,3.64
372,8212204,5274515,565,221164,3.66
374,8216832,5309841,566,231226,3.69
376,8212547,5338842,566,239847,3.71
378,8221623,5379849,567,249607,3.73
380,8222594,5408987,567,259167,3.75
382,8226311,5441169,567,268795,3.77
384,8225513,5470001,567,277422,3.79
386,8228957,5500933,567,287131,3.81
388,8226342,5537128,567,296655,3.83
390,8230062,5571985,568,306271,3.85
392,8226423,5599888,568,315065,3.87
394,8227727,5629622,568,324875,3.89
396,8232155,5669682,568,334560,3.91
398,8235380,5701953,569,344344,3.93
400,8241851,5732504,569,352757,3.95
402,8247497,5765870,569,362409,3.98
404,8248590,5796560,569,371879,4.001
406,8249678,5826122,569,381438,4.02
408,8250689,5855572,569,390165,4.04
410,8255734,5894938,569,399719,4.06
412,8265936,5929093,570,409451,4.09
414,8271875,5966738,570,419068,4.11
416,8280818,5995907,570,427781,4.13
418,8287738,6028970,570,437475,4.16
420,8294550,6060420,571,447328,4.18
422,8298151,6100861,571,456987,4.2
424,8295604,6128920,571,465727,4.22
426,8300633,6162867,571,475237,4.24
428,8306016,6197181,572,484623,4.26
430,8315755,6231363,572,494386,4.29
432,8313616,6259844,572,502843,4.31
434,8314734,6290576,572,512679,4.33
436,8318644,6326545,572,522139,4.35
