secs,pps,tps,gps,glst,bpc
2,7538481,13543,702,3854,0.0108
4,8549014,41008,770,9624,0.0338
6,8856002,65178,772,15484,0.056
8,9245337,89594,775,21124,0.0777
10,9331305,117217,790,27614,0.101
12,9412055,143722,804,33485,0.123
14,9486891,175284,815,39325,0.146
16,9505718,202498,819,45070,0.167
18,9514779,227222,822,50882,0.188
20,9613747,257850,824,57088,0.212
22,9659983,283394,824,62739,0.235
24,9670427,309291,825,68859,0.256
26,9676560,337074,827,74566,0.279
28,9701208,362808,827,80714,0.3
30,9708694,387778,826,87178,0.321
32,9682011,412160,823,93016,0.344
34,9824389,442482,827,99054,0.371
36,9897323,471812,831,104704,0.394
38,9947844,504456,835,110757,0.42
40,9923637,531944,836,116973,0.441
42,9946902,557670,836,123307,0.463
44,10012000,587525,837,129801,0.489
46,10013859,613715,838,135527,0.513
48,10019751,643142,839,141665,0.535
50,10031999,673077,840,147228,0.558
52,10056855,703415,842,153120,0.581
54,10043982,727137,842,158842,0.603
56,10001175,745590,837,164433,0.622
58,10006366,766494,835,170415,0.645
60,9971058,792166,834,175790,0.665
62,10010403,813344,832,181088,0.691
64,10009690,841050,832,186596,0.713
66,9991469,861944,830,191984,0.734
68,9982729,885393,828,197674,0.756
70,9955905,909677,828,203442,0.776
72,9955791,936631,828,208863,0.799
74,9935073,960069,827,214037,0.82
76,9916367,987370,827,219416,0.841
78,9939954,1010493,826,225342,0.864
80,9950637,1039795,827,230720,0.888
82,9948805,1064324,828,235852,0.91
84,9932758,1092391,827,241517,0.93
86,9927374,1114880,827,247217,0.951
88,9899397,1137441,826,253063,0.971
90,9906455,1162736,825,258952,0.994
92,9880488,1180548,823,264351,1.01
94,9856802,1198992,820,269730,1.03
96,9833308,1221138,819,275224,1.05
98,9842648,1248572,819,280708,1.08
100,9841765,1271246,819,285962,1.1
102,9839709,1300944,820,291704,1.12
104,9825844,1325756,820,297194,1.14
106,9844574,1348475,819,302687,1.16
108,9824696,1373301,819,308311,1.18
110,9818054,1394717,818,313293,1.21
112,9816725,1415171,817,318939,1.23
114,9801559,1441395,816,324250,1.25
116,9787265,1462064,815,329844,1.27
118,9750330,1480912,814,335392,1.28
120,9754938,1504606,814,341415,1.31
122,9740853,1524946,812,347050,1.33
124,9751926,1553376,813,352618,1.35
126,9748313,1572412,812,358271,1.37
128,9728515,1597276,811,363697,1.39
130,9723249,1620699,811,369882,1.41
132,9724345,1644719,811,375629,1.43
134,9706697,1664681,810,381020,1.45
136,9710805,1690772,810,386402,1.47
138,9695499,1712200,810,392042,1.49
140,9680824,1733919,809,397205,1.51
142,9673047,1756797,808,402653,1.53
144,9661186,1781157,808,408021,1.55
146,9662423,1808912,809,413467,1.58
148,9684917,1829048,808,418759,1.6
150,9685677,1852902,808,424900,1.62
152,9661210,1875188,806,2885,1.66
154,9665061,1895447,806,8268,1.69
156,9669856,1919161,806,13670,1.71
158,9690375,1947508,806,19110,1.73
160,9689206,1975531,807,24807,1.76
162,9688459,2000552,807,30261,1.78
164,9695725,2025209,807,35522,1.8
166,9691532,2048698,807,40931,1.82
168,9680826,2078202,807,46378,1.84
170,9680039,2102638,808,51956,1.87
172,9668054,2130953,808,57703,1.89
174,9660211,2154049,808,63269,1.91
176,9691589,2180366,808,69102,1.93
178,9693489,2204534,809,75030,1.96
180,9691063,2228501,808,80939,1.98
182,9700154,2260680,809,87271,2.001
184,9705574,2294461,811,93408,2.02
186,9726646,2321049,812,99939,2.05
188,9729312,2347941,812,105902,2.07
190,9739818,2373345,812,111860,2.1
192,9736432,2399744,812,117725,2.12
194,9713555,2418376,812,123322,2.13
196,9705827,2446015,811,128528,2.16
198,9697359,2469941,811,134197,2.18
200,9702102,2493990,811,140091,2.2
202,9693629,2519392,811,146331,2.22
204,9706917,2551728,812,152909,2.24
206,9719005,2580242,813,159126,2.27
208,9730976,2612946,814,165340,2.3
210,9742555,2642560,814,171335,2.32
212,9748851,2671700,815,177615,2.34
214,9769226,2701204,816,183162,2.37
216,9773763,2731539,816,188927,2.39
218,9778444,2758400,817,194634,2.42
220,9786719,2787987,818,201016,2.44
222,9786321,2814575,818,207023,2.46
224,9780321,2843828,818,212914,2.48
226,9784510,2875429,819,218783,2.51
228,9802702,2903091,820,224417,2.53
230,9802779,2933478,820,230700,2.56
232,9805848,2960656,820,236934,2.58
234,9811022,2986188,821,243022,2.6
236,9816654,3016570,821,248899,2.63
238,9818534,3042170,821,254712,2.65
240,9836341,3073771,822,260725,2.67
242,9849806,3099772,822,2572,2.7
244,9845626,3121348,822,8766,2.73
246,9854921,3150529,822,14752,2.75
248,9857150,3180092,822,20502,2.77
250,9858173,3204350,822,26110,2.8
252,9845960,3224789,822,31551,2.81
254,9826239,3242943,821,36939,2.83
256,9827638,3267678,820,42376,2.85
258,9821220,3288940,820,5543,2.87
260,9821326,3310329,820,11024,2.89
262,9811784,3331630,819,16366,2.91
264,9800336,3352343,818,21720,2.93
266,9798979,3376452,819,27711,2.95
268,9801270,3401192,818,33134,2.97
270,9787694,3421899,818,38842,2.99
272,9788863,3447734,818,44632,3.02
274,9781422,3474436,818,50195,3.04
276,9783697,3495377,817,56298,3.06
278,9784184,3522644,818,61819,3.08
280,9781335,3547097,817,67441,3.1
282,9778051,3575294,818,73021,3.12
284,9772833,3604685,818,78792,3.15
286,9775664,3628052,818,84292,3.17
288,9775146,3650406,818,90252,3.19
290,9780851,3678715,818,96132,3.21
292,9784600,3707637,818,101645,3.24
294,9794363,3733601,819,107260,3.26
296,9791824,3757441,818,112949,3.28
298,9789303,3784570,819,118374,3.3
300,9791207,3809667,819,124085,3.33
302,9791732,3834048,818,130069,3.35
304,9792638,3860120,819,135853,3.37
306,9804311,3889810,819,141888,3.4
308,9806245,3914500,819,147818,3.42
310,9798973,3938516,819,153353,3.44
312,9813267,3968011,819,159373,3.47
314,9815408,4000859,820,165596,3.49
316,9828571,4031743,820,171917,3.52
318,9829814,4060488,821,177997,3.54
320,9830291,4088065,821,183798,3.56
322,9843572,4120485,822,189781,3.59
324,9848519,4147830,822,195882,3.62
326,9853040,4173785,822,202164,3.64
328,9854414,4203354,822,207915,3.66
330,9859211,4234783,823,213927,3.69
332,9854651,4260430,823,219891,3.71
334,9862365,4288691,823,225892,3.73
336,9864449,4317779,823,231631,3.75
338,9860350,4343443,824,237792,3.78
340,9860831,4374494,824,244063,3.8
342,9870690,4402888,824,250385,3.83
344,9873287,4433448,825,256433,3.85
346,9881736,4461068,825,262188,3.87
348,9884125,4489157,825,268037,3.9
350,9887113,4514065,825,273852,3.92
352,9889789,4544941,825,280176,3.94
354,9892169,4568175,825,286163,3.97
356,9894738,4597097,825,292091,3.99
358,9895828,4619852,825,297537,4.01
360,9890809,4644781,825,303271,4.03
362,9889905,4673213,825,308863,4.06
364,9896561,4696543,825,314547,4.08
366,9897067,4721052,825,320610,4.1
368,9901805,4744628,825,326127,4.13
370,9901463,4770825,825,331901,4.15
372,9900940,4794993,825,336813,4.17
374,9894440,4818331,824,342377,4.19
376,9888468,4839507,824,348111,4.21
378,9884904,4864964,824,353845,4.23
380,9880466,4887612,824,359133,4.25
382,9879133,4908402,824,365127,4.28
384,9873351,4935390,824,370370,4.3
386,9873918,4960738,823,375656,4.32
388,9874161,4986246,824,381153,4.34
390,9876748,5011882,823,386996,4.37
392,9877583,5033117,823,392874,4.39
394,9873218,5059743,823,398596,4.41
396,9875629,5084973,823,404222,4.43
398,9871184,5112373,823,409702,4.45
400,9875676,5137403,823,415977,4.48
402,9876262,5163627,823,421036,4.5
404,9874214,5188810,823,427422,4.52
406,9874354,5218276,823,432953,4.54
408,9876338,5243472,823,438318,4.57
410,9878655,5262960,823,443844,4.59
412,9874292,5289326,823,449504,4.61
414,9871573,5314616,823,455283,4.63
416,9876742,5339609,823,461181,4.66
418,9881305,5366487,823,467034,4.68
420,9884905,5391094,823,472660,4.7
422,9886227,5416837,823,478011,4.73
424,9887501,5440207,823,484044,4.75
426,9890724,5471165,823,489569,4.78
428,9889551,5494264,823,494948,4.8
430,9889684,5517121,823,500114,4.82
432,9887405,5540789,823,505941,4.84
434,9886693,5567211,823,511681,4.86
436,9886874,5591287,823,517253,4.88
438,9880242,5611816,822,5124,4.91
440,9885706,5643607,823,11304,4.93
442,9884229,5671498,823,17350,4.95
444,9890745,5696928,823,23510,4.98
446,9888721,5721115,823,28988,5.001
448,9887052,5747525,823,34781,5.02
450,9884993,5777262,823,40540,5.04
452,9884623,5797766,823,46477,5.06
454,9885945,5822416,823,52381,5.09
456,9888787,5841994,822,57988,5.11
458,9879614,5860759,822,63359,5.13
460,9878302,5882517,821,69170,5.15
462,9876989,5908739,822,75011,5.17
464,9873134,5929994,821,80786,5.19
466,9866543,5950443,821,86064,5.21
468,9862595,5978273,821,91547,5.23
470,9862538,6003110,821,97045,5.25
472,9866514,6027353,821,102463,5.27
474,9865290,6048309,821,107933,5.3
476,9863717,6078693,821,113856,5.32
478,9869330,6102213,821,119581,5.35
480,9867930,6129445,821,124908,5.37
482,9866955,6153572,821,130810,5.39
484,9866418,6177468,821,136173,5.41
486,9868144,6207582,821,142161,5.44
488,9869266,6231599,821,148033,5.46
490,9863369,6257903,821,154054,5.48
492,9864101,6279975,821,159572,5.5
494,9867879,6309877,821,165456,5.52
496,9870662,6337584,821,171281,5.55
