secs,pps,tps,gps,glst,bpc
0,6375017,1045,78,2517,0.00128
2,7361297,5800,87,13971,0.0203
4,7815926,12965,92,25281,0.0415
6,7653424,17273,90,34942,0.0601
8,7868901,22974,93,45603,0.0793
10,7661901,27754,91,56085,0.0976
12,7801675,33929,92,66921,0.119
14,7606345,37430,89,76098,0.135
16,7611519,42845,90,86537,0.154
18,7656903,47130,90,97053,0.174
20,7691356,52457,90,107370,0.194
22,7683759,58111,90,116563,0.213
24,7683252,62135,90,126311,0.231
26,7613824,64525,89,136701,0.247
28,7524893,68672,88,146747,0.265
30,7513547,72534,88,155779,0.28
32,7474928,77037,87,165837,0.299
34,7483614,81601,87,176085,0.318
36,7497800,88238,88,186073,0.338
38,7504748,91689,88,195435,0.355
40,7579523,97887,88,205633,0.378
42,7588353,102355,88,216083,0.397
44,7564045,106687,88,225935,0.416
46,7567602,111082,88,235046,0.433
48,7577786,115499,88,245299,0.454
50,7543264,119286,87,254971,0.472
52,7540746,123614,87,265005,0.49
54,7524066,127555,87,274162,0.506
56,7527391,133209,87,284299,0.525
58,7514752,137429,87,294337,0.543
60,7503591,142383,87,304536,0.562
62,7470031,145485,87,313631,0.577
64,7463782,150332,87,324347,0.595
66,7458324,154608,87,334521,0.613
68,7462646,159701,87,344865,0.633
70,7461458,163794,87,353860,0.651
72,7454617,169282,87,363509,0.669
74,7467418,174418,87,373991,0.689
76,7462932,178599,87,383824,0.707
78,7486562,184573,87,392675,0.729
80,7505668,189655,87,402728,0.748
82,7490106,192750,87,412569,0.765
84,7477936,196905,87,422492,0.783
86,7442444,200569,87,5493,0.805
88,7456166,205457,87,15440,0.825
90,7483274,211067,87,25841,0.846
92,7477847,215880,87,35931,0.864
94,7459267,219763,87,44986,0.88
96,7470168,224684,87,54936,0.901
98,7473601,229366,87,64612,0.92
100,7480076,233888,87,74231,0.94
102,7481591,237542,87,83219,0.959
104,7494479,242787,87,93576,0.979
106,7488799,248141,87,103702,0.997
108,7499256,252147,87,113945,1.02
110,7523303,257098,87,123021,1.04
112,7493550,259596,87,133442,1.05
114,7477759,263032,86,143341,1.07
116,7466062,267005,86,153210,1.09
118,7469582,271065,86,161977,1.11
120,7459456,274728,86,171956,1.12
122,7467664,280479,86,181725,1.14
124,7462034,284079,86,191713,1.16
126,7441613,287691,86,200650,1.18
128,7439834,292049,86,210912,1.19
130,7456681,296819,86,220878,1.22
132,7450599,300809,86,230905,1.23
134,7437351,304326,86,239671,1.25
136,7427964,307527,86,248867,1.27
138,7423118,312470,86,258644,1.29
140,7415821,316564,86,268465,1.3
142,7412520,320543,86,278329,1.32
144,7406318,323996,85,287318,1.34
146,7399877,328013,85,297432,1.36
148,7400897,332342,85,307159,1.37
150,7403887,336636,85,317016,1.39
152,7389559,340941,85,325798,1.41
154,7387984,344296,85,334658,1.43
156,7379124,348858,85,344562,1.45
158,7354659,350582,85,353852,1.46
160,7346240,353929,85,363181,1.47
162,7332976,355851,84,371806,1.49
164,7315845,359637,84,380333,1.5
166,7312266,363137,84,388915,1.52
168,7312208,367117,84,398415,1.54
170,7313960,371026,84,408503,1.56
172,7316847,375320,84,418241,1.58
174,7324317,380258,84,428126,1.6
176,7319109,384451,84,437347,1.62
178,7315496,389152,84,446695,1.63
180,7319408,393589,84,456036,1.65
182,7320250,396869,84,465205,1.67
184,7318556,401249,84,474966,1.69
186,7320619,405450,84,484915,1.71
188,7337088,411472,84,494944,1.73
190,7342415,416655,84,504382,1.75
192,7332701,419084,84,513061,1.76
194,7328664,422797,84,521897,1.78
196,7323541,426557,84,531280,1.8
198,7326783,431524,84,540794,1.82
200,7330605,436704,84,550314,1.84
202,7322579,439063,84,559450,1.85
204,7312548,443288,84,568186,1.87
206,7298349,446190,84,576756,1.89
208,7287434,449979,84,586026,1.9
210,7288630,454468,84,595504,1.92
212,7283129,458023,84,604937,1.94
214,7273487,460445,83,613777,1.95
216,7257372,463659,83,622821,1.97
218,7258595,468123,83,631769,1.98
220,7263460,473981,83,641928,2.001
222,7268185,479046,83,651473,2.02
224,7276483,484322,84,661272,2.04
226,7271467,487952,83,670152,2.06
228,7262959,491072,83,679920,2.08
230,7275013,496876,83,689584,2.1
232,7273734,500415,83,699005,2.12
234,7274369,503981,83,707851,2.13
236,7267078,508272,83,717225,2.15
238,7277805,513233,83,726702,2.17
240,7273423,516314,83,736495,2.19
242,7270353,519989,83,745177,2.2
244,7265236,523955,83,755194,2.22
246,7266655,529035,83,765082,2.24
248,7265341,532220,83,775020,2.26
250,7261237,536211,83,784044,2.28
252,7263231,539989,83,793809,2.3
254,7266656,544426,83,803655,2.31
256,7268677,549250,83,813454,2.33
258,7264509,552789,83,822462,2.35
260,7266116,557093,83,832589,2.37
262,7267930,562128,83,842277,2.39
264,7263352,565843,83,851636,2.4
266,7258453,568192,83,2710,2.42
268,7253964,572011,83,12142,2.44
270,7248155,575760,83,21750,2.45
272,7241135,579001,83,7696,2.49
274,7235114,582367,83,16703,2.51
276,7241072,586562,83,25676,2.53
278,7239084,591080,83,34680,2.55
280,7244923,596603,83,45015,2.57
282,7246394,600826,83,54946,2.58
284,7253168,605896,83,64588,2.61
286,7254993,609350,83,73598,2.62
288,7254334,614964,83,83154,2.64
290,7258557,619521,83,93046,2.66
292,7262636,624116,83,102687,2.68
294,7253860,626756,83,111558,2.7
296,7248541,630720,83,120612,2.72
298,7251960,635250,83,130098,2.73
300,7245305,639015,83,139759,2.75
302,7246597,643981,83,149351,2.77
304,7246051,647456,83,158173,2.79
306,7241898,651185,83,166810,2.8
308,7232455,653907,83,175542,2.82
310,7227467,658467,83,184517,2.84
312,7222411,661437,83,193115,2.85
314,7220452,665398,83,201800,2.87
316,7217225,668427,83,210591,2.89
318,7221783,673375,83,219968,2.9
320,7224427,676840,83,229769,2.92
322,7218572,681230,83,239147,2.94
324,7215406,684055,83,248019,2.95
326,7211676,688181,83,256835,2.97
328,7208242,692055,83,265573,2.99
330,7206368,695518,83,274201,3.01
332,7201985,698541,82,283030,3.02
334,7193544,702344,82,292006,3.04
336,7200084,707837,82,302038,3.06
338,7205555,711671,82,311822,3.08
340,7201276,716644,82,320594,3.1
342,7203327,720826,82,330659,3.12
344,7203839,724686,82,340380,3.13
346,7202260,728678,82,350245,3.15
348,7197314,731733,82,359266,3.17
350,7194429,735107,82,368019,3.18
352,7186816,738546,82,376914,3.2
354,7183055,742162,82,385512,3.22
356,7178472,745982,82,394160,3.23
358,7177027,750000,82,403438,3.25
360,7173635,752929,82,412429,3.27
362,7172139,756383,82,422204,3.28
364,7176616,762653,82,431631,3.31
366,7182985,767298,82,1450,3.31
368,7178426,770291,82,10252,3.33
370,7177911,774064,82,19104,3.35
372,7176800,778580,82,27945,3.36
374,7170232,781546,82,36756,3.38
376,7175560,786676,82,46540,3.4
378,7176576,790594,82,56635,3.42
380,7180139,795430,82,66731,3.44
382,7180924,799549,82,75623,3.46
384,7177961,803302,82,85432,3.47
386,7174534,806353,82,95221,3.49
388,7170755,809504,82,104837,3.51
390,7175485,812403,82,113791,3.53
392,7173240,816169,82,123146,3.54
394,7175505,820908,82,132787,3.56
396,7176046,824257,82,142321,3.58
398,7173808,827569,82,150662,3.6
400,7162864,829737,82,158888,3.61
402,7160536,832586,82,167386,3.63
404,7154388,835147,82,176013,3.64
406,7155410,839409,82,184830,3.66
408,7152264,843009,82,193138,3.68
410,7153031,847876,82,202828,3.7
412,7158651,853150,82,212829,3.72
414,7159864,857846,82,222846,3.74
416,7159177,861159,82,231716,3.75
418,7160274,865492,82,240626,3.77
420,7163552,870293,82,250967,3.79
422,7163870,874170,82,260912,3.81
424,7160682,877237,82,270646,3.83
426,7161638,881605,82,278891,3.84
428,7156510,884922,82,287042,3.86
430,7147293,886767,82,295213,3.87
432,7142236,890087,82,303580,3.89
434,7132429,891901,81,311947,3.9
436,7136075,896004,81,320598,3.92
438,7142176,901435,82,329247,3.94
440,7140712,906032,82,338842,3.96
442,7142442,909301,82,348316,3.98
444,7140124,913931,82,357957,4.001
446,7143221,918317,82,366962,4.01
448,7142523,921917,82,376802,4.03
450,7144340,925338,82,385986,4.05
452,7139140,928858,81,395165,4.07
454,7137979,931965,81,404245,4.08
456,7136675,934848,81,413245,4.1
458,7136966,938659,81,422154,4.12
460,7138122,943495,81,432290,4.14
462,7136642,948122,81,442166,4.16
464,7141720,952111,81,451199,4.17
466,7134579,953980,81,459202,4.19
468,7132234,957510,81,468135,4.21
470,7130980,961026,81,476608,4.22
472,7127883,964071,81,485042,4.24
474,7123438,967528,81,493915,4.25
476,7125716,972691,81,503962,4.27
478,7122576,976328,81,513523,4.29
480,7120583,980212,81,523018,4.31
482,7121134,984334,81,531632,4.32
484,7120921,987934,81,541126,4.34
486,7122232,992183,81,550588,4.36
488,7123499,996381,81,559990,4.38
490,7121083,999644,81,568816,4.4
492,7115212,1002254,81,4282,4.39
494,7111092,1005619,81,13189,4.4
496,7112859,1010481,81,23009,4.42
