secs,pps,tps,gps,glst,bpc
0,6150059,22909,932,280,0.00371
2,5671898,69931,953,341,0.0168
4,5508245,103909,893,518,0.0295
6,5451356,145062,887,731,0.0426
8,5382453,184031,886,781,0.0552
10,5731872,227894,883,819,0.0719
12,5510142,262820,871,1057,0.083
14,5594565,304172,872,1103,0.0984
16,5497463,349786,876,1195,0.11
18,5382423,395359,880,1226,0.122
20,5426096,437254,881,1230,0.134
22,5467120,477442,880,1330,0.149
24,5650982,527004,884,1366,0.169
26,5615806,564148,882,1519,0.181
28,5489041,602180,878,1606,0.19
30,5430077,641087,879,1585,0.201
32,5552058,683037,877,1589,0.216
34,5606371,722813,876,1764,0.237
36,5535602,759580,874,1951,0.246
38,5473304,799521,873,2116,0.257
40,5453494,833341,872,2227,0.268
42,5402963,873597,868,2271,0.281
44,5399726,906811,867,2386,0.293
46,5348120,940320,863,2509,0.304
48,5433101,984213,863,2668,0.321
50,5358795,1030119,865,2768,0.331
52,5372143,1072180,866,2868,0.345
54,5377246,1108190,865,2970,0.357
56,5362221,1146864,864,3001,0.37
58,5403065,1180089,862,3099,0.384
60,5397746,1223265,862,3208,0.398
62,5412513,1268524,864,3243,0.413
64,5361819,1306793,864,3355,0.422
66,5380328,1344055,864,3372,0.436
68,5347719,1385061,863,3490,0.447
70,5372296,1422801,863,3644,0.463
72,5425371,1458895,862,3840,0.48
74,5401996,1500618,862,3959,0.491
76,5380559,1534861,861,4053,0.502
78,5402137,1568490,858,4154,0.517
80,5386125,1611987,859,4320,0.53
82,5363411,1649864,859,4489,0.54
84,5364422,1695564,860,4561,0.553
86,5373330,1730845,859,4727,0.566
88,5397508,1764324,857,4865,0.582
90,5430212,1802917,857,4875,0.6
92,5438723,1843293,857,4951,0.614
94,5465611,1887280,858,5074,0.628
96,5480685,1932974,859,5166,0.645
98,5492039,1966626,859,5297,0.659
100,5476774,2004999,858,5374,0.671
102,5490441,2043601,857,5512,0.686
104,5519645,2085501,858,5666,0.704
106,5509644,2130673,858,5738,0.717
108,5492541,2169433,859,5755,0.727
110,5473007,2201040,858,5865,0.738
112,5480133,2248811,858,5910,0.751
114,5442255,2283507,857,6001,0.761
116,5434048,2319287,857,6035,0.773
118,5447777,2359130,857,6051,0.789
120,5450208,2400486,857,6065,0.802
122,5456712,2442677,858,6219,0.816
124,5459583,2485925,858,6276,0.831
126,5425686,2518478,857,6379,0.838
128,5436043,2552136,856,6477,0.852
130,5446206,2589902,855,6541,0.866
132,5434985,2628586,856,6576,0.879
134,5423343,2676890,857,6618,0.891
136,5461881,2713926,856,6768,0.91
138,5455215,2745721,856,6925,0.923
140,5462854,2782785,855,7010,0.937
142,5447953,2817322,854,7117,0.949
144,5433445,2849486,853,7214,0.959
146,5434511,2879605,852,7406,0.972
148,5423638,2915737,851,7524,0.984
150,5413195,2950558,850,7672,0.996
152,5431015,2988177,851,7663,1.01
154,5422095,3023348,850,7784,1.02
156,5416090,3056588,849,7973,1.04
158,5413336,3103310,850,8003,1.05
160,5413930,3143182,850,8126,1.06
162,5398830,3183749,850,8241,1.07
164,5390334,3219147,850,8359,1.08
166,5394924,3260286,850,8523,1.1
168,5422860,3301424,851,8647,1.11
170,5452015,3341237,851,8750,1.13
172,5427988,3376346,850,8804,1.14
174,5412163,3408074,849,8899,1.15
176,5432004,3449947,849,8947,1.17
178,5429429,3483165,849,8973,1.18
180,5422255,3519912,848,49,1.2
182,5403220,3552056,848,105,1.21
184,5397397,3600922,849,191,1.22
186,5391561,3643017,849,315,1.23
188,5386895,3680460,849,502,1.24
190,5375571,3718403,849,567,1.25
192,5366519,3751153,849,688,1.26
194,5351360,3786010,848,843,1.27
196,5342974,3828513,848,938,1.28
198,5337007,3858519,847,1094,1.3
200,5325165,3892839,847,1160,1.31
202,5315715,3928255,846,1292,1.32
204,5317746,3962697,846,1492,1.33
206,5315730,3997941,846,1662,1.34
208,5298803,4029809,845,1698,1.35
210,5290935,4061546,845,1831,1.36
212,5283673,4102549,844,1815,1.37
214,5286841,4135151,844,9,1.39
216,5282791,4169378,844,159,1.4
218,5297166,4208769,843,272,1.42
220,5341655,4254869,844,342,1.44
222,5340134,4291993,844,352,1.46
224,5326844,4326835,844,369,1.47
226,5334435,4365794,844,415,1.48
228,5327975,4404577,844,502,1.5
230,5316927,4437638,843,533,1.5
232,5338126,4471509,843,691,1.52
234,5328903,4507099,843,737,1.53
236,5321797,4551574,843,797,1.55
238,5321621,4588781,843,906,1.56
240,5332552,4635084,844,903,1.57
242,5334457,4672849,844,1013,1.59
244,5335082,4710179,844,1024,1.6
246,5329131,4744428,843,1177,1.61
248,5336437,4783049,843,1198,1.63
250,5331414,4818308,843,1308,1.64
252,5347686,4853946,843,1376,1.66
254,5368485,4889678,843,1468,1.68
256,5371170,4932109,843,1520,1.69
258,5363853,4965463,843,1566,1.7
260,5364806,5008436,843,1584,1.71
262,5369376,5040090,842,1680,1.73
264,5365670,5080450,842,1659,1.74
266,5364307,5113781,842,1740,1.75
268,5358824,5155236,842,1743,1.77
270,5381209,5191647,842,1790,1.79
272,5379556,5231970,842,1770,1.8
274,5373404,5270771,842,1815,1.81
276,5370858,5303154,842,1912,1.82
278,5358183,5341639,842,1879,1.83
280,5354853,5377140,842,1940,1.84
282,5357096,5413428,842,2034,1.86
284,5353363,5446872,841,2092,1.87
286,5353143,5482049,841,2143,1.88
288,5352532,5521166,841,2200,1.9
290,5346553,5556350,841,2303,1.91
292,5356423,5601768,841,2345,1.92
294,5365714,5635676,841,2408,1.94
296,5358774,5679275,841,2482,1.95
298,5352234,5709834,841,2616,1.96
300,5355505,5745362,841,2655,1.97
302,5345071,5783517,841,2736,1.98
304,5333734,5819154,840,2779,1.99
306,5321466,5850111,840,2928,2.001
308,5308820,5892286,840,2918,2.01
310,5305505,5933939,840,2799,2.02
312,5293237,5971061,840,2830,2.03
314,5297884,6006009,840,2907,2.04
316,5296603,6039908,840,3049,2.06
318,5299095,6074883,840,3175,2.07
320,5304349,6120962,840,3316,2.09
322,5297064,6165986,841,3388,2.1
324,5297243,6209512,841,3424,2.11
326,5293303,6247792,841,3491,2.12
328,5295487,6294570,842,3514,2.13
330,5306589,6340824,842,3511,2.15
332,5300488,6381546,842,3578,2.16
334,5298634,6417334,842,3682,2.17
336,5295940,6456613,842,3781,2.19
338,5302152,6489306,842,3847,2.2
340,5302244,6532733,842,3911,2.22
342,5298612,6565679,842,4005,2.23
344,5303475,6614085,842,4145,2.24
346,5310054,6655037,843,4244,2.26
348,5313774,6702657,843,4242,2.27
350,5312552,6745928,843,4272,2.29
352,5323511,6789011,844,4385,2.3
354,5331039,6834754,844,4419,2.32
356,5329322,6878870,844,4496,2.33
358,5336851,6911684,844,4546,2.35
360,5341289,6957267,845,4656,2.36
362,5343643,7003125,845,4743,2.38
364,5353296,7047229,845,4744,2.39
366,5356274,7088317,846,4771,2.41
368,5359753,7130646,846,4900,2.42
370,5358230,7176102,846,4958,2.44
372,5352418,7219363,847,4930,2.45
374,5353930,7257773,847,4974,2.46
376,5354085,7292980,846,5109,2.47
378,5354794,7327205,846,5198,2.49
380,5355240,7359067,846,5312,2.5
382,5356492,7396543,846,5395,2.51
384,5364440,7438896,846,5496,2.53
386,5365648,7484246,846,5569,2.54
388,5361400,7530584,847,5636,2.56
390,5356049,7566074,847,5729,2.57
392,5357447,7611543,847,5767,2.58
394,5360977,7657523,847,3,2.59
396,5373192,7730538,849,77,2.61
398,5373210,7763097,849,94,2.62
400,5371248,7801079,849,165,2.63
402,5383943,7847218,849,300,2.65
404,5390100,7885175,849,456,2.67
406,5396489,7933881,850,477,2.69
408,5395174,7973207,850,491,2.7
410,5398383,8010429,850,447,2.71
412,5393366,8046480,850,482,2.72
414,5388480,8084348,849,606,2.74
416,5387245,8119901,849,658,2.75
418,5386979,8160611,849,638,2.76
420,5380686,8207583,850,693,2.77
422,5384717,8249355,850,763,2.79
424,5394681,8302347,851,768,2.8
426,5395644,8340287,851,757,2.82
428,5390721,8378534,851,829,2.83
430,5391398,8424422,851,901,2.84
432,5402941,8470072,851,980,2.86
434,5403127,8512820,852,1082,2.87
436,5398211,8545323,851,1194,2.89
438,5391099,8580162,851,1325,2.89
440,5390319,8620142,851,1313,2.91
442,5391402,8666789,851,1312,2.92
444,5393247,8705985,852,1387,2.94
446,5392649,8753461,852,1461,2.95
448,5391779,8792889,852,1515,2.96
450,5388009,8825903,852,1555,2.97
452,5391497,8868058,852,1601,2.99
454,5386707,8903223,851,0,3.03
456,5391873,8953336,852,136,3.05
458,5393604,9002772,853,163,3.06
460,5392295,9047332,853,278,3.07
462,5392999,9083657,853,288,3.09
464,5404533,9133419,853,313,3.11
466,5402028,9170704,853,486,3.12
468,5404422,9210479,853,621,3.13
470,5412032,9243510,853,768,3.15
472,5411821,9278822,853,856,3.17
474,5408682,9315602,853,869,3.18
476,5408558,9356978,853,938,3.19
478,5414609,9392731,853,989,3.21
480,5413489,9431026,853,1053,3.22
482,5413596,9466552,852,1158,3.23
484,5410007,9501072,852,1282,3.25
486,5416626,9540485,852,1282,3.26
488,5422605,9575891,852,1406,3.28
490,5413844,9613592,852,1542,3.29
492,5417066,9656551,852,1572,3.3
494,5419141,9705602,852,1635,3.32
496,5420192,9744073,853,1753,3.33
498,5424656,9781589,852,1865,3.35
500,5420497,9815959,852,2037,3.36
502,5426816,9857125,852,2030,3.38
504,5422341,9897896,852,2169,3.39
506,5422928,9942788,853,2290,3.4
508,5417377,9980429,853,2337,3.41
510,5418836,10011552,852,2439,3.43
512,5418681,10049470,852,2539,3.44
514,5417962,10088161,852,2543,3.45
