secs,pps,tps,gps,glst,bpc
0,3196981,125958,9314,6,0.0021
2,2617929,229904,8805,0,0.00563
4,2091735,320940,7602,0,0.00823
6,2139940,390004,7335,88,0.0114
8,1902399,402353,6791,8,0.0132
10,1826200,529496,6414,0,0.0176
12,1746095,595816,6108,5,0.0215
14,1669567,689037,6036,30,0.0242
16,1638386,764974,6014,0,0.0257
18,1564529,794959,5748,4,0.028
20,1496507,853855,5634,1,0.0304
22,1458556,930740,5566,0,0.0321
24,1409494,945183,5358,21,0.0352
26,1379991,997871,5223,0,0.0394
28,1455925,1175921,5447,0,0.0436
30,1439831,1195536,5374,0,0.0456
32,1421758,1235282,5213,4,0.0504
34,1410351,1306902,5201,0,0.0537
36,1405046,1418211,5209,0,0.0577
38,1495790,1543735,5321,3,0.0621
40,1526283,1658395,5345,125,0.0688
42,1541015,1705100,5347,34,0.0735
44,1509171,1860558,5393,1,0.077
46,1514896,2004243,5483,13,0.0794
48,1513725,2082924,5482,0,0.082
50,1537513,2168281,5499,48,0.0852
52,1516576,2303817,5529,1,0.0882
54,1518810,2384556,5564,0,0.0908
56,1489426,2457208,5523,0,0.0932
58,1513454,2589607,5572,0,0.0959
60,1527731,2707360,5635,12,0.0992
62,1548249,2784097,5634,16,0.102
64,1548152,2833074,5600,70,0.105
66,1531864,2848149,5535,0,0.108
68,1514738,2850363,5431,0,0.109
70,1487404,2933647,5419,38,0.113
72,1506537,3071857,5487,47,0.116
74,1513892,3163910,5491,12,0.12
76,1519321,3292957,5519,72,0.122
78,1508489,3353387,5508,18,0.125
80,1489450,3437247,5503,18,0.127
82,1466325,3478524,5480,17,0.129
84,1452686,3474080,5439,0,0.13
86,1440962,3485549,5425,6,0.131
88,1450954,3509069,5351,26,0.134
90,1436494,3509874,5261,42,0.14
92,1433046,3529414,5221,0,0.144
94,1407617,3586157,5186,0,0.147
96,1407108,3703767,5224,2,0.149
98,1421403,3822096,5243,2,0.154
100,1435121,3889519,5225,0,0.161
102,1443710,4036927,5269,36,0.164
104,1464727,4061590,5271,7,0.168
106,1471664,4086361,5202,0,0.175
108,1480780,4193379,5222,0,0.184
110,1474560,4250950,5210,0,0.192
112,1463456,4315733,5191,0,0.195
114,1475652,4457062,5225,47,0.199
116,1470902,4560181,5253,0,0.201
118,1472525,4678954,5259,4,0.204
120,1458419,4762532,5264,1,0.206
122,1467787,4900248,5317,0,0.207
124,1472117,4928672,5298,49,0.21
126,1459404,5006512,5273,6,0.213
128,1490155,5188576,5322,3,0.217
130,1494583,5327009,5349,49,0.221
132,1515651,5406078,5361,2,0.225
134,1517920,5463147,5341,9,0.23
136,1518378,5627741,5372,1,0.232
138,1533323,5746550,5401,0,0.237
140,1525382,5787109,5398,20,0.24
142,1499035,5759008,5330,24,0.242
144,1491185,5780863,5319,5,0.243
146,1490573,5843895,5315,0,0.247
148,1483121,5843092,5263,1,0.254
150,1484091,5888915,5253,3,0.258
152,1487262,5952598,5240,4,0.261
154,1471388,6050376,5236,0,0.263
156,1468559,6128648,5236,101,0.265
158,1466169,6205359,5244,10,0.268
160,1463079,6286971,5246,1,0.271
162,1459468,6315070,5223,11,0.274
164,1469331,6418556,5225,12,0.279
166,1495716,6562543,5251,40,0.283
168,1508729,6739309,5294,47,0.286
170,1505009,6810706,5298,0,0.289
172,1506613,6887415,5298,1,0.292
174,1499487,6939075,5278,2,0.297
176,1496582,7068318,5301,5,0.299
178,1507721,7181587,5311,13,0.303
180,1506750,7240388,5314,0,0.305
182,1500546,7313465,5311,14,0.308
184,1495016,7340926,5307,0,0.311
186,1484650,7353296,5267,0,0.314
188,1490541,7388628,5252,0,0.32
190,1497609,7440082,5241,3,0.326
192,1506573,7543790,5243,26,0.331
194,1501139,7595811,5249,0,0.332
196,1487295,7620415,5219,0,0.334
198,1498501,7705175,5222,0,0.338
200,1486367,7734724,5197,0,0.339
202,1480470,7827564,5200,21,0.343
204,1489506,7931346,5216,0,0.346
206,1484879,8025275,5212,0,0.349
208,1487501,8100863,5217,0,0.352
210,1487745,8172660,5213,3,0.356
212,1485558,8242193,5208,50,0.359
214,1477478,8260848,5191,1,0.363
216,1480279,8346611,5196,0,0.365
218,1473312,8473788,5205,19,0.367
220,1473939,8530222,5205,21,0.371
222,1478805,8638173,5210,27,0.374
224,1481140,8745070,5221,1,0.379
226,1477718,8775296,5213,1,0.381
228,1468464,8854598,5206,2,0.384
230,1468914,8967948,5214,2,0.387
232,1467272,8993089,5209,34,0.39
234,1468521,9021965,5187,0,0.393
236,1467659,9144342,5200,7,0.396
238,1461733,9214501,5202,131,0.397
240,1458124,9208497,5191,0,0.398
242,1443586,9238714,5158,0,0.4
244,1447875,9308421,5166,11,0.402
246,1460301,9432436,5173,0,0.406
248,1460133,9462666,5164,0,0.412
250,1461856,9561162,5174,3,0.417
252,1454935,9623892,5154,0,0.421
254,1455083,9714293,5161,37,0.424
