secs,pps,tps,gps,glst,bpc
0,1183343,84122,5353,1,0.000889
2,1037811,207191,7852,0,0.00233
4,780479,343223,6974,0,0.0042
6,688412,370412,6325,1,0.00558
8,631516,471781,6164,0,0.00688
10,624915,510087,6018,0,0.00776
12,797079,603853,5823,0,0.0101
14,935183,757349,6096,1,0.0132
16,1156330,887978,6487,0,0.0161
18,1126544,900900,5993,0,0.0189
20,1104709,984393,5808,1,0.0217
22,1115394,1086552,5830,0,0.0255
24,1117253,1164650,5858,1,0.0273
26,1082309,1210845,5722,1,0.0292
28,1185301,1394156,5886,6,0.0314
30,1211179,1428589,5829,0,0.0338
32,1188279,1518749,5749,0,0.0381
34,1203019,1560766,5722,0,0.042
36,1173197,1579315,5564,0,0.0439
38,1168332,1704923,5611,0,0.0463
40,1163976,1753913,5530,1,0.0493
42,1153332,1837333,5560,0,0.0508
44,1116670,1946000,5552,1,0.0522
46,1121947,2059162,5598,3,0.0536
48,1170375,2214516,5688,0,0.0565
50,1210710,2253242,5691,1,0.0622
52,1189041,2378562,5646,3,0.065
54,1173171,2445871,5660,0,0.067
56,1158478,2523298,5666,0,0.0685
58,1117732,2624793,5626,0,0.0699
60,1126722,2790849,5730,0,0.0714
62,1160982,2946997,5782,2,0.0749
64,1178093,3168096,5919,0,0.0765
66,1211139,3267544,5933,0,0.0809
68,1213203,3318445,5940,0,0.083
70,1205215,3369743,5866,0,0.0846
72,1230882,3580420,5969,2,0.0877
74,1229744,3699269,5996,0,0.0908
76,1240143,3777144,5973,0,0.0929
78,1233471,3792868,5943,0,0.0967
80,1219844,3843456,5876,0,0.0999
82,1228676,3999594,5956,0,0.102
84,1211827,4078370,5937,1,0.104
86,1196471,4141020,5928,1,0.105
88,1183823,4169691,5868,0,0.107
90,1203238,4229158,5886,0,0.109
92,1180368,4231281,5807,2,0.111
94,1180771,4359532,5802,0,0.113
96,1179123,4460999,5810,0,0.115
