secs,pps,tps,gps,glst,bpc
0,2097464,176471,3640,1853,0.009
5,1854031,343743,3521,2991,0.018
10,1805126,507308,3464,4504,0.028
15,1887038,619805,3288,6630,0.040
20,1817957,761053,3235,8225,0.049
25,1811875,903785,3207,8895,0.059
30,1782533,1013075,3146,1340,0.068
35,1746376,1140628,3110,2902,0.077
40,1733330,1286072,3107,3550,0.085
45,1727009,1413543,3083,5326,0.095
50,1724271,1532992,3061,6853,0.103
55,1730807,1654559,3047,7885,0.114
60,1720590,1753705,3021,8753,0.123
65,1718218,1860172,2988,10031,0.132
70,1753153,1994627,2990,11492,0.145
75,1730118,2120745,2981,12955,0.154
80,1749757,2218757,2963,14336,0.164
85,1741641,2342774,2955,1209,0.172
90,1752196,2442755,2944,2332,0.182
95,1711552,2544206,2920,4290,0.188
100,1698838,2626468,2900,6152,0.196
105,1676500,2706489,2878,7642,0.203
110,1665956,2783436,2854,9101,0.209
115,1640420,2859627,2832,11077,0.217
120,1634362,3000319,2841,11668,0.225
125,1639695,3139334,2848,12793,0.235
130,1645190,3256713,2847,14705,0.245
135,1649426,3359446,2839,16533,0.254
140,1635162,3437141,2822,18074,0.261
145,1644447,3521936,2811,19566,0.272
150,1648354,3633894,2807,1255,0.281
155,1652666,3737769,2803,2037,0.290
160,1654160,3831591,2795,3630,0.300
165,1656700,3943267,2792,5197,0.309
170,1656613,4050607,2790,6426,0.318
175,1669963,4151306,2788,8375,0.330
180,1671877,4263087,2785,9616,0.341
185,1664885,4378068,2784,10953,0.348
190,1673901,4506292,2788,12128,0.360
195,1685096,4636562,2792,13826,0.371
200,1687912,4764635,2795,15121,0.382
205,1692131,4885535,2798,16957,0.392
210,1695907,5006835,2800,18116,0.402
215,1695595,5124455,2800,19588,0.411
220,1700969,5260368,2803,21389,0.422
225,1702819,5387774,2805,22687,0.431
230,1700042,5495185,2803,24745,0.440
235,1688138,5603585,2802,25930,0.447
240,1699606,5716243,2800,27708,0.459
245,1698308,5814991,2797,28998,0.468
250,1692050,5931770,2797,30406,0.476
255,1691034,6046425,2796,31424,0.485
260,1700628,6192890,2803,32196,0.497
265,1695896,6311984,2804,33781,0.505
270,1711924,6435505,2804,35678,0.520
275,1710953,6556550,2805,36793,0.529
280,1719165,6677843,2807,37570,0.541
285,1720621,6781294,2804,38574,0.551
290,1725154,6901880,2805,40310,0.562
295,1723826,7037377,2807,41306,0.571
300,1728083,7136966,2805,42238,0.581
305,1730696,7251588,2804,43390,0.592
310,1725890,7358175,2802,44383,0.600
315,1720019,7472520,2801,45298,0.608
320,1717815,7586648,2800,46253,0.617
325,1713004,7679772,2796,48129,0.624
330,1703880,7771753,2792,1021,0.631
335,1707403,7886923,2791,2632,0.641
340,1706620,7993776,2790,3547,0.650
345,1706670,8099110,2788,4601,0.660
350,1701320,8214938,2788,5469,0.667
355,1707943,8356268,2792,6693,0.680
360,1704179,8466568,2792,8137,0.688
365,1716527,8570793,2790,9614,0.702
370,1723331,8685176,2789,10844,0.714
375,1723056,8805639,2790,12215,0.723
380,1723337,8936256,2793,1244,0.739
385,1721927,9061065,2793,2604,0.748
