secs,pps,tps,gps,glst,bpc
0,1211918,165249,3545,926,0.006
5,1132898,217705,2705,5475,0.012
10,1094162,274819,2455,10031,0.018
15,1125555,330798,2309,14195,0.027
20,1081168,391013,2243,18294,0.033
25,1032992,454012,2215,22151,0.038
30,1031788,511888,2174,26498,0.043
35,1091813,564865,2143,30044,0.053
40,1112565,618998,2122,34556,0.061
45,1128072,676210,2098,39412,0.068
50,1103815,728477,2078,44066,0.073
55,1075609,780236,2060,48900,0.079
60,1054878,833124,2047,53205,0.083
65,1072937,888061,2030,58299,0.091
70,1087462,941737,2023,62822,0.100
75,1090343,1002517,2020,66432,0.106
80,1111373,1056986,2015,69415,0.115
85,1108790,1114752,2008,73758,0.121
90,1093139,1169682,2005,78516,0.127
95,1076008,1227592,2000,82588,0.132
100,1067072,1278489,1991,87461,0.137
105,1066214,1330566,1985,91477,0.143
110,1068794,1384677,1982,94743,0.150
115,1069903,1444354,1981,98463,0.157
120,1094254,1499844,1980,101595,0.167
125,1077040,1559732,1979,105277,0.171
130,1063994,1611836,1975,110023,0.175
135,1068043,1669891,1973,114586,0.183
140,1061975,1715796,1967,119601,0.188
145,1063728,1769628,1965,122790,0.196
150,1055545,1828163,1964,127128,0.200
155,1061357,1885360,1961,131686,0.208
160,1070142,1938054,1959,136367,0.215
165,1070505,1991403,1957,140892,0.223
170,1076048,2045886,1956,145388,0.231
175,1072359,2105010,1956,3455,0.238
180,1065202,2170238,1957,7545,0.243
185,1068846,2219472,1956,12144,0.250
190,1061919,2273471,1955,16503,0.255
195,1066225,2339595,1956,3586,0.259
200,1066890,2407579,1960,7903,0.266
205,1072628,2472805,1964,10887,0.274
210,1074211,2542147,1968,13015,0.281
215,1074537,2611247,1971,17419,0.287
220,1078375,2675425,1974,22393,0.296
225,1090352,2746519,1979,27212,0.305
230,1090609,2821112,1982,32286,0.312
235,1096160,2892599,1987,35003,0.320
240,1096813,2963126,1990,39286,0.327
245,1098461,3033775,1994,43965,0.335
250,1095811,3104680,1997,48577,0.340
255,1094521,3181248,2001,53242,0.347
260,1090029,3253104,2005,57449,0.351
265,1091808,3322785,2007,61611,0.359
270,1097790,3390105,2011,66351,0.368
275,1103969,3480670,2017,4166,0.373
280,1118678,3544316,2019,9761,0.384
285,1118823,3621849,2022,14522,0.392
290,1119738,3686699,2024,19760,0.399
295,1123069,3761926,2027,24879,0.406
300,1120184,3820817,2028,30240,0.413
305,1127741,3897737,2031,35060,0.422
310,1128346,3969800,2034,39355,0.429
315,1127959,4048560,2037,42919,0.436
320,1129361,4125998,2040,47697,0.443
325,1144575,4197280,2043,52935,0.456
330,1150763,4269594,2045,58086,0.465
335,1154039,4340221,2047,63412,0.474
340,1158261,4412061,2049,68675,0.483
345,1163195,4490333,2052,73531,0.492
350,1165933,4570929,2056,4284,0.499
355,1169772,4649263,2059,8604,0.507
360,1174221,4728455,2062,11859,0.516
365,1181484,4807480,2065,15915,0.527
370,1192476,4880259,2067,20620,0.539
375,1204343,4952360,2069,25631,0.550
380,1210009,5023946,2071,30779,0.561
385,1207836,5092703,2071,36264,0.568
390,1205219,5162854,2072,41444,0.575
395,1210911,5238129,2073,46781,0.584
400,1211497,5310076,2075,51805,0.591
405,1212622,5388646,2077,56498,0.600
410,1215484,5461783,2079,61416,0.609
415,1214728,5537863,2081,65270,0.616
420,1217596,5605359,2082,68278,0.623
425,1216400,5678540,2084,73165,0.631
