secs,pps,tps,gps,glst,bpc
0,949178,180188,13595,1636,0.003
5,922391,351620,11523,3843,0.009
10,1011433,534593,11197,4518,0.017
15,873098,694208,11021,6213,0.021
20,808795,852999,10901,8402,0.025
25,836141,1040588,10904,11127,0.031
30,856373,1220156,10834,13285,0.037
35,854567,1385668,10831,14857,0.043
40,891856,1567701,10805,15172,0.050
45,1002400,1749381,10782,17977,0.063
50,978399,1922270,10714,20181,0.069
55,940322,2055130,10662,22614,0.072
60,966936,2226775,10607,24071,0.080
65,938978,2418492,10650,26530,0.084
70,934451,2572283,10614,28539,0.090
75,945287,2751204,10601,29430,0.096
80,914828,2929672,10589,30294,0.101
85,896174,3116090,10605,31218,0.104
90,889716,3303792,10624,31843,0.110
95,901325,3465199,10622,33905,0.116
100,906675,3619569,10600,35840,0.122
105,907750,3768657,10564,38639,0.129
110,891760,3942923,10545,41040,0.133
115,884760,4126048,10550,43138,0.137
120,882392,4313255,10564,44647,0.142
125,885056,4470350,10554,46799,0.149
130,877478,4605738,10541,48155,0.154
135,870555,4781379,10529,51473,0.159
140,866180,4957821,10519,53976,0.164
145,862627,5131757,10505,55491,0.168
150,863996,5291117,10502,56778,0.175
155,862485,5454992,10508,56903,0.180
160,851096,5616875,10510,58585,0.183
165,863884,5798703,10512,59923,0.191
170,857030,5978223,10510,62137,0.196
175,854851,6156189,10505,63395,0.201
180,844730,6257903,10472,3806,0.204
185,851354,6440755,10475,6125,0.211
190,847286,6613208,10461,7723,0.217
195,838912,6792769,10459,9996,0.220
200,833832,6968643,10451,12097,0.224
205,826202,7153718,10457,13490,0.228
210,837222,7345761,10473,15104,0.236
215,831484,7534230,10483,16841,0.241
220,827583,7697969,10487,17764,0.244
225,820193,7862593,10492,18867,0.247
230,817367,8075439,10507,20832,0.252
235,812837,8289593,10523,21920,0.256
240,809009,8411498,10524,24389,0.260
245,810213,8591481,10521,26027,0.266
250,805869,8769151,10517,28366,0.270
255,800179,8958844,10526,30778,0.273
260,804013,9144358,10531,32898,0.280
265,803988,9321747,10526,34662,0.284
270,803656,9506731,10529,35717,0.291
275,808082,9665800,10527,37671,0.295
280,815354,9824651,10524,40564,0.305
