secs,pps,tps,gps
0,142859,69938,6759
5,136589,66316,6461
10,135942,66103,6431
15,132952,64650,6290
20,127318,61966,6023
25,125766,61243,5950
30,124521,60540,5891
35,123103,59978,5824
40,122430,59698,5792
45,121169,59082,5733
50,120734,58823,5712
55,119909,58459,5673
60,118552,57771,5608
65,117716,57402,5569
70,117301,57225,5550
75,117453,57243,5556
80,116666,56875,5519
85,115883,56498,5482
90,115253,56173,5452
95,114530,55835,5418
100,113855,55500,5386
105,113066,55112,5348
110,112453,54797,5319
115,111143,54148,5257
120,110861,54013,5244
125,111069,54128,5254
130,111167,54181,5258
135,111117,54150,5256
140,110660,53927,5234
145,110238,53738,5214
150,109909,53585,5199
155,109702,53465,5189
160,109537,53389,5181
165,109553,53384,5182
170,109419,53321,5175
175,109442,53333,5176
180,109403,53310,5174
185,109394,53294,5174
190,109383,53277,5173
195,109669,53400,5187
200,109789,53465,5192
205,109912,53509,5198
210,110013,53568,5203
215,110067,53568,5205
220,110176,53609,5210
225,110255,53656,5214
230,110206,53637,5212
235,110160,53612,5210
240,110079,53587,5206
245,110065,53571,5205
250,110067,53580,5205
255,109976,53536,5201
260,110137,53616,5208
265,110216,53663,5212
270,110222,53672,5212
275,110324,53723,5217
280,110397,53760,5221
285,110280,53696,5215
290,110346,53717,5218
295,110458,53777,5223
300,110381,53736,5220
305,110341,53704,5218
310,110261,53655,5214
315,110187,53621,5210
320,110067,53557,5205
325,109894,53471,5197
330,109717,53381,5188
335,109662,53356,5186
340,109625,53331,5184
345,109558,53301,5181
350,109481,53273,5177
355,109573,53319,5181
360,109670,53362,5186
365,109578,53318,5182
370,109555,53304,5180
375,109542,53294,5180
380,109609,53330,5183
385,109643,53343,5185
390,109636,53331,5184
395,109555,53295,5180
400,109515,53266,5178
405,109485,53250,5177
410,109434,53225,5175
415,109366,53192,5171
420,109340,53181,5170
425,109368,53187,5172
430,109297,53154,5168
435,109249,53128,5166
440,109218,53112,5165
445,109265,53142,5167
450,109392,53199,5173
455,109407,53205,5173
460,109436,53220,5175
465,109459,53233,5176
470,109466,53233,5176
475,109399,53201,5173
480,109327,53171,5170
485,109250,53135,5166
490,109193,53111,5163
495,109131,53076,5161
500,109111,53064,5160
505,109093,53052,5159
510,109035,53024,5156
515,109004,53010,5155
520,108951,52984,5152
525,108885,52952,5149
530,108843,52934,5147
535,108849,52936,5147
540,108811,52920,5145
545,108799,52911,5145
550,108720,52873,5141
555,108680,52852,5139
560,108640,52833,5137
565,108560,52793,5134
570,108488,52758,5130
575,108366,52694,5124
580,108304,52663,5121
585,108249,52634,5119
590,108167,52596,5115
595,108135,52579,5113
600,108099,52559,5112
605,108044,52532,5109
610,107960,52495,5105
615,107930,52483,5104
620,107863,52451,5101
625,107796,52423,5097
630,107792,52419,5097
635,107778,52412,5097
640,107720,52382,5094
645,107688,52367,5092
650,107657,52359,5091
655,107586,52325,5088
660,107532,52303,5085
665,107480,52281,5083
670,107425,52254,5080
675,107409,52245,5079
680,107470,52275,5082
685,107507,52291,5084
690,107482,52277,5083
695,107424,52249,5080
700,107379,52224,5078
705,107327,52200,5075
710,107267,52171,5072
715,107240,52159,5071
720,107220,52149,5070
725,107186,52132,5068
730,107183,52127,5068
735,107172,52122,5068
740,107168,52120,5068
745,107203,52140,5069
750,107230,52153,5071
755,107190,52135,5069
760,107169,52124,5068
765,107142,52110,5066
770,107106,52089,5065
775,107035,52057,5061
780,107008,52043,5060
785,106992,52035,5059
790,106982,52032,5059
795,106953,52017,5057
800,106904,51994,5055
805,106876,51983,5054
810,106836,51966,5052
815,106786,51945,5049
820,106750,51931,5048
825,106731,51922,5047
830,106714,51912,5046
835,106683,51899,5045
840,106677,51892,5044
845,106704,51906,5046
850,106717,51914,5046
855,106707,51911,5046
860,106683,51897,5044
865,106639,51874,5042
870,106606,51860,5041
875,106627,51867,5042
880,106657,51878,5043
885,106670,51884,5044
890,106637,51867,5042
895,106632,51865,5042
900,106617,51861,5041
905,106620,51863,5041
910,106619,51860,5041
915,106626,51865,5042
920,106610,51861,5041
925,106599,51854,5040
930,106619,51863,5041
935,106596,51851,5040
940,106596,51851,5040
945,106607,51854,5041
950,106613,51858,5041
955,106629,51861,5042
960,106623,51862,5041
965,106595,51847,5040
970,106573,51837,5039
975,106591,51847,5040
980,106620,51860,5041
985,106606,51853,5041
990,106602,51851,5040
