secs,pps,tps,gps
0,185094,58140,8811
2,205348,64360,9773
4,214648,67190,10216
6,216942,68009,10326
8,219433,69025,10446
10,221413,69682,10540
12,222207,70023,10579
14,223302,70251,10630
16,223655,70423,10648
18,224139,70497,10670
20,225042,70733,10713
22,224935,70725,10708
24,225283,70819,10724
26,225781,71029,10749
28,226703,71250,10792
30,226829,71251,10798
32,226958,71268,10804
34,226766,71225,10795
36,226391,71100,10777
38,226865,71262,10799
40,227050,71344,10808
42,227316,71382,10821
44,227541,71457,10831
46,227467,71470,10828
48,227360,71443,10823
50,227554,71511,10833
52,227571,71500,10833
54,227758,71551,10842
56,227861,71544,10847
58,227759,71514,10842
60,227859,71527,10847
62,227842,71532,10846
64,227784,71510,10843
66,227868,71540,10847
68,227787,71538,10844
70,227847,71552,10846
72,227902,71570,10849
74,227823,71547,10845
76,227699,71502,10839
78,227671,71508,10838
80,227558,71496,10833
82,227683,71542,10839
84,227636,71537,10837
86,227642,71520,10837
88,227740,71541,10842
90,227686,71530,10839
92,227718,71544,10840
94,227814,71562,10845
96,227817,71557,10845
98,227272,71385,10819
100,227078,71322,10810
102,227107,71321,10811
104,227102,71338,10811
106,227212,71353,10816
108,227155,71338,10813
110,227237,71355,10817
112,226773,71213,10795
114,226548,71158,10785
116,226573,71170,10786
118,226608,71187,10788
120,226654,71210,10790
122,226697,71233,10792
124,226710,71231,10793
126,226669,71226,10791
128,226659,71226,10790
130,226719,71250,10793
132,226792,71276,10796
134,226775,71283,10796
136,226232,71109,10770
138,226310,71134,10774
140,226329,71143,10775
142,226355,71146,10776
144,226346,71142,10775
146,226395,71161,10778
148,226323,71144,10774
150,226364,71152,10776
152,226311,71135,10774
154,226320,71140,10774
156,226376,71153,10777
158,226459,71186,10781
160,226563,71215,10786
162,226582,71228,10787
164,226645,71235,10789
166,226607,71224,10788
168,226674,71236,10791
170,226683,71234,10791
172,226660,71221,10790
174,226231,71083,10770
176,226240,71090,10770
178,226257,71093,10771
180,226272,71095,10772
182,226281,71086,10772
184,225820,70943,10750
186,225845,70959,10751
188,225855,70969,10752
190,225866,70977,10752
192,225889,70986,10753
194,225959,71004,10757
196,226010,71012,10759
198,226054,71025,10761
200,226129,71044,10765
202,226206,71075,10768
204,226171,71069,10767
206,225886,70972,10753
208,225859,70962,10752
210,225954,70989,10756
212,226053,71017,10761
214,226119,71040,10764
216,226108,71033,10764
218,226083,71020,10763
220,226104,71027,10763
222,226121,71033,10764
224,226111,71023,10764
226,225805,70927,10749
228,225845,70934,10751
230,225815,70929,10750
232,225832,70939,10751
234,225871,70950,10752
236,225944,70978,10756
238,226017,71000,10759
240,226057,71010,10761
242,226044,71005,10761
244,226063,71016,10762
246,226081,71022,10762
248,226114,71031,10764
250,226137,71039,10765
252,226143,71048,10765
254,226140,71051,10765
256,226155,71057,10766
258,226195,71061,10768
260,226218,71068,10769
262,226253,71084,10771
264,226321,71100,10774
266,226339,71103,10775
268,226358,71103,10776
270,226344,71102,10775
272,226352,71106,10775
274,226381,71111,10777
276,226427,71118,10779
278,226447,71125,10780
280,226448,71125,10780
282,226454,71127,10780
284,226464,71132,10781
286,226478,71140,10781
288,226475,71139,10781
290,226254,71064,10771
292,226245,71063,10770
294,226295,71076,10773
296,226300,71075,10773
298,226331,71084,10774
300,226340,71087,10775
302,226356,71090,10776
304,226331,71090,10775
306,226353,71099,10776
308,226383,71107,10777
310,226399,71113,10778
312,226395,71112,10778
314,226425,71119,10779
316,226445,71125,10780
318,226454,71127,10781
320,226478,71129,10782
322,226473,71125,10782
324,226504,71133,10783
326,226526,71145,10784
328,226563,71155,10786
330,226571,71156,10786
332,226584,71163,10787
334,226600,71171,10788
336,226605,71172,10788
338,226632,71181,10789
340,226665,71190,10791
342,226687,71196,10792
344,226702,71201,10793
346,226616,71172,10789
348,226504,71137,10783
350,226530,71144,10785
352,226568,71151,10786
354,226585,71157,10787
356,226480,71123,10782
358,226390,71097,10778
360,226372,71096,10777
362,226345,71091,10776
364,226344,71093,10776
366,226317,71087,10775
368,226306,71087,10774
370,226324,71093,10775
372,226334,71095,10776
374,226334,71098,10776
376,226383,71113,10778
378,226400,71113,10779
380,226378,71107,10778
382,226396,71112,10779
384,226399,71112,10779
386,226436,71123,10781
388,226462,71130,10782
390,226462,71130,10782
392,226481,71137,10783
394,226482,71138,10783
396,226492,71139,10783
398,226489,71135,10783
400,226478,71132,10783
402,226506,71140,10784
404,226539,71150,10786
406,226557,71153,10787
408,226571,71154,10787
410,226593,71163,10788
412,226597,71167,10789
414,226599,71167,10789
416,226615,71170,10789
418,226631,71177,10790
420,226648,71181,10791
422,226652,71182,10791
424,226673,71190,10792
426,226705,71199,10794
428,226732,71207,10795
430,226728,71206,10795
432,226732,71210,10795
434,226748,71215,10796
436,226750,71219,10796
438,226779,71229,10798
440,226770,71225,10797
442,226785,71229,10798
444,226797,71234,10799
446,226794,71236,10798
448,226785,71233,10798
450,226778,71233,10798
452,226777,71234,10798
454,226833,71250,10800
456,226844,71251,10801
458,226856,71253,10802
460,226864,71254,10802
462,226858,71255,10802
464,226871,71259,10802
466,226886,71265,10803
468,226922,71276,10805
470,226930,71277,10805
472,226931,71271,10805
474,226913,71266,10804
476,226934,71273,10805
478,226935,71275,10805
480,226931,71276,10805
482,226916,71272,10805
484,226928,71275,10805
486,226922,71274,10805
488,226921,71272,10805
490,226923,71273,10805
492,226927,71273,10805
494,226917,71276,10805
496,226922,71278,10805
