secs,pps,tps,gps
0,75368,21459,3536
5,148797,42326,6980
10,223649,63615,10492
15,301327,85647,14136
20,301327,85647,14136
25,301327,85647,14136
30,301327,85647,14136
35,301327,85647,14136
40,301327,85647,14136
45,301327,85647,14136
50,301327,85647,14136
55,301327,85647,14136
60,301327,85647,14136
65,301327,85647,14136
70,301327,85647,14136
75,301327,85647,14136
80,301327,85647,14136
85,301327,85647,14136
90,301327,85647,14136
95,299871,85259,14067
100,298729,84958,14015
105,297946,84721,13977
110,295440,84036,13860
115,295440,84036,13860
120,295440,84036,13860
125,295440,84036,13860
130,295440,84036,13860
135,295440,84036,13860
140,295440,84036,13860
145,295440,84036,13860
150,295440,84036,13860
155,295440,84036,13860
160,295440,84036,13860
165,295440,84036,13860
170,295440,84036,13860
175,298230,84805,13991
180,298230,84805,13991
185,298230,84805,13991
190,298230,84805,13991
195,298908,84987,14023
200,299183,85102,14036
205,299183,85102,14036
210,299183,85102,14036
215,299183,85102,14036
220,299183,85102,14036
225,299183,85102,14036
230,299183,85102,14036
235,299183,85102,14036
240,299183,85102,14036
245,299183,85102,14036
250,299183,85102,14036
255,301682,85801,14154
260,301682,85801,14154
265,301682,85801,14154
270,301682,85801,14154
275,301682,85801,14154
280,303380,86280,14234
285,304148,86503,14270
290,304576,86642,14290
295,304576,86642,14290
300,304576,86642,14290
305,304576,86642,14290
310,304576,86642,14290
315,304576,86642,14290
320,304576,86642,14290
325,304576,86642,14290
330,304576,86642,14290
335,305795,86991,14348
340,305795,86991,14348
345,305795,86991,14348
350,305795,86991,14348
355,305795,86991,14348
360,305795,86991,14348
365,307196,87386,14413
370,307196,87386,14413
375,308509,87774,14475
380,308509,87774,14475
385,308509,87774,14475
390,308509,87774,14475
395,308509,87774,14475
400,308509,87774,14475
405,308509,87774,14475
410,308509,87774,14475
415,308509,87774,14475
420,308921,87897,14495
425,308921,87897,14495
430,308921,87897,14495
435,308921,87897,14495
440,308921,87897,14495
445,308921,87897,14495
450,309667,88116,14530
455,309667,88116,14530
460,311277,88556,14606
465,311277,88556,14606
470,311277,88556,14606
475,311277,88556,14606
480,311277,88556,14606
485,311277,88556,14606
490,311277,88556,14606
495,311277,88556,14606
500,311717,88693,14627
505,311717,88693,14627
510,311717,88693,14627
515,311717,88693,14627
520,311717,88693,14627
525,311717,88693,14627
530,311717,88693,14627
535,312601,88942,14669
540,312601,88942,14669
545,313616,89235,14717
550,313616,89235,14717
555,313616,89235,14717
560,313616,89235,14717
565,313616,89235,14717
570,313616,89235,14717
575,313616,89235,14717
580,313616,89235,14717
585,313709,89261,14721
590,313709,89261,14721
595,313709,89261,14721
600,313709,89261,14721
605,313709,89261,14721
610,313709,89261,14721
615,313709,89261,14721
620,314252,89414,14746
625,314252,89414,14746
630,314525,89495,14759
635,314932,89613,14778
640,314932,89613,14778
645,314932,89613,14778
650,314932,89613,14778
655,314932,89613,14778
660,314932,89613,14778
665,314932,89613,14778
670,315194,89686,14791
675,315194,89686,14791
680,315194,89686,14791
685,315194,89686,14791
690,315194,89686,14791
695,315194,89686,14791
700,315878,89883,14823
705,315878,89883,14823
710,315878,89883,14823
715,316264,89996,14841
720,316730,90126,14863
725,316730,90126,14863
730,316730,90126,14863
735,316730,90126,14863
740,316730,90126,14863
745,316730,90126,14863
750,316965,90200,14873
755,316965,90200,14873
760,316965,90200,14873
765,316965,90200,14873
770,316965,90200,14873
775,316965,90200,14873
780,316965,90200,14873
785,317383,90319,14893
790,317383,90319,14893
795,317383,90319,14893
800,317870,90452,14915
805,318038,90503,14923
810,318038,90503,14923
815,318038,90503,14923
820,318038,90503,14923
825,318038,90503,14923
830,318038,90503,14923
835,318137,90536,14927
840,318137,90536,14927
845,318137,90536,14927
850,318137,90536,14927
855,318137,90536,14927
860,318137,90536,14927
865,318505,90646,14945
870,318505,90646,14945
875,318505,90646,14945
880,318505,90646,14945
885,318748,90724,14956
890,318818,90751,14959
895,318818,90751,14959
