secs,pps,tps,gps,glst,bpc
0,3981451,8474,337,434,0.005
5,4884404,36751,522,1054,0.034
10,4460589,61337,522,1557,0.060
15,4383970,88486,526,2024,0.083
20,4298622,111319,519,2739,0.109
25,4485193,139627,522,3129,0.142
30,4418511,164532,522,3803,0.167
35,4542732,187474,521,4471,0.199
40,4430387,212820,520,5184,0.222
45,4364879,239998,522,5682,0.245
50,4329211,264372,523,6087,0.269
55,4365862,293544,526,6438,0.298
60,4398957,318205,526,7112,0.327
65,4409071,346433,527,7583,0.355
70,4389229,371973,527,8201,0.379
75,4381310,399651,529,247,0.403
80,4392119,426856,530,502,0.431
85,4349677,452091,531,796,0.453
90,4329459,480412,531,1181,0.476
95,4329193,500809,529,228,0.503
100,4352360,526527,529,862,0.531
105,4328607,551006,529,1429,0.556
110,4342686,577943,529,1777,0.584
115,4347021,603365,529,2323,0.609
120,4361753,627768,528,2910,0.639
125,4330580,653069,528,3528,0.660
130,4359746,677669,528,4022,0.691
135,4338900,700703,527,4593,0.715
140,4319814,725414,527,5193,0.738
145,4287686,750928,527,5826,0.759
150,4298695,777777,527,6428,0.785
155,4284644,799919,526,6973,0.811
160,4285704,827607,527,7305,0.836
165,4284697,854741,527,7805,0.862
170,4274153,879700,528,8337,0.885
175,4248250,906329,528,8616,0.906
180,4236772,931398,527,249,0.927
185,4217259,955674,527,904,0.948
190,4217799,981134,527,1416,0.973
195,4202180,1009216,528,1973,0.995
200,4195454,1034883,527,2291,1.019
205,4215684,1059660,527,2852,1.049
210,4216886,1085802,528,3332,1.074
215,4203292,1110077,527,215,1.089
220,4192582,1138044,528,735,1.111
225,4183567,1160691,527,1398,1.134
230,4192364,1190198,528,1939,1.162
235,4187386,1213790,528,2359,1.185
240,4190172,1239884,528,2691,1.211
245,4192757,1263936,527,3284,1.235
250,4197947,1288817,527,3721,1.263
255,4195703,1316521,528,3875,1.289
260,4201451,1344216,528,3989,1.315
265,4199533,1369933,528,4443,1.340
270,4196184,1396653,528,5044,1.364
275,4205689,1419969,528,5683,1.392
280,4199444,1447704,528,5906,1.417
285,4195306,1472881,528,6348,1.439
290,4199396,1496435,528,6910,1.466
295,4195707,1521644,528,7301,1.489
300,4210410,1548519,528,7648,1.519
305,4205226,1572944,528,8243,1.544
310,4205315,1598005,528,8705,1.569
315,4208359,1625036,528,9110,1.594
320,4211932,1651519,528,9596,1.621
325,4219219,1677378,528,10216,1.649
330,4222578,1701817,528,10859,1.676
335,4234299,1728715,528,11212,1.707
340,4229538,1756001,528,11466,1.731
345,4235892,1782369,528,11646,1.758
350,4229616,1809269,529,11987,1.781
355,4234207,1835394,529,12477,1.807
360,4243657,1862133,529,12864,1.837
365,4234413,1887555,529,13446,1.860
370,4245695,1912493,529,14121,1.889
375,4238402,1937972,529,14676,1.911
380,4229415,1964129,529,15303,1.933
385,4241575,1990015,529,15956,1.961
390,4237141,2014423,529,16658,1.987
395,4236951,2043038,529,186,2.012
400,4237975,2068893,529,800,2.035
405,4239183,2094861,529,212,2.078
410,4232990,2119069,529,950,2.100
415,4226978,2141262,528,1691,2.121
420,4216553,2169023,528,2136,2.143
