secs,pps,tps,gps,glst,bpc
0,3826268,11716,354,384,0.008
5,3190967,31594,333,496,0.025
10,2799669,48281,319,641,0.039
15,2772850,68354,324,649,0.055
20,2646948,83333,317,913,0.068
25,2611478,99025,310,941,0.082
30,2568787,113721,307,1160,0.096
35,2468951,126946,303,1395,0.107
40,2452288,141039,299,1587,0.121
45,2412573,156747,300,1712,0.133
50,2378383,172053,297,1942,0.146
55,2345232,185589,296,2093,0.157
60,2332341,199964,294,2195,0.169
65,2301267,214836,294,2308,0.182
70,2289346,228382,293,2564,0.194
75,2259582,241871,292,2825,0.205
80,2243352,257809,291,2938,0.217
85,2230657,272644,291,3111,0.229
90,2233700,287928,291,3207,0.243
95,2223153,302455,290,3455,0.254
100,2205230,318783,290,3593,0.266
105,2175235,332874,290,3652,0.274
110,2159182,348955,290,3766,0.286
115,2152005,364030,290,3931,0.297
120,2152614,377968,289,3910,0.311
125,2157267,389867,288,3929,0.323
130,2153948,403982,287,4122,0.336
135,2153398,419241,288,4219,0.348
140,2154099,435596,288,4325,0.361
145,2152035,448964,287,4508,0.374
150,2161448,461096,287,4704,0.388
155,2163047,477547,287,4732,0.401
160,2158770,492795,287,4845,0.413
165,2148745,506745,286,5110,0.423
170,2158376,521494,286,5313,0.439
175,2179475,532502,286,5585,0.455
180,2170080,548092,286,110,0.467
185,2175158,562739,285,340,0.480
190,2165500,577962,285,408,0.492
195,2167893,592775,285,526,0.504
200,2167913,607703,285,631,0.518
205,2165517,622937,285,708,0.531
210,2162490,639171,285,81,0.547
215,2164019,653518,286,169,0.561
220,2161686,669372,286,286,0.574
225,2158041,686273,286,371,0.585
230,2152719,699334,286,569,0.596
235,2144494,713976,285,666,0.607
240,2153170,728800,285,835,0.622
245,2150106,742893,285,902,0.633
250,2149042,760358,286,866,0.647
255,2152152,772922,286,930,0.659
260,2157389,788763,285,1031,0.674
265,2150349,804041,286,1158,0.686
270,2148643,816887,285,1320,0.698
275,2150984,833010,285,1489,0.712
280,2149050,844848,285,1706,0.724
285,2148367,859595,285,1926,0.736
290,2149686,874208,285,2124,0.750
295,2151959,888063,285,2310,0.763
300,2147051,902090,284,2477,0.775
305,2142527,914636,284,2716,0.785
310,2145406,930784,284,2746,0.799
315,2139310,943908,284,2960,0.810
320,2136115,960248,284,3124,0.821
325,2129258,973782,284,3312,0.832
330,2125707,988436,284,3421,0.843
335,2119943,1004040,284,3461,0.853
340,2121198,1020005,284,3552,0.866
345,2125303,1033455,284,3815,0.881
350,2127072,1048577,284,3901,0.894
355,2122408,1063393,284,4027,0.905
360,2142333,1079894,284,4152,0.924
365,2142892,1095892,284,4376,0.939
370,2142228,1109320,284,4536,0.952
375,2152280,1125498,284,4548,0.970
380,2172843,1139714,284,4659,0.990
385,2173960,1154287,284,4735,1.005
390,2174598,1168640,284,144,1.019
395,2180129,1183854,284,301,1.034
400,2176107,1197129,284,533,1.045
405,2174297,1210533,284,808,1.057
410,2172593,1223898,284,970,1.070
415,2172201,1238948,284,1050,1.082
420,2172864,1251492,283,1370,1.096
425,2178795,1267061,284,1494,1.111
430,2177508,1284395,284,1514,1.124
435,2172884,1298058,284,1596,1.135
440,2164529,1309311,283,112,1.147
445,2161229,1325993,283,158,1.158
450,2161811,1342598,284,163,1.171
455,2156027,1357406,284,277,1.181
460,2153733,1370890,283,416,1.193
465,2151101,1388520,284,520,1.204
470,2152597,1402326,284,678,1.218
475,2153687,1414650,283,904,1.231
480,2151329,1428766,283,1051,1.243
485,2157775,1444549,284,1143,1.259
490,2160992,1460583,284,1229,1.275
495,2160157,1476019,284,1338,1.287
500,2156188,1489001,283,1440,1.297
505,2153660,1500131,283,1491,1.309
510,2155562,1515310,283,1612,1.323
515,2158134,1530144,283,1716,1.337
520,2157718,1545573,283,1758,1.351
525,2160021,1561325,283,1804,1.364
530,2156341,1576410,283,1903,1.376
535,2151077,1591280,283,1911,1.385
540,2152463,1607164,283,2011,1.398
545,2151470,1621530,283,2191,1.411
550,2150506,1635506,283,2364,1.423
555,2154050,1651509,283,2492,1.439
560,2150082,1664937,283,2701,1.449
565,2147984,1676986,283,207,1.453
570,2149939,1694431,283,133,1.466
575,2147222,1708597,283,244,1.477
580,2144886,1724233,283,134,1.488
585,2143296,1732758,283,273,0.006
590,2138272,1746315,283,10,0.015
595,2136782,1761216,283,209,0.025
600,2135077,1773137,283,490,0.037
605,2139375,1788795,283,617,0.052
610,2140516,1806058,283,557,0.067
615,2136771,1820209,283,784,0.076
620,2136544,1833918,283,972,0.089
625,2135811,1846870,283,1172,0.101
630,2139677,1861893,283,1345,0.115
635,2137965,1876332,282,1488,0.127
640,2139160,1891155,282,1694,0.141
645,2136510,1904898,282,1901,0.152
650,2132691,1919656,282,1788,0.162
655,2127882,1931036,282,1914,0.170
660,2129358,1947165,282,1998,0.183
665,2129526,1960002,282,2172,0.197
670,2127236,1973201,282,2369,0.207
675,2130181,1987103,282,2418,0.222
680,2128726,1999672,282,2332,0.234
685,2127692,2013951,282,2467,0.245
690,2128401,2027191,282,2629,0.257
695,2133775,2041950,282,2745,0.275
700,2135689,2055837,282,2869,0.287
705,2134564,2068309,282,2980,0.301
710,2136209,2082542,282,2999,0.315
715,2134935,2096559,281,2930,0.327
720,2132929,2107227,281,2975,0.338
725,2134490,2123755,281,3050,0.351
730,2139318,2139130,281,3029,0.367
735,2138238,2153802,281,3093,0.380
740,2135689,2167957,281,3216,0.390
745,2134562,2181433,281,3366,0.402
750,2135524,2194483,281,3503,0.415
755,2134127,2209048,281,3629,0.427
760,2133282,2220618,281,3624,0.438
765,2131782,2238433,281,3654,0.450
770,2137025,2258921,282,61,0.463
775,2135478,2270402,281,58,0.473
780,2130941,2281600,281,16,0.483
785,2131323,2295232,281,164,0.495
790,2129825,2309203,281,281,0.506
795,2129672,2325568,281,337,0.518
800,2129436,2340710,281,463,0.531
805,2127487,2355148,281,659,0.543
810,2126930,2370229,281,662,0.555
815,2124856,2383959,281,835,0.564
820,2124203,2398152,281,1021,0.577
825,2125033,2411281,281,1234,0.590
830,2128985,2427301,281,1281,0.603
835,2129385,2442804,281,1368,0.619
840,2127757,2455998,281,1507,0.630
845,2130697,2470452,281,1730,0.644
850,2135725,2485674,281,1789,0.663
855,2134871,2501926,281,1971,0.674
860,2134773,2515661,281,2110,0.688
865,2134347,2530347,281,2246,0.700
870,2133472,2546138,281,2318,0.712
875,2131519,2556879,281,173,0.726
880,2129696,2568965,281,211,0.737
885,2129738,2583489,281,316,0.749
890,2126934,2601143,281,415,0.759
895,2128986,2613774,281,406,0.774
