secs,pps,tps
0,1485668,5772262
5,1444612,5906010
10,1444077,5804589
15,1418321,5815561
20,1393126,5768016
25,1384382,5669865
30,1356240,5584670
35,1335021,5516009
40,1323581,5428823
45,1312315,5399501
50,1431632,5102959
55,1536595,4853761
60,1624364,4656031
65,1693631,4467864
70,1754839,4308925
75,1814772,4176634
80,1856796,4050135
85,1900249,3946204
90,1927557,3844182
95,1962529,3754849
100,1989082,3671429
105,2019222,3609623
110,2045555,3539967
115,2066345,3484005
120,2089912,3424727
125,2104906,3369663
130,2123275,3325616
135,2141790,3283235
140,2156167,3242959
145,2170265,3204680
150,2181492,3165831
155,2194756,3135351
160,2203862,3101438
165,2212313,3072437
170,2222592,3044248
175,2233643,3015257
180,2239736,2989771
185,2247250,2963995
190,2255121,2944765
195,2260168,2918753
200,2262923,2893513
205,2266645,2872352
210,2272828,2852500
215,2279533,2837400
220,2286351,2818811
225,2294120,2803846
230,2301329,2789321
235,2308083,2776552
240,2312428,2760787
245,2316448,2747578
250,2316877,2731430
255,2317851,2715021
260,2322108,2703332
265,2324890,2688842
270,2328014,2677791
275,2330925,2665837
280,2332814,2655779
285,2334645,2642451
290,2335596,2629953
295,2337931,2621061
300,2341594,2611056
305,2345761,2604240
310,2349636,2596988
315,2349974,2584398
320,2354560,2576929
325,2358221,2571547
330,2361949,2564392
335,2365715,2559159
340,2365160,2548219
345,2365473,2538965
350,2365345,2530993
355,2365900,2522506
360,2366052,2515279
365,2364326,2505367
370,2364593,2498667
375,2364894,2490801
380,2363858,2484037
385,2363372,2476648
390,2363641,2467988
395,2364065,2462346
400,2363125,2455010
405,2363172,2448423
410,2362883,2441648
415,2363007,2436289
420,2364958,2431293
425,2364935,2426056
430,2365300,2420128
435,2364862,2414311
440,2365334,2409554
445,2363949,2402608
450,2362841,2398000
455,2363359,2391703
460,2363149,2387080
465,2362255,2381083
470,2362506,2376761
475,2365133,2374235
480,2366633,2370304
485,2367318,2367435
490,2368408,2362917
495,2369850,2359236
500,2371296,2355660
505,2373336,2354176
510,2374830,2350828
515,2376347,2349296
520,2377536,2346134
525,2378201,2341861
530,2379574,2339406
535,2380224,2335599
540,2380305,2332281
545,2379175,2327440
550,2381701,2326438
555,2382936,2323543
560,2383928,2320778
565,2384766,2318561
570,2383878,2313988
575,2384099,2311231
580,2384272,2307861
585,2384626,2305951
590,2385804,2303438
595,2387175,2300897
600,2389483,2300251
605,2390777,2298619
610,2393143,2297857
615,2394595,2295358
620,2396302,2294008
625,2398716,2293184
630,2400068,2291846
635,2402060,2290651
640,2403815,2289027
645,2405295,2287690
650,2407241,2286902
655,2408998,2285666
660,2410953,2284417
665,2412456,2283813
670,2413482,2281706
675,2415291,2280448
680,2417094,2279228
685,2418460,2278633
690,2419104,2276564
695,2420947,2276250
700,2422488,2274933
705,2423367,2273709
710,2425389,2273205
715,2426642,2272169
720,2428397,2270974
725,2429826,2271174
730,2431164,2269371
735,2432615,2268924
740,2434006,2267950
745,2434757,2266132
750,2436596,2266403
755,2437688,2264755
760,2438041,2263555
765,2439187,2262496
770,2439871,2260967
775,2441040,2260658
780,2441886,2258877
785,2442773,2257883
790,2444203,2257681
795,2444362,2255989
800,2445603,2255651
805,2447033,2254856
810,2447827,2253886
815,2449002,2252409
820,2449558,2251457
825,2450498,2251132
830,2451542,2249655
835,2452771,2249445
840,2453729,2248564
845,2454157,2247150
850,2455331,2246942
855,2456312,2246141
860,2457159,2245847
865,2457855,2244396
870,2458351,2243742
875,2459737,2243454
880,2459500,2241495
885,2459848,2241340
890,2460738,2239988
895,2461919,2239386
900,2462258,2238672
905,2462833,2237845
910,2463510,2236551
915,2463700,2235742
920,2464568,2235059
925,2465064,2234385
930,2465895,2233699
935,2467073,2233013
940,2467315,2232315
945,2467740,2231628
950,2468375,2230431
955,2469155,2230319
960,2469928,2229284
965,2470599,2228553
970,2471322,2228423
975,2471877,2227389
980,2472237,2226702
985,2473369,2226128
990,2473857,2225981
995,2474801,2224890
1000,2475503,2224801
1005,2476328,2224309
1010,2477203,2223723
1015,2477987,2223585
1020,2478337,2223000
1025,2478995,2222914
1030,2479558,2221880
1035,2480335,2221413
1040,2480537,2220732
1045,2481127,2220261
1050,2481787,2219720
1055,2482549,2219632
1060,2482792,2218528
1065,2483596,2218495
1070,2484177,2218064
1075,2483795,2216509
1080,2482888,2215543
1085,2483692,2214571
1090,2484077,2214480
1095,2484634,2214068
1100,2485527,2213552
1105,2485736,2212984
1110,2486515,2212524
1115,2487138,2212540
1120,2487718,2212056
