secs,pps,tps,gps,glst,bpc
0,3044972,21532,364,48,0.012
5,2928236,41659,352,183,0.025
10,3209072,58140,341,308,0.044
15,3072101,79015,339,383,0.057
20,2848729,95271,335,429,0.069
25,2760727,112118,331,541,0.080
30,2652084,127502,327,720,0.092
35,2636933,141876,324,794,0.104
40,2722927,157383,322,914,0.121
45,2668131,172632,320,1036,0.132
50,2602924,187742,317,1132,0.142
55,2517110,201911,315,1322,0.151
60,2463236,217898,314,1471,0.161
65,2442961,231102,312,1569,0.170
70,2470940,244633,310,1713,0.186
75,2527477,261670,310,1752,0.200
80,2495890,275642,309,1909,0.214
85,2498447,287883,307,2121,0.225
90,2450678,298662,304,2366,0.234
95,2419471,313024,304,2451,0.244
100,2404738,330280,304,2439,0.255
105,2386102,345677,304,2584,0.265
110,2371025,360766,304,2748,0.276
115,2348606,374748,303,2987,0.285
120,2365443,389304,303,3022,0.299
125,2386304,403407,303,3141,0.313
130,2384714,420270,303,3185,0.326
135,2389760,434567,303,3276,0.339
140,2429841,448301,302,3494,0.357
145,2432914,463242,302,3706,0.370
150,2421375,479032,302,3802,0.380
155,2402622,490800,301,3918,0.390
160,2391942,506212,300,3786,0.401
165,2385446,518566,300,3902,0.412
170,2384124,536200,300,4012,0.422
175,2385992,550032,300,4194,0.436
180,2398412,564677,300,73,0.450
185,2379022,579353,299,178,0.460
190,2372420,596129,300,100,0.471
195,2372412,609219,299,188,0.482
200,2390282,623027,299,459,0.497
205,2379382,637308,299,572,0.508
210,2358586,649219,298,88,0.518
215,2349098,667274,299,94,0.528
220,2348751,682625,299,241,0.540
225,2346113,699770,299,294,0.551
230,2340284,716105,299,458,0.562
235,2334680,733341,300,509,0.573
240,2336247,747426,299,632,0.585
245,2336277,761787,299,801,0.596
250,2340862,771571,298,52,0.609
255,2346386,789626,298,173,0.621
260,2342810,804072,298,342,0.633
265,2333879,818887,298,452,0.643
270,2347643,837333,299,443,0.658
275,2360101,852039,299,500,0.674
280,2345888,866055,299,589,0.682
285,2341533,879087,298,56,0.690
290,2339263,893169,298,212,0.700
295,2333240,905184,297,224,0.711
300,2324584,918007,297,427,0.720
305,2316306,931506,297,652,0.729
310,2322436,948315,297,820,0.742
315,2328223,964020,297,974,0.755
320,2320604,980631,297,1050,0.766
325,2311379,997534,298,1111,0.774
330,2307300,1014334,298,107,0.775
335,2311198,1029874,298,238,0.788
340,2315484,1044987,298,395,0.802
345,2313327,1059185,298,605,0.811
350,2317489,1072451,298,656,0.824
355,2308671,1085266,297,763,0.834
360,2315407,1099303,297,831,0.848
365,2314129,1117170,297,835,0.859
370,2313452,1130216,297,976,0.871
375,2325860,1144662,297,1113,0.887
380,2334588,1159316,297,1309,0.901
385,2331825,1175832,297,1093,0.913
390,2333019,1191681,297,1211,0.925
395,2327612,1205937,297,1371,0.934
400,2322011,1224488,298,115,0.938
405,2322210,1237339,297,294,0.951
410,2310176,1254113,298,371,0.958
415,2315626,1268023,297,591,0.971
420,2317968,1285749,298,95,0.973
425,2324816,1300024,298,235,0.988
430,2325762,1313607,297,423,0.999
435,2324606,1327663,297,595,1.010
440,2324123,1339870,297,771,1.022
445,2323876,1352680,297,126,1.022
450,2321546,1367298,297,178,1.032
455,2318426,1382186,297,309,1.042
460,2313450,1396780,297,364,1.052
465,2315340,1414658,297,431,1.063
470,2317912,1429078,297,597,1.077
475,2311726,1444939,297,720,1.085
480,2306687,1458482,297,888,1.094
485,2305083,1474590,297,958,1.105
