secs,pps,tps,gps,glst,bpc
0,35929163,61585,2448,591,0.069
5,37294985,123450,2379,1463,0.207
10,41494302,178366,2334,1341,0.376
15,40642281,238687,2318,973,0.522
20,43519155,302848,2340,946,0.718
25,42756238,357550,2330,1732,0.847
30,41597710,412597,2294,2881,0.987
35,40565611,449419,2245,570,1.122
40,42362277,506246,2250,1032,1.311
45,42463710,563136,2236,2153,1.489
50,43125248,617168,2231,2768,1.657
55,42365486,671867,2231,2996,1.786
60,42539400,725663,2228,2904,1.943
65,41979838,780234,2228,1878,2.069
70,42170368,833203,2225,3026,2.232
75,41642323,889844,2218,3020,2.341
80,42119160,941879,2213,3330,2.530
85,42590866,990505,2212,4158,2.713
90,43032646,1049675,2213,4592,2.897
95,42884306,1109640,2215,5341,3.043
100,43266991,1168902,2216,5924,3.236
105,42874646,1223833,2217,6276,3.361
110,43281200,1282825,2217,5290,3.556
115,43198185,1329865,2214,5417,3.692
120,42821049,1383468,2214,6407,3.804
125,42784628,1441727,2213,6323,3.961
130,42364515,1492637,2208,6720,4.076
135,42225859,1540600,2207,7094,4.205
140,42392986,1598535,2206,7355,4.391
145,42618611,1651993,2206,7675,4.548
150,42491516,1704995,2205,8440,4.696
155,42366555,1762776,2204,9087,4.838
160,42756067,1815202,2203,9961,5.052
165,42482734,1869857,2204,10064,5.165
170,42624716,1924723,2205,9120,5.327
175,43337104,2004227,2206,9449,5.580
180,43412144,2062814,2206,10054,5.809
185,43187874,2121861,2207,10798,5.940
190,42846214,2169815,2206,11760,6.036
195,42754110,2227314,2205,11162,6.178
200,42613570,2282081,2206,11849,6.310
205,42640854,2335278,2205,12108,6.472
210,42446551,2388138,2204,12572,6.594
215,42343956,2451253,2208,204,6.728
220,42500877,2504387,2208,1217,6.899
225,42538048,2561775,2207,2050,7.047
230,42722216,2615259,2207,2773,7.247
235,43241512,2665060,2204,3982,7.483
240,42902752,2710354,2201,5338,7.590
245,43367576,2763529,2200,5818,7.824
250,43614943,2823020,2201,5629,8.028
255,43556832,2882590,2202,4781,8.141
260,43716425,2936867,2203,5331,8.360
265,43527935,2997270,2204,5774,8.472
270,43283539,3050166,2204,1061,8.674
275,43109950,3109910,2208,68,8.793
280,42916461,3166299,2207,538,8.916
285,43109550,3218422,2206,1464,9.104
290,42903212,3276942,2206,282,9.209
295,43019894,3329041,2205,813,9.397
300,43137822,3375998,2204,700,9.575
305,43621687,3434870,2205,1279,9.803
310,43466978,3492805,2204,1936,9.969
315,43329859,3541441,2205,2582,10.093
