secs,pps,tps,gps,glst,bpc
0,358889,69752,7827,347,0.001
5,256622,119666,6669,1370,0.002
10,545289,171427,6265,1758,0.003
15,577741,212788,6160,1609,0.009
20,545884,264010,6025,2061,0.010
25,561312,320138,6068,209,0.013
30,577673,339018,5778,1549,0.016
35,548010,388849,5730,3161,0.018
40,540135,431158,5716,3578,0.020
45,504902,480150,5674,3229,0.021
50,496461,521437,5666,3051,0.023
55,484362,572918,5658,1008,0.024
60,461802,625984,5670,930,0.025
65,462845,665585,5656,2325,0.027
70,479490,716700,5650,2586,0.030
75,499138,757451,5647,4135,0.032
80,494996,805535,5621,5269,0.035
85,518726,843859,5603,7696,0.038
90,503754,871277,5581,9618,0.040
95,483359,928475,5557,10249,0.041
100,475064,957598,5550,7744,0.042
105,461520,1016741,5540,8241,0.043
110,466117,1045086,5530,10787,0.045
115,457177,1093814,5520,9813,0.047
120,464182,1132838,5514,10591,0.049
125,513753,1183271,5513,11214,0.056
130,503849,1223152,5512,11739,0.058
135,491346,1251313,5456,566,0.059
140,489035,1281285,5454,1562,0.060
145,475804,1330621,5448,3466,0.061
150,489491,1367821,5436,5399,0.064
155,481820,1405969,5427,5981,0.066
160,482734,1455779,5426,6903,0.067
165,487806,1495807,5425,0,0.070
170,481769,1535636,5424,2745,0.072
175,482043,1582616,5414,2423,0.074
180,484819,1621989,5413,449,0.076
185,478464,1679844,5440,716,0.078
190,506540,1738750,5439,1443,0.081
195,506226,1804726,5491,572,0.087
200,505836,1848366,5476,1395,0.089
205,503777,1887724,5476,211,0.091
210,497786,1934278,5469,2357,0.092
215,501182,1977720,5481,901,0.094
220,499455,2049445,5545,399,0.095
225,487807,2080538,5497,20,0.096
230,478368,2098722,5468,651,0.096
235,476210,2135583,5463,3092,0.097
240,471310,2182175,5457,3665,0.099
245,466546,2211472,5457,2111,0.099
250,465242,2269858,5456,1745,0.101
255,462416,2299740,5457,1758,0.102
260,457962,2356443,5452,3069,0.103
265,462712,2383428,5447,2902,0.106
270,462549,2431337,5445,1833,0.108
275,460180,2470169,5444,1873,0.110
280,458529,2507033,5439,1930,0.111
285,464571,2555837,5438,3118,0.114
290,463533,2594052,5436,4225,0.116
295,475071,2642798,5435,4507,0.122
300,490663,2672194,5435,4623,0.127
305,505165,2730913,5435,3281,0.133
310,500009,2761269,5417,37,0.135
315,494565,2794791,5405,379,0.136
320,504092,2808387,5393,405,0.138
325,538822,2841664,5381,284,0.147
330,542831,2881067,5381,1223,0.155
335,537780,2929723,5379,2132,0.156
340,538869,2966653,5374,3835,0.159
345,543598,3014641,5372,3632,0.163
350,540857,3053691,5371,3191,0.164
355,536588,3103085,5371,3981,0.166
360,542688,3132686,5371,5227,0.169
365,542800,3170745,5368,6580,0.171
370,541145,3219678,5368,8638,0.173
375,537930,3257271,5364,8574,0.175
380,536583,3307574,5366,7464,0.177
385,539910,3346205,5365,9069,0.178
390,533305,3395272,5364,10344,0.181
395,532727,3434718,5364,11384,0.182
400,531646,3472975,5362,12489,0.184
405,532339,3512112,5362,12669,0.186
410,529348,3558897,5358,13402,0.188
415,527948,3596989,5356,14293,0.190
420,524266,3646415,5356,14294,0.191
425,522500,3675444,5356,15606,0.192
430,517813,3735656,5357,8450,0.193
435,525027,3804721,5371,118,0.196
440,521600,3828259,5363,18,0.199
445,517651,3876793,5362,728,0.200
450,515194,3914202,5359,1825,0.201
455,511938,3953739,5359,1689,0.201
460,507966,4000928,5357,345,0.202
465,507748,4029714,5356,1309,0.204
470,504977,4086164,5352,487,0.206
475,503433,4116177,5353,661,0.207
480,519493,4165348,5353,1214,0.212
485,518320,4204246,5352,1790,0.217
490,522012,4270603,5362,1412,0.221
495,542758,4298667,5360,3071,0.230
500,547348,4345830,5358,4078,0.235
505,552335,4384453,5357,5298,0.240
510,557812,4423455,5357,6114,0.245
515,554751,4472074,5356,6698,0.247
520,551993,4511719,5357,7730,0.248
525,552071,4550651,5356,7916,0.250
530,554592,4599057,5356,8363,0.252
535,553791,4638711,5356,9195,0.256
540,550968,4677005,5355,8467,0.257
545,547118,4726984,5356,7970,0.257
550,545184,4765779,5356,4959,0.259
555,544830,4813357,5354,6212,0.260
560,543572,4841752,5353,8237,0.262
565,546988,4897080,5349,9358,0.264
570,545496,4925466,5348,11384,0.268
575,544114,4964074,5348,13036,0.269
580,543228,5013398,5348,13629,0.271
585,540340,5052696,5348,11711,0.273
590,541302,5101603,5348,11901,0.275
595,541101,5140198,5347,12729,0.277
600,537926,5187855,5346,13666,0.278
605,540102,5216469,5345,12730,0.280
610,538571,5264747,5345,14542,0.282
615,536640,5303211,5344,15158,0.285
620,534417,5352624,5344,15733,0.285
625,534610,5390148,5343,16816,0.287
630,534011,5419191,5342,18388,0.289
635,540288,5476307,5341,17157,0.293
640,540468,5504793,5340,18645,0.297
645,535891,5552680,5339,19477,0.298
650,534478,5591035,5338,20064,0.299
655,537711,5629559,5338,21554,0.303
660,534478,5642961,5323,728,0.309
665,533473,5713104,5333,5,0.310
670,531379,5740384,5331,641,0.311
675,530891,5782400,5325,1307,0.313
680,531263,5821697,5325,1461,0.316
685,540799,5871985,5326,730,0.323
690,541857,5911313,5326,765,0.326
695,544555,5950668,5326,1939,0.330
700,541838,5998630,5326,2439,0.332
705,542920,6037202,5325,3675,0.334
710,545998,6086390,5325,4899,0.339
715,544605,6124814,5325,3774,0.340
720,542172,6163804,5325,5279,0.341
725,543564,6202122,5324,7026,0.344
730,544358,6239197,5322,8269,0.346
735,541893,6287427,5322,7072,0.348
740,541775,6309348,5315,2308,0.352
745,539685,6337128,5314,4858,0.353
750,538931,6392703,5311,5156,0.356
755,537652,6421185,5311,6873,0.357
760,536820,6479441,5310,7645,0.359
765,534608,6508907,5311,7744,0.360
770,533124,6569441,5312,7023,0.361
775,531647,6598900,5312,5543,0.362
780,530497,6648760,5313,5065,0.364
785,531349,6687241,5313,6074,0.366
790,532233,6734909,5312,8132,0.368
795,531560,6773478,5311,6289,0.371
800,529000,6813359,5312,6032,0.372
805,528670,6862472,5312,6360,0.374
810,532077,6892350,5312,4289,0.378
815,529510,6950154,5312,5449,0.379
820,529399,6979290,5312,6702,0.381
825,529654,7027444,5311,6548,0.384
830,529494,7065701,5311,7347,0.386
835,528571,7115078,5311,6718,0.388
840,530124,7161923,5317,420,0.387
845,528018,7209814,5316,1875,0.389
850,532266,7248395,5316,3409,0.394
855,530436,7285099,5314,3488,0.395
860,528806,7331153,5313,5835,0.396
865,529010,7360191,5312,5151,0.398
870,530437,7408988,5312,5816,0.402
875,533935,7457414,5312,5813,0.407
880,532179,7495231,5311,3844,0.408
885,533884,7532896,5311,5150,0.411
890,531892,7570465,5310,5774,0.412
895,530654,7619132,5310,6173,0.414
900,531327,7658324,5310,7096,0.416
905,530357,7698217,5311,8354,0.418
910,528544,7736273,5310,9219,0.419
915,528225,7784371,5310,10034,0.421
920,526886,7822352,5309,11723,0.422
925,525615,7860549,5308,13164,0.423
930,527987,7908527,5308,14775,0.425
935,527217,7947501,5308,15581,0.429
940,526102,7996967,5309,16019,0.430
945,528980,8037476,5310,15913,0.434
950,527638,8066752,5310,14840,0.436
955,527233,8125567,5310,14415,0.438
960,528731,8153222,5309,16080,0.441
965,526383,8212021,5309,15796,0.442
970,525210,8241236,5309,16462,0.443
975,524163,8300396,5310,16595,0.445
980,524243,8329728,5310,17381,0.446
985,521258,8353270,5300,1097,0.447
990,522138,8382344,5300,1897,0.449
