secs,pps,tps
0,2778569,2659649
5,2707370,2584514
10,2740602,2623249
15,2703273,2585622
20,2702936,2581660
25,2705997,2594336
30,2706661,2586841
35,2695174,2578678
40,2685028,2568947
45,2693830,2574219
50,2699162,2580967
55,2694457,2578240
60,2686067,2570623
65,2674040,2556187
70,2681286,2566032
75,2688109,2573462
80,2674695,2560447
85,2675231,2561302
90,2681793,2566897
95,2682932,2569304
100,2673499,2559789
105,2669156,2554339
110,2670654,2556065
115,2672068,2557427
120,2661501,2547464
125,2658266,2543547
130,2659113,2545598
135,2660299,2545779
140,2651834,2538036
145,2650232,2536257
150,2645365,2531327
155,2642835,2528887
160,2642500,2529157
165,2637360,2523208
170,2639165,2525905
175,2639024,2525568
180,2638072,2525178
185,2640990,2528496
190,2642961,2529020
195,2642241,2529481
200,2640746,2527366
205,2642949,2528856
210,2642432,2528818
215,2644973,2531717
220,2646994,2532481
225,2646172,2532131
230,2646294,2532531
235,2649351,2535207
240,2648182,2533948
245,2646032,2532133
250,2642965,2528915
255,2639185,2525890
260,2638971,2525551
265,2636707,2523114
270,2633166,2519690
275,2629469,2516231
280,2630093,2517876
285,2630390,2517463
290,2631309,2518009
295,2632305,2519516
300,2633406,2520242
305,2632762,2519510
310,2635714,2522148
315,2636982,2523786
320,2639011,2525541
325,2638225,2524775
330,2638494,2524832
335,2639064,2525867
340,2640353,2526722
345,2639926,2526588
350,2641102,2528176
355,2643090,2529537
360,2644256,2530934
365,2642868,2529757
370,2644408,2530796
375,2645159,2531869
380,2647773,2534129
385,2649228,2535704
390,2649643,2535930
395,2646596,2533063
400,2647910,2534249
405,2647128,2533489
410,2647629,2534046
415,2648477,2535175
420,2648537,2535068
425,2650206,2536519
430,2650712,2537079
435,2651213,2537632
440,2650449,2537182
445,2651699,2538016
450,2652495,2539000
455,2653183,2539725
460,2653635,2540156
465,2654707,2541115
470,2655751,2542114
475,2656718,2542973
480,2657361,2543860
485,2658769,2545078
490,2659656,2545862
495,2660449,2546294
500,2661024,2546648
505,2661935,2547919
510,2662086,2548185
515,2662441,2548523
520,2662915,2548787
525,2662755,2548504
530,2663470,2549378
535,2664342,2550156
540,2665194,2551214
545,2666080,2551948
550,2667095,2552627
555,2667126,2552715
560,2667764,2553094
565,2668550,2553972
570,2669979,2555234
575,2671051,2556330
580,2671569,2556830
585,2669221,2554448
590,2668666,2554300
595,2669382,2554936
600,2670471,2555659
605,2669870,2555046
610,2670357,2555516
615,2670807,2556113
620,2671722,2556892
625,2671940,2557154
630,2672229,2557434
635,2670811,2556216
640,2670692,2556201
645,2670543,2555953
650,2671414,2556541
655,2672144,2557548
660,2672875,2558005
665,2672648,2557884
670,2672848,2558125
675,2672978,2558298
680,2673143,2558650
685,2673504,2558804
690,2673950,2559233
695,2675063,2560355
700,2674660,2560104
705,2675448,2560585
710,2676434,2561769
715,2677385,2562549
720,2677863,2563147
725,2678030,2563350
730,2678457,2563537
735,2679034,2564406
740,2679542,2564850
745,2679855,2565151
750,2680332,2565914
755,2681000,2566468
760,2681105,2566434
765,2681584,2567194
770,2681910,2567334
775,2682429,2567919
780,2682639,2568325
785,2682781,2568123
790,2683398,2568673
795,2683143,2568671
800,2683766,2569188
805,2684024,2569596
810,2684199,2569761
815,2684390,2569780
820,2685095,2570536
825,2685432,2570820
830,2685881,2571090
835,2685724,2571133
840,2686125,2571479
845,2686020,2571296
850,2686862,2572109
855,2687111,2572193
860,2687284,2572509
865,2687668,2572840
870,2687524,2572622
875,2687787,2573023
880,2688363,2573353
885,2688531,2573514
890,2689018,2574056
895,2689149,2574216
900,2689709,2574681
905,2689948,2574875
910,2690790,2575578
915,2690849,2575920
920,2690415,2575355
925,2690830,2575575
930,2691002,2575848
935,2691165,2575864
940,2691980,2576825
945,2691810,2576727
950,2691687,2576503
955,2691287,2576113
960,2691594,2576510
965,2691419,2576374
970,2691303,2576327
975,2691524,2576640
980,2692177,2577067
985,2692450,2577296
990,2693011,2577870
