secs,pps,tps,gps,glst,bpc
0,2126861,18395,481,490,0.005
5,1756714,43496,478,571,0.012
10,1906277,67213,478,701,0.022
15,1998614,90481,477,690,0.033
20,1971288,115022,474,822,0.041
25,1939105,138076,473,966,0.050
30,2069371,159145,469,1218,0.062
35,2080704,184383,470,1272,0.073
40,2000985,207476,469,1353,0.080
45,1983073,228189,466,1554,0.089
50,2043112,252549,465,1684,0.100
55,2042734,273402,463,1686,0.111
60,2172018,293622,461,1938,0.128
65,2163409,314024,459,2065,0.137
70,2108649,334501,458,1956,0.144
75,2065832,354629,456,2016,0.151
80,2063760,380974,459,101,0.162
85,2018489,404158,458,100,0.169
90,1976909,422668,456,394,0.175
95,1950568,442384,455,621,0.182
100,1921570,462122,453,938,0.188
105,1919586,483479,453,1067,0.197
110,1933598,504642,453,1228,0.208
115,1937261,529956,453,1345,0.218
120,1930366,551852,454,1357,0.226
125,1930641,571028,452,1561,0.235
130,1928932,591237,451,1810,0.245
135,1928902,609119,450,2180,0.253
140,1948591,627398,449,2525,0.265
145,1946122,650693,449,149,0.274
150,1943316,672081,449,265,0.283
155,1961950,692161,448,500,0.294
160,1957470,713251,448,700,0.303
165,1965447,735248,448,902,0.314
170,1953292,757582,448,1093,0.322
175,1955464,778398,448,1277,0.331
180,1953538,799365,448,1431,0.340
185,1945551,820165,448,1651,0.348
190,1937339,843771,448,1563,0.356
195,1930461,864279,448,1514,0.364
200,1935303,885310,448,1459,0.374
205,1934679,908250,448,1601,0.383
210,1937698,931614,448,1543,0.393
215,1937488,954245,449,1711,0.402
220,1933068,972855,448,1977,0.410
225,1950420,995037,448,2122,0.424
230,1951694,1016808,448,2336,0.433
235,1947924,1036127,448,2485,0.442
240,1941097,1056165,447,2754,0.449
245,1935949,1077594,447,2980,0.458
250,1931774,1100099,447,3198,0.466
255,1929280,1119335,447,3412,0.474
260,1932784,1144107,447,3500,0.485
265,1931688,1165378,447,3639,0.494
270,1936357,1186858,447,3896,0.503
275,1945151,1209795,447,4043,0.515
280,1952780,1228085,447,4376,0.527
285,1955972,1246117,446,4730,0.537
290,1951778,1266429,446,4960,0.546
295,1951137,1288925,446,5131,0.555
300,1954258,1310870,446,5265,0.565
305,1954457,1330985,446,5555,0.575
310,1965426,1351397,445,5799,0.586
315,1957055,1371035,445,6085,0.594
320,1958138,1391727,445,6299,0.604
325,1961999,1411185,445,88,0.614
330,1951699,1428378,444,61,0.620
335,1942565,1448482,444,165,0.626
340,1942178,1470185,444,370,0.635
345,1936806,1490671,444,599,0.643
350,1942061,1510628,443,434,0.654
355,1934846,1531381,443,447,0.661
360,1928641,1552239,443,577,0.668
365,1936463,1576427,444,614,0.679
370,1937796,1597147,444,725,0.690
375,1937133,1613413,443,204,0.705
380,1942941,1634231,443,358,0.716
385,1944546,1656422,443,590,0.726
390,1947237,1674723,443,888,0.737
395,1962938,1698098,443,7,0.752
400,1960345,1719228,443,131,0.761
405,1957401,1742115,443,221,0.768
410,1960612,1762465,443,491,0.779
415,1955528,1783126,443,442,0.786
420,1958049,1803948,443,534,0.797
425,1955158,1826608,443,75,0.793
430,1957097,1849562,443,260,0.802
435,1963992,1870762,443,405,0.815
440,1969750,1892771,443,663,0.826
445,1964156,1914750,443,854,0.834
450,1966477,1935838,443,1029,0.844
455,1965455,1958426,443,720,0.853
460,1960691,1978769,443,845,0.860
465,1963101,1996854,443,1173,0.869
470,1970172,2017492,443,1352,0.883
475,1972681,2039666,443,1560,0.892
480,1981081,2060001,443,1803,0.906
485,1975604,2082203,443,1791,0.914
490,1972690,2102114,443,2018,0.921
495,1971835,2122322,442,2254,0.930
500,1970200,2141749,442,2307,0.938
505,1966865,2162665,442,2334,0.946
510,1970586,2184837,442,2476,0.957
515,1964950,2205060,442,2555,0.965
520,1961886,2227651,442,2663,0.972
525,1963857,2249817,442,2875,0.982
530,1962532,2274334,442,3176,0.993
535,1962659,2292386,442,188,0.996
540,1967832,2315364,442,311,1.006
545,1959807,2340059,442,424,1.014
550,1960840,2363464,443,550,1.024
555,1958194,2386047,443,734,1.031
560,1961478,2409196,443,828,1.041
565,1963646,2429343,443,1061,1.053
570,1960053,2450183,443,1239,1.059
575,1959328,2472330,443,1271,1.069
580,1960850,2491187,443,1511,1.079
585,1967011,2514169,443,1634,1.091
590,1964085,2534839,443,1518,1.099
595,1959192,2557030,443,1408,1.106
600,1960872,2579732,443,1511,1.115
605,1958589,2603159,443,1483,1.124
610,1956077,2626303,443,1474,1.132
615,1950104,2646780,443,1504,1.137
620,1949989,2666318,443,1837,1.146
625,1948489,2687212,443,1982,1.154
630,1949066,2709967,443,2077,1.164
635,1947198,2732792,443,2238,1.172
640,1946838,2755337,443,2309,1.181
645,1945741,2776024,443,2410,1.189
650,1946547,2798977,443,2482,1.199
655,1946452,2823865,444,2481,1.207
660,1947021,2845266,444,2665,1.218
665,1952046,2869281,444,2702,1.229
670,1948024,2890602,444,2709,1.237
675,1950458,2913945,444,2744,1.247
680,1954903,2934874,444,2881,1.260
685,1952759,2957444,444,3015,1.267
690,1952587,2979743,444,3189,1.277
695,1950107,2998000,444,3468,1.284
700,1950038,3018272,444,3730,1.293
705,1947067,3036021,444,4067,1.300
710,1946558,3057904,444,4078,1.309
715,1946739,3079827,444,252,1.317
720,1947570,3099025,444,556,1.327
725,1946096,3121913,444,665,1.335
730,1946019,3141841,444,917,1.345
735,1948149,3164226,444,925,1.355
740,1948341,3186878,444,1094,1.364
745,1947979,3207747,444,1245,1.374
750,1944394,3229364,444,1474,1.381
755,1949107,3256427,444,138,1.405
760,1949847,3279479,444,139,1.416
765,1949961,3302421,444,234,1.425
770,1948265,3322995,444,425,1.434
775,1946511,3347055,444,578,1.442
780,1946421,3368860,445,622,1.450
785,1946157,3391085,445,870,1.459
790,1944108,3412925,444,1038,1.468
795,1941934,3434110,445,1180,1.475
800,1943092,3457509,445,1297,1.485
805,1944011,3481893,445,1070,1.495
810,1944832,3503518,445,1093,1.504
815,1946234,3523657,445,1335,1.515
820,1947211,3545111,445,1605,1.524
825,1947196,3566716,445,109,1.532
830,1951100,3588771,445,264,1.544
835,1950677,3609565,445,435,1.553
840,1950221,3632081,445,602,1.562
845,1950562,3652980,445,798,1.570
850,1947610,3672475,445,1101,1.578
855,1945641,3692523,445,1324,1.586
860,1951842,3714995,445,1376,1.601
865,1955306,3733269,445,1588,1.611
870,1957438,3755118,444,1773,1.624
875,1955927,3775308,444,2014,1.632
880,1956461,3793776,444,2322,1.641
885,1956208,3816458,444,2441,1.650
890,1953476,3834931,444,2500,1.657
895,1955263,3856907,444,2677,1.668
900,1955563,3876734,444,2881,1.678
905,1956406,3897229,444,261,1.682
910,1952354,3917033,444,521,1.688
915,1951120,3939552,444,661,1.696
920,1954844,3960094,444,887,1.708
925,1952821,3980087,444,1176,1.716
930,1953245,3998314,444,1515,1.725
935,1950780,4022251,444,1673,1.733
940,1951212,4043300,444,1821,1.742
945,1951206,4062295,444,2067,1.751
950,1949071,4084271,444,1987,1.759
955,1945582,4106558,444,1765,1.765
960,1946042,4124081,444,1907,1.775
965,1946441,4145959,444,2047,1.783
970,1945231,4166606,444,2274,1.791
975,1944170,4187046,444,2535,1.799
980,1946029,4207805,444,2526,1.811
985,1945025,4232212,444,2507,1.821
990,1944589,4252831,443,2583,1.830
