secs,pps,tps,gps,glst,bpc
0,2639096,17059,466,559,0.006
5,2163361,38488,471,575,0.015
10,2230525,61714,460,764,0.026
15,2238575,82295,457,968,0.037
20,2311353,103792,453,1267,0.049
25,2343079,122888,451,1586,0.059
30,2215301,142722,448,1932,0.067
35,2158859,164123,445,2085,0.076
40,2149848,184764,445,2182,0.085
45,2101662,203314,443,2261,0.093
50,2046706,225207,443,2277,0.101
55,2080062,245319,442,2567,0.112
60,2072058,265473,441,2828,0.122
65,2081998,286726,442,2969,0.132
70,2143857,308456,441,3176,0.147
75,2104706,329327,441,3371,0.154
80,2124159,347740,440,248,0.167
85,2107619,369422,440,456,0.177
90,2130821,392033,440,512,0.188
95,2140710,411139,440,700,0.199
100,2165221,433163,440,892,0.212
105,2154712,454095,440,1068,0.222
110,2187291,476263,440,1223,0.236
115,2169713,498577,441,986,0.244
120,2149557,519427,441,937,0.252
125,2141055,541892,441,1038,0.262
130,2153156,562410,441,1297,0.272
135,2152112,583652,441,1447,0.283
140,2154841,604805,442,1610,0.294
145,2172391,626743,442,227,0.305
150,2167722,646875,441,466,0.315
155,2170258,669028,441,721,0.326
160,2163627,689628,441,950,0.336
165,2225153,709758,441,1311,0.356
170,2202132,730603,441,1554,0.363
175,2189840,751685,441,1770,0.371
180,2175134,773841,441,1837,0.379
185,2172422,794185,441,1696,0.388
190,2188475,813946,440,1968,0.403
195,2187312,834424,440,2230,0.412
200,2176791,854921,440,2474,0.421
205,2173695,873707,440,2773,0.431
210,2182028,895291,440,3063,0.443
215,2189666,913449,439,3463,0.454
220,2186491,933213,439,3510,0.465
225,2182625,952985,438,3826,0.474
230,2183843,973773,438,3836,0.485
235,2179091,994033,438,4000,0.495
240,2174284,1012651,438,4238,0.504
245,2188106,1032840,438,4496,0.517
250,2202535,1054719,437,4696,0.532
255,2195664,1074799,437,4951,0.540
260,2189669,1093092,437,5287,0.550
265,2187765,1112100,437,5353,0.560
270,2195453,1132617,437,5602,0.572
275,2186070,1152885,437,5844,0.580
280,2187096,1175000,437,6028,0.591
285,2185402,1195193,436,6253,0.601
290,2185051,1215936,436,6122,0.612
295,2179669,1236885,437,6323,0.620
300,2171543,1257264,437,6308,0.628
305,2176960,1279892,437,6471,0.639
310,2187659,1301055,437,6662,0.654
315,2187457,1323185,437,6764,0.664
320,2193265,1343431,437,7001,0.676
325,2189047,1364362,437,108,0.686
330,2193689,1387646,437,189,0.698
335,2200628,1409488,437,447,0.711
340,2201931,1426086,437,842,0.722
345,2203780,1445916,437,1141,0.733
350,2206667,1470412,437,1247,0.744
355,2207454,1492916,437,1393,0.755
360,2205000,1511845,437,1535,0.765
365,2203889,1533162,437,1603,0.775
370,2202816,1553060,437,1920,0.785
375,2208157,1580279,438,110,0.801
380,2203443,1601779,438,254,0.811
385,2202576,1621868,438,570,0.820
390,2200507,1643434,438,818,0.831
395,2203293,1667941,439,110,0.840
400,2202189,1688798,439,189,0.850
405,2203381,1708701,438,471,0.861
410,2205363,1730426,438,717,0.872
415,2204479,1753715,439,749,0.883
420,2201799,1776945,439,297,0.893
425,2199158,1795383,439,212,0.888
430,2196597,1816938,439,435,0.897
435,2194721,1837223,439,645,0.908
440,2199164,1857870,439,820,0.919
445,2192794,1877533,438,946,0.928
450,2187885,1898278,439,978,0.936
455,2187143,1921098,439,994,0.946
460,2189262,1943909,439,1058,0.957
465,2188633,1966034,439,1178,0.968
470,2180597,1987081,439,1169,0.974
475,2175035,2007085,439,1482,0.982
480,2176606,2027057,439,1753,0.993
485,2182400,2047994,439,1967,1.005
490,2182866,2068545,439,2218,1.016
495,2179570,2089698,439,2304,1.025
500,2179407,2111891,439,2374,1.036
505,2179590,2130128,439,2688,1.046
510,2175354,2151641,439,2969,1.054
515,2174751,2172231,439,3188,1.064
520,2178257,2190801,439,3514,1.076
525,2181659,2212972,439,3731,1.088
530,2181981,2234892,439,3993,1.099
535,2191410,2263412,439,123,1.103
540,2197890,2284241,439,352,1.116
545,2195599,2301615,439,819,1.126
550,2198555,2319825,439,1127,1.138
555,2206074,2341720,439,1360,1.151
560,2203791,2359823,439,1668,1.161
565,2211027,2380125,439,1900,1.174
570,2213670,2402355,439,1993,1.187
575,2211120,2425562,439,1933,1.196
580,2210018,2448244,439,1815,1.206
585,2212442,2466566,439,2134,1.218
590,2214539,2488180,439,2304,1.230
595,2212475,2510984,439,2429,1.239
600,2212234,2527466,439,2749,1.249
605,2212154,2548937,439,2905,1.259
610,2220842,2569403,439,3042,1.274
615,2216812,2591867,439,3162,1.283
620,2219867,2612659,439,3392,1.295
625,2223434,2631500,439,3622,1.308
630,2224256,2653094,439,3741,1.316
635,2221177,2671556,439,3661,1.327
640,2218933,2693561,439,3809,1.337
645,2220524,2714865,439,3843,1.348
650,2217039,2739725,439,3686,1.357
655,2215546,2757700,439,3971,1.366
660,2213903,2779840,439,3925,1.375
665,2206317,2800984,439,3845,1.381
670,2204371,2822486,439,3980,1.391
675,2201981,2843289,439,4080,1.399
680,2202566,2865981,439,4111,1.410
685,2200969,2885211,439,4321,1.419
690,2206338,2906074,439,4566,1.431
695,2205949,2927263,439,4856,1.443
700,2203359,2949141,439,5115,1.452
705,2206444,2970251,439,5285,1.464
710,2206640,2991685,439,5426,1.475
715,2216161,3014706,439,179,1.489
720,2211972,3032151,439,566,1.498
725,2207676,3052487,439,843,1.506
730,2206599,3074224,439,1085,1.516
735,2201299,3095001,439,965,1.522
740,2199182,3115640,439,757,1.531
745,2200018,3136368,439,499,1.542
750,2200784,3161469,439,505,1.553
755,2201430,3181835,439,268,1.579
760,2203713,3203490,439,458,1.591
765,2202959,3223651,439,486,1.602
770,2203901,3244351,439,432,1.611
775,2203522,3263647,439,373,1.623
780,2202754,3285020,439,497,1.632
785,2210462,3305471,439,740,1.649
790,2207267,3325697,439,1016,1.656
795,2206335,3342597,439,1312,1.666
800,2201221,3365631,439,1315,1.674
805,2200250,3386507,439,1508,1.683
810,2198659,3407091,439,1737,1.691
815,2200404,3427278,439,2001,1.704
820,2199634,3447372,439,2259,1.714
825,2199093,3466938,439,216,1.722
830,2199278,3487278,438,401,1.731
835,2199516,3507709,438,630,1.743
840,2202248,3526386,438,968,1.755
845,2204340,3546547,438,1194,1.768
850,2204418,3568342,438,1389,1.778
855,2204404,3591746,439,1429,1.788
860,2201524,3613734,439,1578,1.798
865,2199685,3636322,439,1544,1.806
870,2202584,3658929,439,1507,1.818
875,2200627,3683420,439,1191,1.828
880,2200143,3705821,439,1340,1.837
885,2200942,3726678,439,1360,1.849
890,2200339,3749651,439,1484,1.859
895,2200186,3768122,439,1761,1.869
900,2206065,3788231,439,2008,1.882
905,2208874,3813666,439,131,1.890
910,2209751,3831401,439,50,1.902
915,2215549,3849387,439,123,1.917
920,2218501,3869069,439,404,1.931
925,2217085,3889525,439,601,1.940
930,2218133,3910576,439,809,1.952
935,2218603,3932033,439,1083,1.962
940,2218872,3950398,439,1343,1.974
945,2222313,3972592,439,1239,1.986
950,2221722,3991177,439,1449,1.997
955,2221920,4014233,439,1515,2.007
960,2223231,4036843,439,1696,2.018
965,2222930,4059814,439,1729,2.029
970,2222601,4079688,439,1873,2.040
975,2220854,4100967,439,2029,2.049
