secs,pps,tps,gps,glst,bpc
0,2848678,41146,605,521,0.010
5,2901338,95035,591,968,0.027
10,2884710,147451,587,1308,0.045
15,2955631,201930,584,1779,0.064
20,2945921,251060,574,2387,0.082
25,3049290,306236,575,2786,0.103
30,2955295,361090,576,3136,0.118
35,2981615,413002,575,325,0.137
40,2956162,465065,575,691,0.154
45,2911653,519401,575,1108,0.169
50,2883558,566499,573,1649,0.185
55,2858249,618916,573,2013,0.201
60,2860514,676088,574,2353,0.219
65,2868171,729357,574,2798,0.237
70,2827083,780895,574,3245,0.251
75,2858782,835272,574,3666,0.270
80,2846264,889373,575,4058,0.286
85,2817061,939003,573,4607,0.301
90,2815691,996853,575,4855,0.318
95,2815074,1041972,573,5378,0.335
100,2820837,1092079,572,5883,0.353
105,2818484,1149310,573,6200,0.370
110,2841593,1196823,572,6754,0.389
115,2872944,1257314,574,6992,0.411
120,2859814,1312482,574,7307,0.427
125,2883278,1365528,575,7636,0.447
130,2907930,1420652,575,8117,0.470
135,2920385,1476163,575,8415,0.490
140,2929943,1529788,576,8829,0.509
145,2920308,1588748,577,9030,0.525
150,2913284,1639111,576,9493,0.541
155,2908862,1692451,576,9865,0.559
160,2922835,1744718,577,10266,0.578
165,2937652,1796070,576,10708,0.600
170,2938189,1847266,576,11092,0.618
175,2913524,1898561,575,11487,0.631
180,2932812,1942975,575,12117,0.652
185,2945888,1995012,574,12548,0.671
190,2937379,2042652,574,282,0.688
195,2955542,2099592,574,578,0.711
200,2977933,2152884,574,1042,0.734
205,2994241,2208008,575,1321,0.756
210,3008114,2255121,574,1820,0.778
215,3010852,2304826,574,2375,0.797
220,3013906,2358551,574,2791,0.816
225,3013765,2409340,574,3285,0.834
230,3003938,2459390,573,3747,0.850
235,3005545,2513928,574,4172,0.868
240,3007479,2563346,573,4586,0.888
245,3008344,2614205,573,5046,0.906
250,3005760,2665338,573,5436,0.923
255,2999690,2718545,573,5912,0.939
260,3001351,2765517,573,6420,0.959
265,3006656,2819716,573,6817,0.979
270,3008744,2865665,572,7343,0.997
275,3015291,2922166,572,7701,1.018
280,3014397,2976598,573,8121,1.036
285,3019799,3025840,573,8538,1.056
290,3028088,3080992,572,8972,1.078
295,3023849,3131925,572,9475,1.094
300,3022452,3186083,573,9869,1.112
305,3019648,3238460,573,10208,1.129
310,3034748,3295243,573,10514,1.154
315,3043207,3349220,573,10856,1.175
320,3030109,3402731,573,11306,1.192
325,3030548,3455385,573,11725,1.210
330,3032497,3502327,572,12224,1.229
335,3043952,3550587,572,12714,1.252
340,3041926,3603567,572,13102,1.269
345,3038785,3655089,572,13510,1.287
350,3037355,3706876,572,13836,1.305
355,3031754,3759848,572,14184,1.321
360,3021923,3806624,572,14699,1.335
365,3010549,3859589,572,15176,1.348
370,3002870,3912867,572,299,1.363
375,2996160,3967262,572,720,1.378
380,2984878,4024071,572,996,1.391
385,2981012,4072435,572,1532,1.407
390,2986936,4128230,572,1918,1.427
395,2986858,4179548,572,2270,1.446
400,2987636,4224339,572,2896,1.464
405,2982341,4275700,572,3364,1.480
410,2976976,4326959,572,3827,1.495
415,2972850,4375828,571,4376,1.512
420,2968517,4430018,571,4755,1.528
425,2968329,4477954,571,5232,1.545
430,2969677,4527446,571,5776,1.564
435,2966020,4577134,571,6315,1.580
440,2964478,4628782,571,6705,1.597
445,2956666,4684888,571,7068,1.611
450,2952992,4733063,571,7580,1.627
455,2950556,4783763,571,7997,1.643
460,2947189,4837341,571,8346,1.659
465,2944727,4889917,571,8838,1.676
470,2941746,4939761,571,9260,1.691
475,2940058,4995359,571,9596,1.709
480,2937402,5046368,571,9949,1.726
485,2934520,5099994,571,10275,1.742
490,2936340,5156155,571,10513,1.761
495,2930641,5210146,571,10971,1.774
500,2926687,5263880,571,11367,1.791
505,2922152,5318138,571,11745,1.805
510,2918217,5368203,571,12176,1.820
515,2914427,5418065,571,12669,1.836
520,2909375,5468156,571,13198,1.850
525,2908126,5519768,571,13663,1.867
530,2904053,5571580,571,14035,1.882
535,2902449,5625422,571,14354,1.898
540,2906657,5675501,571,14856,1.919
545,2908849,5729545,571,15233,1.938
550,2914903,5783887,571,369,1.959
555,2909136,5835202,571,805,1.973
560,2906809,5888112,571,1246,1.989
565,2904732,5940908,571,1604,2.006
570,2903544,5994539,571,1960,2.022
575,2906289,6040137,571,2579,2.042
580,2905415,6095185,571,3017,2.058
585,2900347,6149033,571,3411,2.073
590,2902095,6199719,571,3759,2.091
595,2899340,6248909,571,4174,2.107
600,2896029,6298251,571,4594,2.123
605,2891678,6347893,571,5079,2.137
610,2889179,6416280,571,5664,2.159
615,2887844,6464888,570,6245,2.175
620,2886246,6519171,571,6573,2.192
625,2886623,6567125,570,7077,2.210
630,2884644,6616843,570,7529,2.226
635,2883900,6667094,570,8003,2.243
640,2885446,6720193,570,8474,2.262
645,2885151,6769597,570,8897,2.278
650,2880932,6819100,570,9391,2.293
655,2879200,6871729,570,9830,2.309
660,2883214,6927344,570,10132,2.330
665,2891338,6978989,570,10596,2.354
670,2893923,7035236,570,10970,2.372
675,2896410,7089198,570,11453,2.393
680,2897169,7136817,570,11927,2.411
685,2899388,7190433,570,12357,2.430
690,2900809,7242159,570,12738,2.450
695,2898384,7296252,570,13158,2.465
700,2899998,7350576,570,13477,2.484
705,2900809,7399320,570,13975,2.502
710,2902192,7446176,570,14588,2.521
715,2901836,7496835,570,15037,2.537
720,2896141,7544804,570,15416,2.551
