secs,pps,tps,gps,glst,bpc
0,2617708,75558,961,388,0.010
5,2587143,166819,926,548,0.025
10,2425502,240897,896,1033,0.037
15,2450023,312707,870,1522,0.051
20,2511879,390294,861,1874,0.066
25,2394534,462978,852,2244,0.077
30,2320197,534799,844,2599,0.088
35,2264261,607063,839,3106,0.099
40,2320723,679148,835,3406,0.114
45,2279797,745704,832,337,0.124
50,2285278,815812,827,781,0.137
55,2238288,877004,820,1368,0.147
60,2216749,941825,814,1864,0.158
65,2190494,1004034,811,2334,0.168
70,2170703,1076126,809,2798,0.178
75,2151950,1138155,807,3223,0.189
80,2112029,1207118,804,3711,0.198
85,2095535,1275198,803,4029,0.208
90,2080792,1345935,802,4382,0.218
95,2096205,1411389,801,4854,0.231
100,2124381,1479228,800,5341,0.246
105,2111814,1550502,800,5709,0.257
110,2118626,1627512,801,5900,0.270
115,2099417,1696560,801,6245,0.279
120,2080720,1770802,801,6462,0.289
125,2099006,1832023,799,6973,0.303
130,2092123,1902435,799,7357,0.314
135,2088582,1970238,798,7647,0.325
140,2090261,2041667,798,7982,0.336
145,2110112,2110258,798,8221,0.352
150,2117671,2182135,798,8499,0.365
155,2118361,2256874,798,8814,0.377
160,2109799,2318715,797,9325,0.388
165,2092790,2382687,796,9813,0.396
170,2078409,2449720,795,10217,0.405
175,2090184,2512991,794,10723,0.419
180,2084351,2581287,794,11020,0.430
185,2096252,2648376,793,11588,0.443
190,2100751,2716503,793,11950,0.456
195,2117963,2782913,792,12460,0.472
200,2108940,2846193,791,12964,0.482
205,2114829,2912953,791,13436,0.495
210,2114924,2985986,791,13717,0.507
215,2111479,3060829,792,13886,0.518
220,2108071,3127449,791,14377,0.529
225,2103142,3191877,791,250,0.541
230,2101947,3254276,790,856,0.553
235,2097895,3322193,790,1293,0.563
240,2104235,3388944,789,1684,0.576
245,2096759,3452992,789,2142,0.587
250,2097063,3520258,788,2530,0.599
255,2093290,3583848,788,3044,0.609
260,2095695,3649809,787,3586,0.622
265,2098048,3717090,787,3923,0.635
270,2091953,3784841,787,4292,0.644
275,2089967,3856595,787,4534,0.656
280,2083726,3924189,787,4823,0.665
285,2081888,3992040,787,5195,0.676
290,2088408,4061595,787,5540,0.690
295,2083003,4133273,787,5808,0.700
