secs,pps,tps,gps
0,233484,72537,11124
2,234675,73198,11183
4,232842,72666,11096
6,231294,72141,11021
8,232135,72285,11061
10,232254,72353,11066
12,233127,72595,11108
14,233553,72715,11128
16,233145,72582,11108
18,232800,72513,11092
20,232581,72457,11082
22,232270,72335,11067
24,232709,72403,11087
26,232870,72446,11095
28,232897,72472,11097
30,232983,72493,11101
32,232645,72441,11085
34,232589,72431,11082
36,232283,72360,11068
38,232325,72374,11070
40,232314,72386,11069
42,231359,72095,11024
44,230001,71658,10959
46,229919,71625,10955
48,229575,71554,10939
50,229246,71443,10923
52,228995,71383,10912
54,228779,71312,10901
56,227108,70788,10822
58,226805,70703,10807
60,226753,70654,10805
62,226464,70580,10791
64,226298,70527,10783
66,226046,70451,10771
68,225174,70185,10729
70,224544,70003,10700
72,224468,69974,10696
74,224338,69931,10690
76,223323,69618,10641
78,223317,69615,10641
80,223163,69565,10634
82,222979,69504,10625
84,222716,69411,10612
86,222661,69385,10610
88,221949,69162,10576
90,221330,68985,10546
92,221326,68979,10546
94,221296,68963,10545
96,221240,68948,10542
