secs,pps,tps,gps
0,215143,68399,10221
2,216692,68477,10291
4,220387,69555,10466
6,221878,70300,10538
8,221340,70264,10514
10,221433,70282,10518
12,221546,70381,10523
14,221678,70469,10530
16,221522,70423,10522
18,220836,70237,10490
20,220379,70116,10468
22,220477,70147,10473
24,220787,70209,10488
26,220917,70293,10494
28,221094,70343,10503
30,221020,70352,10499
32,221139,70413,10505
34,221114,70398,10504
36,221335,70487,10515
38,221166,70448,10507
40,220966,70374,10497
42,220772,70318,10488
44,219080,69764,10407
46,219266,69801,10416
48,219345,69806,10420
50,219348,69837,10420
52,219578,69904,10431
54,219341,69842,10420
56,219494,69902,10427
58,219629,69950,10433
60,219933,70022,10448
62,220045,70033,10453
64,219647,69915,10434
66,218928,69680,10400
68,219193,69760,10412
70,219139,69733,10410
72,219025,69691,10404
74,219146,69711,10410
76,219027,69695,10404
78,218932,69690,10400
80,218948,69686,10401
82,219044,69725,10405
84,219164,69753,10411
86,219261,69778,10415
88,219323,69806,10418
90,219364,69828,10420
92,219536,69879,10429
94,219695,69933,10436
96,219821,69972,10442
98,219934,70005,10447
100,219916,69996,10447
102,219881,69985,10445
104,219923,69990,10447
106,220048,70016,10453
108,220094,70037,10455
110,220130,70048,10457
112,219491,69837,10426
114,219496,69838,10426
116,219658,69862,10434
118,219733,69886,10438
120,219691,69896,10436
122,219100,69710,10408
124,219216,69749,10413
126,219318,69780,10418
128,219377,69801,10421
130,218812,69621,10394
132,218942,69649,10400
134,218908,69642,10398
136,218992,69670,10402
138,219066,69698,10406
140,219129,69721,10409
142,219230,69748,10414
144,219311,69769,10418
146,219400,69790,10422
148,219436,69790,10423
150,218913,69620,10398
152,219002,69649,10403
154,219051,69663,10405
156,219039,69655,10404
158,218975,69625,10401
160,219005,69630,10403
162,219016,69638,10403
164,218944,69619,10400
166,218951,69624,10400
168,218924,69608,10399
170,218804,69575,10393
172,218775,69572,10392
174,218796,69574,10393
176,218789,69571,10393
178,218754,69557,10391
180,218314,69417,10370
182,218328,69425,10371
184,218308,69422,10370
186,218041,69346,10358
188,217825,69273,10348
190,217839,69280,10348
192,217841,69277,10348
194,217850,69278,10349
196,217473,69154,10331
198,217427,69137,10329
200,217466,69155,10331
202,217494,69161,10332
204,217531,69178,10334
206,217587,69190,10337
208,217632,69201,10339
210,217678,69215,10341
212,217644,69205,10340
214,217675,69213,10341
216,217723,69232,10344
218,217701,69231,10343
220,217717,69238,10344
222,217741,69248,10345
224,217699,69242,10343
226,217353,69131,10326
228,217360,69136,10327
230,217409,69147,10329
232,217396,69141,10329
234,217445,69151,10331
236,217443,69156,10331
238,217455,69159,10332
240,217146,69061,10317
242,217152,69061,10317
244,217206,69074,10320
246,217223,69087,10321
248,216927,68989,10307
250,216931,68991,10307
252,216917,68987,10306
254,216948,68995,10308
256,216978,69000,10309
258,216976,68995,10309
260,216963,68993,10309
262,217001,69003,10311
264,217031,69011,10312
266,216969,68994,10309
268,216700,68911,10296
270,216730,68921,10298
272,216741,68925,10298
274,216760,68935,10299
276,216494,68853,10287
278,216507,68858,10287
280,216547,68868,10289
282,216543,68870,10289
284,216563,68876,10290
286,216573,68880,10291
288,216580,68882,10291
290,216620,68886,10293
292,216645,68894,10294
294,216644,68892,10294
296,216653,68893,10294
298,216689,68905,10296
300,216686,68910,10296
302,216709,68923,10297
304,216696,68919,10296
306,216681,68912,10296
308,216724,68920,10298
310,216743,68927,10299
312,216741,68927,10299
314,216711,68917,10297
316,216732,68924,10298
318,216738,68925,10298
320,216568,68870,10290
322,216478,68840,10286
324,216447,68830,10285
326,216443,68836,10284
328,216423,68830,10283
330,216404,68827,10282
332,216420,68829,10283
334,216426,68830,10283
336,216445,68836,10284
338,216249,68770,10275
340,216254,68772,10275
342,216265,68771,10276
344,216248,68763,10275
346,216257,68766,10275
348,216268,68772,10276
350,216299,68775,10277
352,216087,68707,10267
354,216124,68719,10269
356,216137,68726,10270
358,216116,68722,10269
360,216097,68718,10268
362,216129,68728,10269
364,216159,68737,10271
366,215982,68676,10262
368,215993,68681,10263
370,216026,68693,10264
372,216016,68690,10264
374,215816,68626,10254
376,215839,68638,10255
378,215845,68639,10256
380,215798,68624,10253
382,215690,68588,10248
384,215710,68594,10249
386,215710,68596,10249
388,215654,68584,10247
390,215470,68526,10238
392,215512,68541,10240
394,215552,68553,10242
396,215544,68549,10241
398,215342,68484,10232
400,215336,68484,10231
402,215372,68494,10233
404,215409,68500,10235
406,215447,68511,10237
408,215423,68501,10235
410,215454,68512,10237
412,215488,68519,10238
414,215499,68523,10239
416,215514,68529,10240
418,215537,68537,10241
420,215351,68479,10232
422,215400,68493,10234
424,215437,68504,10236
426,215448,68508,10236
428,215452,68513,10237
430,215494,68522,10239
432,215351,68477,10232
434,215380,68481,10233
436,215371,68474,10233
438,215384,68481,10233
440,215401,68484,10234
442,215240,68435,10226
444,215226,68431,10226
446,215242,68433,10227
448,215243,68428,10226
450,215238,68429,10226
452,215242,68434,10226
454,215076,68383,10219
456,215120,68396,10221
458,215114,68396,10220
460,215112,68394,10220
462,214949,68343,10213
464,214927,68337,10212
466,214940,68343,10212
468,214945,68347,10212
470,214829,68312,10207
472,214784,68296,10205
474,214777,68294,10204
476,214795,68302,10205
478,214819,68309,10206
480,214826,68312,10207
482,214703,68271,10201
484,214700,68269,10201
486,214709,68272,10201
488,214724,68275,10202
490,214577,68227,10195
492,214586,68233,10195
494,214586,68229,10195
496,214581,68230,10195
