secs,pps,tps,gps
0,225120,70605,10736
2,228129,71347,10877
4,225402,70393,10746
6,225144,70396,10734
8,225698,70522,10760
10,226877,70787,10815
12,226666,70699,10805
14,225651,70496,10757
16,225841,70498,10766
18,221664,69298,10568
20,222736,69494,10618
22,223289,69615,10644
24,223799,69776,10668
26,221057,68917,10537
28,221284,69066,10549
30,221882,69240,10577
32,222133,69362,10589
34,222576,69522,10611
36,222698,69596,10617
38,222946,69634,10628
40,221635,69172,10566
42,221588,69159,10563
44,222111,69305,10588
46,222419,69384,10603
48,222626,69467,10613
50,222461,69428,10605
52,221075,69007,10539
54,221040,68999,10538
56,221433,69125,10556
58,221639,69196,10566
60,221550,69187,10562
62,221373,69124,10554
64,220787,68926,10526
66,220950,68987,10534
68,221341,69108,10552
70,221578,69196,10564
72,221651,69211,10567
74,221907,69263,10579
76,222062,69309,10586
78,222235,69361,10595
80,222188,69360,10593
82,222387,69422,10602
84,222699,69518,10617
86,222857,69570,10625
88,222259,69380,10596
90,222158,69359,10591
92,222395,69450,10603
94,222474,69467,10606
96,222502,69492,10608
98,222654,69532,10615
100,222788,69562,10621
102,222908,69602,10627
104,222318,69412,10599
106,222418,69430,10604
108,222554,69480,10610
110,222717,69535,10618
112,222793,69561,10622
114,222885,69585,10626
116,222979,69613,10630
118,223136,69649,10638
120,223300,69694,10646
122,223310,69701,10646
124,222757,69524,10620
126,222765,69530,10620
128,223011,69592,10632
130,223064,69604,10634
132,223096,69622,10636
134,223211,69658,10641
136,222689,69492,10616
138,222880,69544,10625
140,223004,69576,10631
142,223170,69617,10639
144,223191,69634,10640
146,223154,69618,10638
148,223305,69659,10646
150,223368,69676,10648
152,223468,69705,10653
154,223537,69730,10657
156,223120,69598,10637
158,223219,69627,10641
160,223208,69638,10641
162,223228,69644,10642
164,222772,69506,10620
166,222761,69502,10620
168,222743,69498,10619
170,222732,69496,10618
172,222822,69532,10623
174,222850,69541,10624
176,222446,69415,10605
178,222544,69438,10609
180,222598,69455,10612
182,222695,69477,10617
184,222294,69345,10597
186,222355,69365,10600
188,222349,69367,10600
190,222350,69367,10600
192,222366,69380,10601
194,222377,69391,10601
196,222435,69410,10604
198,222515,69432,10608
200,222576,69458,10611
202,222663,69490,10615
204,222746,69508,10619
206,222769,69515,10620
208,222451,69409,10605
210,222499,69422,10607
212,222533,69432,10609
214,222553,69436,10610
216,222600,69450,10612
218,222615,69455,10613
220,222402,69380,10603
222,222381,69374,10602
224,222442,69397,10604
226,222449,69399,10605
228,222486,69409,10607
230,222208,69329,10593
232,222339,69367,10600
234,222406,69382,10603
236,222469,69405,10606
238,222543,69429,10609
240,222579,69444,10611
242,222599,69451,10612
244,222633,69461,10614
246,222697,69480,10617
248,222716,69496,10618
250,222751,69504,10619
252,222734,69497,10618
254,222801,69516,10622
256,222804,69514,10622
258,222831,69523,10623
260,222837,69532,10623
262,222867,69541,10625
264,222911,69558,10627
266,222995,69583,10631
268,223022,69593,10632
270,223086,69614,10635
272,223156,69642,10639
274,223167,69647,10639
276,223020,69597,10632
278,222913,69567,10627
280,222998,69589,10631
282,223030,69597,10632
284,223087,69617,10635
286,223113,69627,10636
288,223142,69637,10638
290,223183,69646,10640
292,222955,69573,10629
294,222997,69586,10631
296,223048,69606,10633
298,223083,69621,10635
300,223094,69626,10635
302,223130,69638,10637
304,223123,69636,10637
306,222909,69576,10627
308,222957,69589,10629
310,223044,69613,10633
312,223093,69630,10635
314,223143,69646,10638
316,223179,69656,10639
318,223211,69663,10641
320,223210,69664,10641
322,223272,69679,10644
324,223272,69678,10644
326,223123,69633,10637
328,223148,69638,10638
330,223134,69637,10637
332,223114,69630,10636
334,223168,69642,10639
336,223167,69641,10639
338,222961,69576,10629
340,222991,69584,10630
342,223004,69591,10631
344,222970,69588,10629
346,222743,69516,10619
348,222750,69514,10619
350,222748,69514,10619
352,222782,69523,10620
354,222792,69527,10621
356,222608,69475,10612
358,222618,69481,10613
360,222628,69487,10613
362,222647,69492,10614
364,222714,69509,10617
366,222757,69524,10619
368,222805,69537,10621
370,222819,69541,10622
372,222831,69547,10623
374,222852,69553,10624
376,222868,69559,10625
378,222886,69565,10625
380,222712,69512,10617
382,222771,69529,10620
384,222829,69541,10623
386,222849,69545,10623
388,222883,69557,10625
390,222948,69572,10628
392,222982,69580,10630
394,223031,69593,10632
396,223070,69606,10634
398,223102,69620,10636
400,223154,69633,10638
402,223201,69647,10640
404,223180,69639,10639
406,223057,69600,10633
408,223097,69613,10635
410,223115,69619,10636
412,223073,69603,10634
414,222938,69561,10628
416,222945,69562,10628
418,222943,69562,10628
420,222879,69542,10625
422,222811,69519,10621
424,222863,69532,10624
426,222889,69541,10625
428,222911,69547,10626
430,222947,69557,10628
432,222986,69567,10630
434,223015,69576,10631
436,223040,69583,10632
438,223059,69588,10633
440,223087,69596,10634
442,223128,69608,10636
444,223148,69612,10637
446,223171,69619,10638
448,223194,69627,10640
450,223141,69607,10637
452,223079,69588,10634
454,223126,69599,10636
456,223156,69609,10638
458,223194,69617,10639
460,223235,69633,10641
462,223263,69644,10643
464,223298,69655,10644
466,223311,69659,10645
468,223163,69614,10638
470,223192,69624,10639
472,223227,69633,10641
474,223281,69648,10644
476,223325,69660,10646
478,223375,69674,10648
480,223404,69680,10649
482,223405,69682,10649
484,223458,69698,10652
486,223495,69709,10654
488,223525,69720,10655
490,223568,69735,10657
492,223587,69743,10658
494,223605,69749,10659
496,223467,69707,10652
