secs,pps,tps
0,3120218,2359843
5,3025053,2289158
10,2960538,2229740
15,2976892,2244151
20,2939806,2222023
25,2926946,2211930
30,2916967,2204118
35,2910958,2199397
40,2856334,2157933
45,2801676,2115473
50,2801161,2115019
55,2782264,2100287
60,2775868,2097340
65,2770074,2092652
70,2775685,2095069
75,2764071,2089333
80,2765993,2090576
85,2770198,2090708
90,2771149,2094190
95,2771827,2093233
100,2766896,2089321
105,2762119,2084342
110,2758450,2082631
115,2758134,2082295
120,2756809,2080176
125,2756960,2082295
130,2759096,2082886
135,2757601,2081661
140,2755944,2081247
145,2756596,2080809
150,2754613,2080930
155,2751118,2077317
160,2749526,2075220
165,2748011,2075562
170,2746046,2073222
175,2739706,2068985
180,2737801,2067452
185,2734036,2063779
190,2730417,2062301
195,2730154,2062026
200,2730021,2061209
205,2728380,2060510
210,2729274,2061131
215,2728127,2060185
220,2728745,2061189
225,2727874,2060447
230,2729820,2061888
235,2728000,2060424
240,2727894,2059744
245,2727786,2060665
250,2727407,2059781
255,2726852,2058787
260,2721987,2055980
265,2722474,2055813
270,2720801,2054956
275,2719670,2054013
280,2718841,2052861
285,2717433,2052187
290,2716264,2051671
295,2714690,2050398
300,2711840,2048146
305,2707072,2043972
310,2702316,2041099
315,2702766,2040968
320,2699685,2038785
325,2700073,2038626
330,2697219,2037175
335,2692982,2033839
340,2690660,2032379
345,2687852,2029775
350,2686825,2028564
355,2683835,2026945
360,2682165,2025239
365,2682444,2025773
370,2682153,2025498
375,2684857,2027190
380,2684012,2026848
385,2683265,2026225
390,2682769,2025459
395,2682125,2025587
400,2681908,2025372
405,2681432,2025283
410,2678604,2022733
415,2678514,2022618
420,2678270,2022387
425,2677354,2021642
430,2675693,2020626
435,2674069,2019318
440,2672679,2018498
445,2674702,2020020
450,2676382,2020988
455,2674465,2020045
460,2675690,2020667
465,2677241,2021548
470,2677039,2021911
475,2677009,2021576
480,2678165,2022156
485,2677897,2022189
490,2678511,2022620
495,2678990,2023487
500,2680406,2024283
505,2681525,2024853
510,2683019,2026231
515,2684160,2027085
520,2685088,2027514
525,2684588,2027094
530,2685421,2027711
535,2686292,2028601
540,2687549,2029542
545,2688194,2030125
550,2689519,2030643
555,2689456,2030804
560,2690588,2031887
565,2692191,2032633
570,2692496,2033306
575,2693064,2033489
580,2693364,2033694
585,2693756,2034197
590,2693751,2033944
595,2694960,2035077
600,2695055,2035120
605,2696214,2035773
610,2696751,2036383
615,2697871,2037222
620,2698635,2037576
625,2699410,2038570
630,2698737,2038025
635,2698268,2037428
640,2698383,2037699
645,2697482,2036978
650,2696725,2036371
655,2696218,2035954
660,2696826,2036200
665,2697174,2036844
670,2698171,2037396
675,2698439,2037584
680,2699956,2038927
685,2700328,2039192
690,2701128,2039601
695,2701001,2039670
700,2701022,2039662
705,2701531,2040036
710,2701709,2040151
715,2702062,2040220
720,2702026,2040229
725,2702372,2040297
730,2702844,2040825
735,2703643,2041420
740,2703426,2041236
745,2703882,2041748
750,2705111,2042501
755,2705365,2042854
760,2705502,2042940
765,2705779,2042965
770,2705955,2043256
775,2706574,2043714
780,2707922,2044567
785,2708441,2045122
790,2708608,2045233
795,2708955,2045483
800,2709509,2045893
805,2709080,2045218
810,2707531,2044331
815,2707475,2044109
820,2707186,2044033
825,2707883,2044557
830,2708362,2044751
835,2708955,2045510
840,2709380,2045668
845,2709996,2045973
850,2709868,2046171
855,2710395,2046409
860,2710742,2046661
865,2710801,2046844
870,2710886,2046743
875,2711399,2047277
880,2711468,2047315
885,2711789,2047548
890,2712288,2047922
895,2712588,2048138
900,2713175,2048433
905,2713658,2049080
910,2713685,2048943
915,2714338,2049433
920,2714893,2049991
925,2715407,2050234
930,2715770,2050499
935,2715740,2050604
940,2716154,2050910
945,2716446,2051262
950,2716785,2051370
955,2717373,2051674
960,2717664,2052024
965,2717302,2051732
970,2717618,2051829
975,2717173,2051739
980,2717118,2051550
985,2717366,2051729
990,2717840,2052216
