secs,pps,tps,gps
2,35342,21427,1683
4,35569,21206,1692
6,35569,21206,1692
8,33687,20147,1603
10,33847,20316,1611
12,34220,20435,1628
14,34220,20435,1628
16,33640,20081,1601
18,33737,20213,1606
20,33737,20213,1606
22,33798,20267,1608
24,33790,20264,1608
26,33967,20370,1617
28,33967,20370,1617
30,34040,20428,1620
32,34139,20460,1625
34,34232,20491,1629
36,34232,20491,1629
38,33635,20177,1601
40,33635,20177,1601
42,33795,20232,1608
44,33891,20271,1613
46,33876,20286,1612
48,33876,20286,1612
50,33997,20328,1618
52,34125,20381,1624
54,34109,20389,1623
56,34109,20389,1623
58,33959,20290,1616
60,33965,20320,1616
62,34038,20358,1620
64,34038,20358,1620
66,33890,20285,1613
68,33881,20299,1612
70,33881,20299,1612
72,33954,20342,1616
74,33970,20361,1617
76,34041,20391,1620
78,34041,20391,1620
80,34057,20416,1621
82,34112,20444,1623
84,34160,20468,1626
86,34160,20468,1626
88,34177,20490,1627
90,34221,20517,1629
92,34255,20544,1630
94,34255,20544,1630
96,34272,20558,1631
