secs,pps,tps,gps,glst,bpc
0,886978,61712,8350,9077,0.002
5,665190,97603,6360,21191,0.007
10,503299,146997,5928,32829,0.009
15,768547,184810,5698,45436,0.016
20,741363,213595,5603,56531,0.024
25,696147,260976,5479,66481,0.028
30,681316,297308,5376,79309,0.032
35,720648,345666,5330,90978,0.038
40,746746,374510,5307,103381,0.045
45,720343,413110,5283,116002,0.051
50,741455,461190,5256,128940,0.056
55,717594,489692,5238,140913,0.062
60,713438,539015,5229,152365,0.067
65,708370,578439,5225,164639,0.071
70,699265,618187,5225,175456,0.076
75,698387,665855,5207,185610,0.081
80,697097,694730,5200,195995,0.086
85,697118,743095,5190,206445,0.093
90,715874,781956,5187,217106,0.098
95,714619,820364,5180,227576,0.105
100,725441,858092,5168,240119,0.110
105,773740,897019,5166,252429,0.125
110,781443,934192,5154,263925,0.133
115,787636,982169,5148,275765,0.139
120,778800,1011293,5147,283789,0.145
125,765026,1060565,5147,295829,0.148
130,757694,1101043,5154,306878,0.151
135,762122,1140472,5154,318620,0.158
140,754290,1189063,5152,329449,0.162
145,752648,1229234,5156,339830,0.168
150,769004,1268599,5156,350415,0.176
155,782685,1306931,5153,362282,0.186
160,792035,1355455,5150,370837,0.191
165,799410,1393606,5147,382933,0.201
170,789799,1421469,5141,395287,0.207
175,809022,1469703,5139,407817,0.218
180,818359,1508048,5136,9730,0.226
185,810277,1557916,5140,20433,0.230
190,803660,1587213,5140,31096,0.235
195,806799,1625041,5136,43305,0.240
200,799856,1673980,5136,54028,0.246
205,792596,1713269,5137,65262,0.250
210,793564,1761372,5135,76820,0.254
215,830083,1787938,5127,89693,0.269
220,818450,1827024,5128,101175,0.277
225,824971,1866645,5130,113021,0.284
230,810761,1914234,5127,125817,0.287
235,808315,1953201,5127,137994,0.291
240,799790,1993518,5130,148788,0.295
245,801369,2045722,5139,160861,0.300
250,793629,2068699,5123,11497,0.306
255,792905,2120787,5130,24705,0.312
260,791785,2163597,5139,35037,0.317
265,798054,2216588,5148,47624,0.325
270,789605,2270784,5159,57047,0.330
275,788549,2313277,5166,68212,0.333
280,792656,2366585,5174,10790,0.342
285,789073,2420641,5185,22440,0.349
290,788619,2463717,5192,34789,0.354
295,784192,2517172,5200,47538,0.359
300,787772,2560106,5207,59824,0.365
305,782238,2624678,5217,71492,0.370
310,780906,2656511,5221,83631,0.374
315,782923,2721314,5231,94447,0.382
320,779859,2764785,5237,107235,0.386
325,780713,2817949,5244,120853,0.391
330,777847,2872008,5251,134625,0.397
335,782022,2914195,5255,145115,0.403
340,781277,2967263,5261,157687,0.409
345,780961,3010457,5266,170652,0.416
