secs,pps,tps,gps,glst,bpc
0,113237960,117497,11157,1247,0.250
5,73756916,231258,9905,2855,0.491
10,60239640,375442,9381,4384,0.698
15,64588678,475246,9272,5891,0.969
20,60684510,590979,9178,6856,1.172
25,58924244,720603,9062,9845,1.393
30,57009990,820113,9025,10588,1.618
35,54092320,932840,8959,11684,1.775
40,58037292,1068937,8961,12419,2.107
45,55127807,1188339,8963,13559,2.299
50,55188130,1323731,8957,14610,2.491
55,57831410,1425558,8955,16480,2.844
60,57550864,1575717,8938,18080,3.128
65,56662554,1674369,8920,19936,3.333
70,57945717,1793960,8923,21459,3.657
75,59980985,1925769,8904,23566,4.047
80,59094745,2043647,8901,24293,4.253
85,57956477,2164611,8909,25677,4.430
90,57875439,2301232,8913,26715,4.650
95,61162849,2399563,8899,28837,5.191
100,61651626,2530276,8882,33144,5.493
105,60785161,2646470,8874,35139,5.691
110,60048908,2765687,8877,36217,5.867
115,60145789,2898641,8870,36857,6.173
120,62459230,2999919,8870,39229,6.605
125,62386899,3135370,8871,40636,6.920
130,63192525,3255060,8875,41134,7.245
135,62411123,3385787,8864,44056,7.487
140,61788144,3502295,8860,43843,7.692
145,62122282,3600664,8853,45861,7.943
150,61962035,3736208,8856,46464,8.192
155,65046546,3858781,8866,47947,8.612
160,64333183,3990859,8860,50627,9.092
165,63747094,4108754,8860,51955,9.284
170,63710715,4210537,8861,53441,9.540
175,63714423,4363559,8864,54287,9.787
180,63633712,4463925,8862,56366,10.083
185,63032972,4604738,8874,816,10.278
190,62408678,4740557,8876,2133,10.443
195,61941415,4860903,8880,2731,10.623
200,61477090,4980175,8883,4826,10.800
205,61465373,5089520,8867,7742,11.066
210,61229105,5210184,8872,8819,11.285
215,60846302,5341166,8866,12662,11.500
220,60435161,5459079,8866,13647,11.684
225,60338393,5578667,8869,14794,11.894
230,59953266,5714008,8870,16402,12.102
235,59467536,5815053,8870,16894,12.255
240,59850578,5968869,8873,17175,12.576
245,59813424,6070965,8874,17675,12.833
250,59431321,6203937,8872,19990,13.021
255,59244199,6321801,8871,20681,13.264
260,59056680,6419890,8867,22855,13.440
265,59653318,6574974,8872,1401,13.900
270,59507609,6676636,8873,2156,14.158
275,59342603,6832154,8878,1664,14.370
280,59028789,6933750,8879,2488,14.573
285,59027145,7088301,8883,3203,14.777
290,60501118,7184884,8877,8606,15.419
295,60321239,7263566,8849,1903,15.608
300,59961497,7380456,8848,4754,15.826
305,59500300,7499208,8849,5773,15.985
310,59491405,7630419,8844,9294,16.226
315,59398142,7731862,8845,10957,16.459
320,59046581,7867611,8846,13391,16.601
325,58825357,7976529,8836,16426,16.805
330,58792366,8097749,8839,16658,17.069
335,58775642,8214852,8838,18786,17.305
340,58885272,8347911,8836,20607,17.615
345,58871179,8451545,8839,21596,17.854
350,58552815,8580468,8833,22898,18.012
355,58262839,8696398,8831,25407,18.200
360,58033271,8814778,8832,26244,18.379
365,58082913,8946398,8829,29549,18.635
370,58184148,9046665,8828,32135,18.870
375,58268842,9164397,8828,33889,19.181
380,57968045,9297808,8827,36201,19.367
385,57790597,9413140,8825,39600,19.512
390,57752883,9528110,8823,42699,19.795
395,57862025,9645896,8823,42952,20.075
400,57793637,9763024,8822,44454,20.299
405,57902094,9899029,8824,46276,20.558
410,58180044,10013656,8821,48247,20.919
415,58531671,10130989,8821,48989,21.317
420,58358876,10267321,8823,50302,21.539
425,58241436,10370517,8825,51498,21.699
430,58688511,10485748,8823,53504,22.141
435,58733863,10616197,8819,56315,22.350
440,58567484,10736987,8822,56721,22.610
445,58610365,10872030,8822,58043,22.800
450,58459757,10989865,8823,58771,23.082
455,58223642,11109842,8824,59667,23.251
460,58026979,11246068,8826,60494,23.436
465,57935994,11343273,8823,62282,23.626
470,57849836,11479429,8824,62833,23.833
475,57857317,11592167,8821,1711,24.055
480,58068796,11710855,8821,1854,24.386
485,57998008,11845802,8822,4022,24.698
490,57847332,11935548,8813,3388,25.003
495,58299151,12051525,8812,3481,25.375
500,58351016,12189908,8815,4742,25.703
505,58388260,12290637,8815,5597,25.994
510,58528045,12428054,8817,5846,26.313
515,58413666,12544690,8816,7821,26.541
520,58459348,12677141,8815,9729,26.816
525,58387691,12780941,8817,11347,27.011
530,58592496,12933311,8818,12696,27.279
535,58999765,13035066,8818,13837,27.763
540,59342002,13152960,8818,15213,28.193
545,59245142,13288464,8819,17960,28.461
550,59173560,13408352,8820,19188,28.646
555,59070880,13545681,8822,20262,28.890
560,58986291,13648676,8824,20781,29.092
565,58775943,13782360,8823,23570,29.250
570,58805225,13898405,8822,25168,29.529
575,59165042,14036688,8824,25269,29.869
580,59147620,14156622,8826,25903,30.234
585,59106886,14292281,8826,27190,30.454
590,59213352,14392676,8826,29235,30.780
595,59065731,14529405,8827,30481,30.962
600,58928908,14645317,8826,32954,31.148
605,58839125,14764216,8827,34031,31.349
610,58851332,14882755,8828,35075,31.608
615,58720792,15015649,8827,35218,31.804
620,58708046,15134838,8827,35973,31.982
625,58620064,15254107,8828,37511,32.261
630,58650355,15388764,8828,39393,32.541
635,58585091,15507357,8829,40035,32.755
640,58787289,15642671,8829,42860,33.128
645,58716110,15741182,8828,46448,33.343
650,58574444,15816946,8814,2223,33.244
655,58504075,15935795,8815,2864,33.456
660,58450882,16070184,8814,4763,33.707
665,58468080,16188892,8815,5833,33.958
670,58321136,16327720,8817,6611,34.141
675,58105046,16426303,8816,8979,34.250
680,58176509,16545257,8816,10144,34.507
685,58229469,16678012,8816,11951,34.802
690,58264797,16798675,8817,11291,35.095
695,58116844,16916958,8817,13229,35.261
700,58031368,17052288,8818,13872,35.460
705,57862110,17173157,8819,14553,35.592
710,57752437,17310913,8821,14893,35.780
715,57871113,17431507,8822,15551,36.092
720,57820462,17550671,8823,15578,36.335
725,57903130,17670060,8824,15666,36.583
730,57865580,17809443,8826,16349,36.805
735,57752978,17928041,8826,17471,37.037
740,57772186,18063428,8827,18703,37.271
745,57730320,18178800,8825,21631,37.530
750,57704095,18279385,8825,23619,37.753
755,57808431,18415984,8826,25169,38.076
760,58131839,18536310,8827,26530,38.473
765,58038539,18672094,8828,27108,38.740
770,58072684,18792210,8829,27677,38.980
775,58227987,18906560,8827,30494,39.298
780,58294091,19027917,8829,30633,39.642
785,58230531,19163334,8829,31956,39.863
790,58600912,19281917,8829,32709,40.315
795,58782568,19417014,8830,34514,40.712
800,58663903,19533483,8829,34670,40.944
805,58831277,19634945,8829,36581,41.303
810,58777217,19766835,8828,40263,41.507
815,58923786,19883797,8827,42021,41.821
820,58778744,20000393,8827,44974,42.044
825,58972644,20132832,8826,47174,42.359
830,59087913,20267511,8833,1873,42.664
835,59038539,20401609,8833,2171,42.894
840,58922465,20517733,8832,4599,43.097
845,58923184,20655369,8834,4992,43.334
850,58838776,20773496,8834,7136,43.550
855,58626973,20890107,8833,9163,43.680
860,58551132,21007181,8833,11236,43.866
865,58623310,21125351,8833,14300,44.121
870,58488172,21241559,8833,15657,44.306
875,58446132,21376380,8833,16399,44.525
