secs,pps,tps,gps,glst,bpc
0,4545159,70248,812,536,0.023
5,3872655,86488,599,1970,0.045
10,3506032,106023,525,3277,0.065
15,3250627,123971,491,4277,0.085
20,3118854,142562,465,5395,0.103
25,3030002,161351,451,6575,0.123
30,3023210,179886,440,7967,0.145
35,3000000,199999,432,9189,0.164
40,3059042,218292,425,10538,0.188
45,3053420,237425,421,11731,0.213
50,3020141,256998,418,13005,0.233
55,3004880,278668,415,14306,0.254
60,2984997,298229,413,15474,0.273
65,2951426,318456,411,16632,0.291
70,2945805,335628,408,18049,0.313
75,2948553,355964,407,19250,0.335
80,2956516,377214,406,20492,0.357
85,2934057,396118,404,21794,0.375
90,2922151,414956,403,23027,0.395
95,2928657,437454,402,24208,0.418
100,2930897,455109,401,25441,0.439
105,2981596,477879,401,26589,0.465
110,2977849,497213,401,27869,0.490
115,2973186,518156,400,28834,0.510
120,2986166,538889,400,30079,0.533
125,2985812,557688,399,31392,0.556
130,2992154,576560,398,32658,0.579
135,2999608,597370,398,33865,0.600
140,2978132,618034,398,34980,0.620
145,2958593,637078,397,36270,0.638
150,2958185,657999,397,37492,0.659
155,2949334,678400,396,38799,0.680
160,2943224,697030,396,40135,0.699
165,2941856,716806,396,41198,0.720
170,2935000,734732,395,42503,0.738
175,2952279,753239,394,43817,0.766
180,2955754,773304,394,1102,0.787
185,2961707,793862,394,2305,0.811
190,2999189,813050,393,3490,0.841
195,2987721,833367,393,4707,0.862
200,2999241,850924,393,5959,0.886
205,3002895,871686,393,7329,0.908
210,3005628,894801,393,8664,0.932
215,3005248,914545,393,10144,0.954
220,2998246,936611,393,11648,0.974
225,3000713,956839,393,13125,0.996
230,3006394,979974,393,14539,1.020
235,3008772,1003216,394,16033,1.043
240,3028937,1024226,394,17582,1.073
245,3042076,1048471,395,19018,1.099
250,3031819,1072283,395,20503,1.117
255,3027318,1095799,395,21972,1.138
260,3057533,1117666,396,23435,1.166
265,3064796,1141039,396,24908,1.195
270,3061470,1165291,396,26288,1.217
275,3061382,1188685,397,27794,1.239
280,3065141,1211056,397,29273,1.263
285,3066017,1236507,398,30705,1.285
290,3071075,1260315,398,1102,1.326
295,3075281,1285329,399,1947,1.350
300,3089606,1309739,399,3224,1.380
305,3109032,1332814,399,4815,1.411
310,3110373,1354571,399,6407,1.435
315,3109100,1378291,399,7926,1.458
320,3113842,1404717,400,9365,1.483
325,3126979,1429989,401,1084,1.510
330,3122019,1455523,401,2338,1.532
335,3119336,1479584,401,3294,1.553
340,3116849,1502192,402,4636,1.574
345,3122459,1529521,402,6014,1.599
350,3120778,1552490,402,7193,1.622
355,3119547,1579112,403,8083,1.645
360,3118867,1605370,404,9570,1.667
365,3123352,1628522,404,11027,1.693
370,3128754,1651281,404,12494,1.719
375,3135993,1675760,404,13947,1.746
380,3136485,1701642,404,15446,1.769
385,3139569,1723749,405,17062,1.794
390,3143854,1749228,405,18656,1.818
395,3153029,1773687,405,20187,1.847
400,3145544,1797795,405,21750,1.867
405,3149696,1823987,406,23264,1.893
410,3148335,1848340,406,24824,1.915
415,3154503,1872347,406,26386,1.941
420,3156355,1896752,406,27914,1.966
425,3162336,1922490,407,29468,1.993
430,3163782,1947403,407,30979,2.018
435,3158759,1974400,407,32387,2.038
440,3157602,2002800,408,33810,2.061
445,3160100,2026259,408,35268,2.085
450,3167523,2049444,408,36845,2.114
455,3177438,2074735,408,38271,2.144
460,3177479,2095790,408,39867,2.167
465,3178185,2123573,409,41289,2.192
470,3177270,2147977,409,42800,2.214
475,3185986,2174846,409,43879,2.244
480,3188158,2201877,410,45213,2.269
485,3203561,2230756,410,46470,2.301
490,3201190,2257060,411,47839,2.326
495,3202496,2281791,411,49287,2.350
500,3206131,2304493,411,50869,2.374
505,3220900,2327786,411,1033,2.412
510,3221299,2352862,411,2392,2.438
515,3227766,2379719,411,3720,2.465
520,3225969,2402652,411,5124,2.488
525,3227521,2424497,411,6404,2.514
530,3228074,2447663,411,7500,2.539
535,3222675,2469477,411,8734,2.558
540,3219831,2489864,411,10118,2.579
545,3221803,2511654,411,11406,2.604
550,3224201,2535319,411,12662,2.629
555,3233153,2555592,411,13924,2.662
560,3239427,2579666,411,15218,2.690
565,3233413,2602070,411,16439,2.710
570,3229195,2622594,411,17692,2.730
575,3232008,2646229,410,18958,2.754
580,3228115,2663798,410,20267,2.777
585,3226993,2681379,410,21680,2.798
590,3231017,2701520,410,22982,2.826
595,3231859,2720078,409,24237,2.851
600,3225230,2741188,409,829,2.858
605,3220457,2763883,409,1652,2.878
610,3212952,2782945,409,2749,2.895
615,3210390,2801798,409,3792,2.915
620,3208577,2819802,408,5143,2.938
625,3207920,2837858,408,6520,2.960
630,3206188,2855095,408,7878,2.981
635,3208048,2877447,408,9038,3.008
640,3205620,2895304,407,10160,3.028
645,3201069,2915740,407,10991,3.048
650,3200564,2936072,407,12299,3.070
655,3196023,2956235,407,13383,3.090
660,3194079,2976458,407,14345,3.113
665,3189448,2996554,406,15503,3.132
670,3189270,3015487,406,16367,3.154
675,3185350,3034812,406,17380,3.174
680,3189265,3053021,406,18674,3.201
685,3189175,3073250,406,19548,3.226
690,3188839,3093304,406,20800,3.248
695,3189795,3112769,405,21934,3.272
700,3187198,3130811,405,23345,3.292
705,3183147,3152675,405,24367,3.312
710,3181163,3174930,405,25296,3.334
715,3178315,3195443,405,26495,3.354
720,3177944,3214900,405,27756,3.377
725,3175077,3233010,405,29145,3.396
730,3170685,3249973,404,30385,3.415
735,3170458,3268057,404,31815,3.438
740,3167443,3289253,404,33042,3.458
745,3161679,3309744,404,34341,3.476
750,3154098,3329567,404,35558,3.491
755,3153108,3349290,404,36746,3.512
760,3148498,3366271,403,37807,3.530
765,3147785,3384198,403,38999,3.553
770,3150898,3403552,403,40193,3.579
775,3145504,3421821,403,41450,3.596
780,3145884,3439650,402,1001,3.621
785,3141425,3458332,402,2336,3.639
790,3138992,3477112,402,3443,3.659
795,3135101,3493632,402,4541,3.678
800,3130818,3510700,402,5680,3.695
805,3133037,3530322,401,7048,3.720
810,3133851,3547317,401,8420,3.745
815,3134558,3568616,401,9847,3.765
820,3133979,3590359,401,11034,3.791
825,3135924,3612413,401,12474,3.817
830,3134734,3632014,401,14062,3.838
835,3139370,3654174,401,15643,3.867
840,3137712,3675682,401,17183,3.889
845,3135691,3697974,401,18680,3.909
850,3136496,3720734,401,20107,3.933
855,3136623,3746469,401,21520,3.955
860,3133868,3772309,401,22925,3.975
865,3132478,3794292,401,24430,3.996
870,3135724,3820169,402,1078,4.061
875,3136015,3842748,402,2524,4.086
880,3136423,3865572,402,4071,4.110
885,3138563,3890952,402,5516,4.136
890,3143384,3911532,402,7049,4.166
895,3139160,3933379,402,8664,4.183
900,3135284,3955597,402,10287,4.201
905,3139206,3980193,402,11712,4.230
910,3139340,4002971,402,13219,4.253
915,3138976,4027979,402,14716,4.276
920,3143467,4049923,402,16193,4.305
925,3143774,4072980,402,17702,4.330
930,3146723,4095646,402,19130,4.356
935,3151354,4121925,402,20215,4.386
940,3159157,4151161,403,21507,4.421
945,3160080,4178524,403,22831,4.445
950,3161719,4206321,403,24125,4.471
955,3165707,4231603,403,25464,4.499
960,3165390,4255700,404,26963,4.523
965,3169395,4281298,404,28417,4.552
970,3171144,4306530,404,29816,4.579
975,3175377,4334664,404,31171,4.609
980,3182254,4359490,404,32573,4.640
985,3180057,4385113,404,33797,4.663
990,3181826,4410068,405,35176,4.686
