secs,pps,tps,gps
0,114111,46383,5427
2,112379,46436,5347
4,110554,45827,5262
6,107239,44329,5103
8,107061,44153,5094
10,107832,44507,5131
12,108326,44696,5154
14,108706,44771,5172
16,109061,44889,5189
18,107272,44183,5104
20,107726,44332,5125
22,107846,44411,5131
24,108049,44496,5140
26,108512,44725,5163
28,107335,44236,5107
30,107892,44475,5133
32,108203,44544,5148
34,108607,44679,5167
36,109003,44815,5185
38,109107,44870,5190
40,109268,44971,5198
42,109432,45044,5206
44,109558,45072,5212
46,109734,45130,5220
48,109823,45163,5224
50,110001,45213,5233
52,110006,45222,5233
54,110158,45273,5240
56,110244,45321,5244
58,110312,45361,5248
60,109824,45161,5224
62,110040,45250,5235
64,110113,45278,5238
66,110173,45324,5241
68,110138,45333,5240
70,110050,45288,5235
72,110185,45337,5242
74,110298,45383,5247
76,110487,45444,5256
78,110524,45462,5258
80,110118,45289,5238
82,110332,45360,5248
84,110208,45314,5243
86,110261,45322,5245
88,110254,45338,5245
90,110322,45354,5248
92,110376,45380,5251
94,110547,45442,5259
96,110556,45447,5259
