secs,pps,tps,gps
0,233685,69974,11123
2,230163,69929,10962
4,228462,69386,10880
6,222817,67898,10612
8,220719,67299,10513
10,221734,67732,10562
12,223349,68129,10638
14,223799,68266,10660
16,219703,66969,10464
18,220562,67226,10505
20,220854,67374,10519
22,221535,67548,10551
24,222190,67717,10582
26,219494,66937,10454
28,219862,67028,10471
30,220097,67097,10483
32,220463,67245,10500
34,218695,66712,10416
36,219037,66815,10432
38,219323,66929,10446
40,219603,67008,10460
42,218535,66654,10408
44,219067,66802,10434
46,218625,66702,10413
