secs,pps,tps,gps
8,6895,7913,328
10,6895,7913,328
12,6895,7913,328
14,6895,7913,328
16,6895,7913,328
18,6558,7598,312
20,6558,7598,312
22,6558,7598,312
24,6558,7598,312
26,6568,7682,313
28,6568,7682,313
30,6568,7682,313
32,6568,7682,313
34,6568,7682,313
36,6483,7634,309
38,6483,7634,309
40,6483,7634,309
42,6483,7634,309
44,6483,7634,309
46,6461,7616,308
48,6461,7616,308
50,6461,7616,308
52,6461,7616,308
54,6461,7616,308
56,6502,7649,310
58,6502,7649,310
60,6502,7649,310
62,6502,7649,310
64,6471,7608,308
66,6471,7608,308
68,6471,7608,308
70,6471,7608,308
72,6471,7608,308
74,6463,7592,308
76,6463,7592,308
78,6463,7592,308
80,6463,7592,308
82,6463,7592,308
84,6463,7577,308
86,6463,7577,308
88,6463,7577,308
90,6463,7577,308
92,6463,7577,308
94,6428,7541,306
96,6428,7541,306
