secs,pps,tps,gps
0,245806,95544,11559
5,261528,100839,12293
10,263020,101571,12363
15,262467,101223,12336
20,261303,100838,12282
25,259821,100214,12212
30,259297,99930,12187
35,257391,99167,12097
40,253137,97514,11898
45,251586,96972,11825
50,250789,96658,11788
55,250876,96677,11792
60,250346,96447,11767
65,249920,96294,11747
70,249509,96151,11727
75,249362,96111,11721
80,248583,95798,11684
85,247636,95398,11639
90,247410,95312,11629
95,246646,95012,11593
100,246123,94846,11568
105,245481,94585,11538
110,245306,94521,11530
115,245033,94444,11517
120,244039,94053,11470
125,243653,93891,11452
130,243396,93800,11440
135,243431,93804,11442
140,242968,93625,11420
145,242609,93484,11403
150,242127,93317,11380
155,241670,93132,11359
160,241012,92860,11328
165,240468,92647,11302
170,240386,92601,11298
175,240455,92634,11302
180,240114,92493,11286
185,240159,92512,11288
190,240210,92527,11290
195,239977,92428,11279
200,239626,92298,11262
205,239570,92278,11260
210,239606,92295,11262
215,239644,92310,11263
220,239615,92293,11262
225,239416,92205,11253
230,239267,92138,11246
235,239274,92123,11246
240,239201,92112,11242
245,239056,92060,11236
250,238618,91878,11215
255,238401,91795,11205
260,238156,91698,11193
265,237754,91550,11175
270,237260,91361,11151
275,236728,91165,11127
280,236269,91000,11105
285,235959,90880,11091
290,235510,90703,11070
295,235161,90578,11053
300,235049,90536,11048
305,234788,90435,11036
310,234578,90374,11026
315,234564,90366,11026
320,234409,90304,11018
325,234236,90236,11010
330,234179,90214,11008
335,233820,90069,10991
340,233623,89988,10982
345,233570,89971,10979
350,233601,89978,10981
355,233579,89968,10980
360,233391,89900,10971
365,233350,89886,10969
370,233116,89788,10958
375,232801,89674,10943
380,232510,89562,10930
385,232320,89491,10921
390,232259,89470,10918
395,232265,89473,10918
400,232192,89449,10915
405,232057,89398,10909
410,231971,89368,10905
415,231874,89328,10900
420,231750,89282,10894
425,231841,89307,10898
430,231836,89307,10898
435,231803,89298,10897
440,231741,89276,10894
445,231555,89204,10885
450,231392,89140,10878
455,231207,89072,10869
460,230910,88967,10855
465,230664,88868,10843
470,230437,88783,10833
475,230275,88719,10825
480,230204,88683,10822
485,230005,88605,10813
490,229977,88595,10811
495,229797,88527,10803
500,229533,88426,10790
505,229336,88350,10781
510,229073,88248,10769
515,228841,88157,10758
520,228797,88139,10756
525,228796,88141,10756
530,228862,88168,10759
535,228696,88107,10751
540,228494,88031,10742
545,228266,87945,10731
550,228062,87864,10721
555,227837,87779,10711
560,227648,87706,10702
565,227573,87675,10698
570,227555,87665,10698
575,227548,87664,10697
580,227577,87679,10699
585,227702,87730,10705
590,227676,87723,10703
595,227742,87744,10707
600,227901,87805,10714
605,227966,87834,10717
610,228065,87870,10722
615,228088,87881,10723
620,228212,87928,10729
625,228304,87965,10733
630,228399,88001,10738
635,228499,88042,10742
640,228613,88084,10748
645,228711,88120,10752
650,228845,88174,10759
655,228914,88204,10762
660,228994,88234,10766
665,229127,88288,10772
670,229180,88312,10775
675,229251,88333,10778
680,229365,88376,10783
685,229492,88421,10789
690,229568,88450,10793
695,229632,88472,10796
700,229772,88527,10802
705,229914,88575,10809
710,230003,88607,10813
715,230104,88649,10818
720,230218,88693,10823
725,230305,88729,10827
730,230394,88768,10832
735,230493,88806,10836
740,230597,88849,10841
745,230693,88892,10846
750,230740,88911,10848
755,230895,88969,10855
760,230983,89006,10859
765,231041,89029,10862
770,231115,89056,10865
775,231240,89101,10871
780,231306,89126,10874
785,231442,89179,10880
790,231526,89209,10884
795,231584,89235,10887
800,231656,89262,10890
805,231712,89282,10893
810,231781,89307,10896
815,231740,89291,10894
820,231703,89275,10893
825,231611,89236,10888
830,231626,89240,10889
835,231690,89265,10892
840,231679,89259,10891
845,231718,89273,10893
850,231803,89304,10897
855,231840,89316,10899
860,231925,89346,10903
865,231961,89363,10904
870,232057,89400,10909
875,232160,89436,10914
880,232226,89460,10917
885,232169,89434,10914
890,232019,89377,10907
895,231959,89354,10904
900,231901,89332,10901
905,231776,89285,10895
910,231677,89246,10891
915,231628,89225,10888
920,231541,89191,10884
925,231539,89189,10884
930,231529,89186,10884
935,231517,89183,10883
940,231549,89195,10885
945,231609,89215,10887
950,231593,89211,10887
955,231654,89236,10890
960,231718,89259,10892
965,231739,89266,10893
970,231803,89291,10896
975,231848,89308,10899
980,231939,89340,10903
985,232032,89376,10907
990,232101,89404,10910
