secs,pps,tps,gps
0,342869,107368,16136
5,329523,103309,15508
10,323020,101219,15201
15,322196,100863,15162
20,316295,99057,14885
25,314581,98532,14805
30,311246,97479,14648
35,308370,96477,14512
40,307487,96166,14470
45,304103,95121,14311
50,302932,94745,14256
55,302261,94529,14224
60,301493,94281,14188
65,300931,94106,14161
70,300867,94088,14158
75,300615,93987,14146
80,299821,93750,14109
85,299312,93582,14085
90,299082,93487,14074
95,298539,93317,14048
100,298222,93193,14033
105,298009,93117,14023
110,297891,93077,14017
115,297665,93021,14007
120,297339,92921,13992
125,297328,92927,13991
130,296764,92758,13964
135,296890,92792,13970
140,296610,92705,13957
145,295961,92501,13926
150,295909,92477,13924
155,295396,92310,13899
160,295186,92241,13889
165,295276,92261,13893
170,295255,92242,13892
175,294825,92113,13872
180,294783,92092,13870
185,294329,91966,13848
190,294152,91912,13840
195,294033,91881,13834
200,294061,91885,13836
205,293823,91800,13824
210,293649,91739,13816
215,293881,91814,13827
220,293769,91784,13822
225,294022,91857,13833
230,294051,91866,13835
235,294108,91890,13837
240,294113,91889,13837
245,294024,91865,13833
250,294119,91885,13838
255,294158,91895,13839
260,294130,91888,13838
265,294116,91884,13837
270,294067,91869,13835
275,293949,91831,13829
280,294198,91902,13841
285,293962,91823,13830
290,293840,91785,13824
295,293814,91775,13822
300,293732,91741,13818
305,293812,91763,13822
310,293999,91820,13831
315,294148,91868,13838
320,294190,91887,13839
325,294428,91964,13850
330,294747,92067,13865
335,294546,92006,13856
340,294524,92004,13855
345,294590,92030,13858
350,294605,92041,13858
355,294561,92030,13856
360,294633,92043,13859
365,294611,92037,13858
370,294722,92073,13863
375,294677,92062,13861
380,294632,92042,13859
385,294819,92098,13868
390,294729,92064,13863
395,294795,92085,13866
400,294874,92107,13870
405,294891,92107,13871
410,294747,92059,13864
415,294730,92045,13863
420,294666,92024,13860
425,294741,92038,13863
430,294721,92036,13862
435,294798,92061,13866
440,294792,92059,13865
445,294859,92077,13869
450,294892,92085,13870
455,294924,92091,13871
460,294932,92094,13872
465,294914,92088,13871
470,294818,92056,13866
475,294859,92066,13868
480,294874,92069,13869
485,294837,92054,13867
490,294836,92051,13867
495,294798,92034,13865
500,294864,92051,13868
505,294957,92080,13872
510,295054,92108,13877
515,295092,92119,13879
520,295180,92141,13883
525,295189,92142,13883
530,295205,92151,13884
535,295221,92157,13884
540,295211,92152,13884
545,295242,92158,13885
550,295147,92132,13881
555,295115,92122,13879
560,295103,92123,13879
565,294967,92081,13872
570,294827,92034,13865
575,294814,92031,13865
580,294838,92037,13866
585,294848,92043,13866
590,294899,92058,13869
595,294873,92050,13867
600,294833,92036,13865
605,294862,92043,13867
610,294935,92063,13870
615,294946,92068,13871
620,295014,92089,13874
625,294985,92075,13872
630,295013,92078,13873
635,295040,92089,13875
640,295012,92080,13873
645,294973,92069,13872
650,294886,92043,13867
655,294916,92051,13869
660,294910,92055,13868
665,294994,92083,13872
670,295019,92090,13874
675,294953,92069,13870
680,295012,92082,13873
685,294990,92078,13872
690,295024,92091,13874
695,295033,92092,13874
700,294921,92054,13869
705,294900,92046,13868
710,294868,92036,13866
715,294773,92003,13862
720,294772,92000,13861
725,294781,92005,13862
730,294831,92018,13864
735,294881,92034,13866
740,294926,92048,13868
745,294948,92058,13870
750,294992,92070,13872
755,294998,92073,13872
760,295073,92102,13875
765,295066,92096,13875
770,294987,92069,13871
775,294964,92063,13870
780,294879,92037,13866
785,294904,92047,13867
790,294837,92026,13864
795,294830,92024,13864
800,294853,92034,13865
805,294812,92020,13863
810,294757,92006,13860
815,294697,91987,13857
820,294686,91982,13857
825,294682,91980,13857
830,294674,91975,13856
835,294647,91964,13855
840,294666,91972,13856
845,294607,91952,13853
850,294638,91961,13855
855,294596,91949,13853
860,294535,91933,13850
865,294544,91934,13850
870,294610,91954,13853
875,294596,91949,13853
880,294558,91939,13851
885,294593,91948,13853
890,294628,91959,13854
895,294656,91969,13856
900,294698,91985,13858
905,294723,91990,13859
910,294750,92003,13860
915,294744,92000,13860
920,294763,92005,13861
925,294692,91984,13857
930,294636,91970,13855
935,294608,91959,13853
940,294620,91962,13854
945,294670,91978,13856
950,294589,91953,13852
955,294576,91949,13852
960,294615,91964,13854
965,294521,91934,13849
970,294483,91923,13847
975,294425,91903,13845
980,294447,91908,13846
985,294489,91921,13848
990,294506,91926,13849
