secs,pps,tps,gps
0,55039,26862,2584
5,53885,26243,2529
10,53084,25865,2491
15,52450,25560,2462
20,52094,25309,2445
25,51704,25146,2427
30,51920,25208,2437
35,51616,25099,2422
40,51242,24897,2405
45,51131,24844,2400
50,50901,24730,2389
55,50924,24747,2390
60,50754,24639,2382
65,50468,24500,2368
70,50481,24521,2369
75,50486,24519,2369
80,50340,24450,2362
85,50407,24500,2366
90,50490,24535,2370
95,50567,24579,2373
100,50560,24593,2373
105,50529,24582,2372
110,50570,24602,2374
115,50545,24595,2372
120,50455,24565,2368
125,50494,24566,2370
130,50511,24579,2371
135,50528,24578,2372
140,50510,24566,2371
145,50535,24586,2372
150,50537,24586,2372
155,50469,24558,2369
160,50464,24553,2369
165,50503,24575,2371
170,50439,24544,2368
175,50373,24508,2364
180,50324,24481,2362
185,50296,24463,2361
190,50302,24461,2361
195,50322,24464,2362
200,50323,24471,2362
205,50354,24483,2363
210,50390,24505,2365
215,50394,24509,2365
220,50409,24507,2366
225,50410,24508,2366
230,50451,24536,2368
235,50460,24538,2368
240,50456,24534,2368
245,50473,24536,2369
250,50478,24539,2369
255,50459,24533,2368
260,50433,24519,2367
265,50434,24519,2367
270,50432,24515,2367
275,50426,24517,2367
280,50429,24520,2367
285,50462,24525,2368
290,50474,24533,2369
295,50476,24533,2369
300,50457,24519,2368
305,50444,24514,2367
310,50431,24509,2367
315,50447,24524,2368
320,50473,24539,2369
325,50455,24533,2368
330,50453,24524,2368
335,50436,24514,2367
340,50432,24508,2367
345,50457,24520,2368
350,50468,24529,2368
355,50461,24527,2368
360,50445,24523,2367
365,50471,24539,2369
370,50450,24531,2368
375,50435,24523,2367
380,50396,24509,2365
385,50395,24506,2365
390,50355,24491,2363
395,50361,24497,2364
400,50355,24493,2363
405,50364,24496,2364
410,50368,24498,2364
415,50362,24497,2364
420,50353,24495,2363
425,50341,24490,2363
430,50331,24487,2362
435,50317,24480,2361
440,50343,24491,2363
445,50302,24474,2361
450,50294,24467,2360
455,50268,24460,2359
460,50266,24460,2359
465,50268,24461,2359
470,50260,24457,2359
475,50256,24458,2359
480,50233,24452,2358
485,50238,24451,2358
490,50246,24457,2358
495,50248,24459,2358
500,50236,24453,2358
505,50225,24447,2357
510,50215,24444,2357
515,50235,24455,2358
520,50264,24465,2359
525,50262,24464,2359
530,50280,24471,2360
535,50294,24480,2360
540,50279,24478,2360
545,50249,24464,2358
550,50249,24464,2358
555,50251,24466,2358
560,50237,24459,2358
565,50259,24470,2359
570,50270,24477,2359
575,50268,24477,2359
580,50267,24477,2359
585,50265,24477,2359
590,50275,24483,2360
595,50279,24485,2360
600,50271,24483,2359
605,50259,24476,2359
610,50277,24485,2360
615,50279,24483,2360
620,50270,24481,2359
625,50265,24477,2359
630,50269,24478,2359
635,50260,24475,2359
640,50267,24479,2359
645,50264,24476,2359
650,50264,24477,2359
655,50263,24475,2359
660,50257,24474,2359
665,50251,24473,2358
670,50258,24476,2359
675,50250,24470,2358
680,50250,24470,2358
685,50245,24469,2358
690,50242,24466,2358
695,50254,24473,2358
700,50249,24472,2358
705,50238,24468,2358
710,50247,24473,2358
715,50241,24469,2358
720,50239,24468,2358
725,50248,24473,2358
730,50245,24472,2358
735,50244,24470,2358
740,50254,24472,2358
745,50250,24471,2358
750,50230,24463,2357
755,50236,24465,2357
760,50233,24464,2357
765,50231,24465,2357
770,50238,24467,2358
775,50241,24466,2358
780,50247,24472,2358
785,50241,24469,2358
790,50226,24463,2357
795,50236,24469,2357
800,50216,24461,2357
805,50196,24452,2356
810,50189,24446,2355
815,50180,24442,2355
820,50169,24437,2354
825,50157,24432,2354
830,50142,24425,2353
835,50125,24417,2352
840,50118,24412,2352
845,50104,24406,2351
850,50088,24399,2350
855,50077,24393,2350
860,50055,24381,2349
865,50026,24369,2348
870,50019,24365,2347
875,50019,24362,2347
880,50018,24362,2347
885,50008,24356,2347
890,49997,24351,2346
895,49987,24344,2346
900,49962,24331,2344
905,49924,24313,2343
910,49895,24298,2341
915,49888,24294,2341
920,49870,24286,2340
925,49849,24276,2339
930,49832,24269,2338
935,49814,24260,2338
940,49802,24255,2337
945,49790,24250,2336
950,49767,24238,2335
955,49752,24230,2335
960,49743,24227,2334
965,49731,24221,2334
970,49729,24220,2333
975,49711,24212,2333
980,49710,24213,2333
985,49692,24205,2332
