secs,pps,tps,gps
0,82299,35412,3898
5,84406,36275,3997
10,85826,36799,4064
15,86660,37212,4104
20,86414,37161,4092
25,86785,37310,4110
30,86873,37363,4114
35,85823,36933,4065
40,85712,36844,4059
45,85694,36809,4058
50,85508,36768,4050
55,84875,36502,4020
60,84875,36502,4020
65,84626,36397,4008
70,84394,36272,3997
75,84394,36272,3997
80,83938,36084,3975
85,83842,36047,3971
90,83842,36047,3971
95,83425,35881,3951
100,83409,35862,3951
105,83409,35862,3951
110,83100,35728,3936
115,83075,35721,3935
120,83075,35721,3935
125,83159,35761,3939
130,82918,35646,3927
135,82918,35646,3927
140,82822,35595,3923
145,82885,35612,3926
150,82885,35612,3926
155,82805,35592,3922
160,82961,35643,3929
165,83112,35716,3937
170,83127,35722,3937
175,83168,35744,3939
180,83099,35710,3936
185,83039,35687,3933
190,82980,35663,3931
195,82902,35628,3927
200,82919,35633,3928
205,82854,35608,3925
210,82891,35611,3926
215,82891,35611,3926
220,82776,35570,3921
225,82901,35624,3927
230,82931,35635,3928
235,82914,35630,3927
240,82854,35603,3925
245,82729,35557,3919
250,82720,35554,3918
255,82610,35514,3913
260,82573,35504,3911
265,82531,35484,3909
270,82482,35462,3907
275,82431,35446,3905
280,82450,35448,3906
285,82515,35475,3909
290,82505,35471,3908
295,82433,35439,3905
300,82418,35430,3904
305,82430,35431,3905
310,82345,35395,3901
315,82301,35373,3899
320,82223,35334,3895
325,82222,35334,3895
330,82269,35353,3897
335,82257,35347,3896
340,82195,35325,3894
345,82157,35311,3892
350,82150,35300,3891
355,82276,35356,3897
360,82307,35368,3899
365,82281,35356,3898
370,82257,35339,3896
375,82231,35333,3895
380,82133,35295,3891
385,82045,35260,3886
390,82005,35245,3885
395,81991,35237,3884
400,81871,35188,3878
405,81817,35167,3876
410,81758,35145,3873
415,81761,35145,3873
420,81718,35128,3871
425,81778,35157,3874
430,81782,35160,3874
435,81804,35173,3875
440,81790,35164,3875
445,81846,35188,3877
450,81827,35179,3877
455,81787,35165,3875
460,81718,35137,3871
465,81777,35166,3874
470,81779,35167,3874
475,81749,35154,3873
480,81754,35161,3873
485,81657,35123,3869
490,81620,35109,3867
495,81607,35105,3866
500,81625,35115,3867
505,81639,35123,3868
510,81645,35123,3868
515,81593,35108,3866
520,81638,35126,3868
525,81656,35133,3869
530,81591,35104,3866
535,81589,35106,3866
540,81533,35083,3863
545,81535,35084,3863
550,81497,35068,3861
555,81531,35083,3863
560,81564,35099,3864
565,81635,35125,3868
570,81643,35130,3868
575,81671,35143,3870
580,81665,35146,3869
585,81631,35132,3868
590,81630,35133,3868
595,81604,35120,3866
600,81606,35124,3867
605,81592,35116,3866
610,81633,35133,3868
615,81638,35137,3868
620,81604,35124,3867
625,81604,35124,3867
630,81578,35109,3865
635,81608,35125,3867
640,81636,35137,3868
645,81596,35121,3866
650,81624,35131,3868
655,81630,35134,3868
660,81623,35131,3868
665,81618,35127,3867
670,81656,35142,3869
675,81644,35140,3869
680,81642,35137,3868
685,81616,35125,3867
690,81592,35110,3866
695,81571,35102,3865
700,81569,35100,3865
705,81538,35089,3864
710,81538,35089,3864
715,81497,35068,3862
720,81488,35063,3861
725,81488,35063,3861
730,81428,35037,3858
735,81416,35034,3858
740,81416,35034,3858
745,81446,35049,3859
750,81501,35070,3862
755,81498,35071,3862
760,81460,35054,3860
765,81475,35059,3861
770,81483,35063,3861
775,81483,35062,3861
780,81494,35070,3862
785,81483,35066,3861
790,81489,35070,3861
795,81452,35055,3860
800,81430,35045,3859
805,81419,35040,3858
810,81391,35027,3857
815,81363,35018,3856
820,81345,35011,3855
825,81324,35003,3854
830,81302,34992,3853
835,81293,34989,3852
840,81302,34995,3853
845,81286,34988,3852
850,81298,34994,3853
855,81308,34999,3853
860,81303,34998,3853
865,81290,34992,3852
870,81296,34993,3853
875,81297,34992,3853
880,81269,34977,3851
885,81276,34977,3852
890,81244,34965,3850
895,81230,34959,3850
900,81195,34945,3848
905,81214,34954,3849
910,81227,34960,3849
915,81218,34955,3849
920,81211,34952,3849
925,81188,34941,3848
930,81161,34929,3846
935,81159,34928,3846
940,81141,34920,3845
945,81132,34917,3845
950,81126,34916,3845
955,81085,34899,3843
960,81089,34900,3843
965,81039,34880,3841
970,81005,34866,3839
975,81010,34868,3839
980,81002,34867,3839
985,81006,34868,3839
