secs,pps,tps,gps
0,0,0,0
5,3854,4595,181
10,3804,4490,179
15,3804,4490,179
20,3759,4427,176
25,3753,4388,176
30,3753,4388,176
35,3686,4391,173
40,3691,4393,173
45,3672,4353,172
50,3655,4329,172
55,3661,4328,172
60,3654,4319,172
65,3658,4323,172
70,3642,4323,171
75,3640,4324,171
80,3634,4315,171
85,3635,4317,171
90,3631,4319,171
95,3650,4321,171
100,3643,4312,171
105,3639,4310,171
110,3644,4312,171
115,3654,4313,172
120,3651,4314,171
125,3654,4313,172
130,3644,4300,171
135,3644,4302,171
140,3646,4302,171
145,3644,4302,171
150,3637,4303,171
155,3644,4303,171
160,3641,4304,171
165,3639,4297,171
170,3635,4294,171
175,3632,4290,171
180,3633,4289,171
185,3631,4287,170
190,3623,4273,170
195,3624,4268,170
200,3626,4268,170
205,3624,4267,170
210,3621,4265,170
215,3620,4264,170
220,3619,4262,170
225,3620,4261,170
230,3619,4258,170
235,3616,4260,170
240,3614,4258,170
245,3608,4254,169
250,3609,4256,169
255,3611,4254,169
260,3611,4252,169
265,3615,4253,170
270,3617,4252,170
275,3617,4253,170
280,3618,4254,170
285,3619,4253,170
290,3618,4249,170
295,3619,4249,170
300,3621,4247,170
305,3621,4246,170
310,3619,4244,170
315,3616,4243,170
320,3616,4244,170
325,3618,4245,170
330,3619,4245,170
335,3618,4245,170
340,3618,4245,170
345,3616,4244,170
350,3616,4243,170
355,3615,4242,170
360,3614,4240,170
365,3616,4241,170
370,3615,4241,170
375,3613,4241,170
380,3613,4241,170
385,3612,4242,170
390,3615,4242,170
395,3614,4243,170
400,3613,4243,170
405,3614,4243,170
410,3616,4243,170
415,3616,4243,170
420,3617,4244,170
425,3615,4243,170
430,3616,4243,170
435,3613,4241,170
440,3614,4242,170
445,3612,4241,169
450,3608,4239,169
455,3609,4239,169
460,3607,4238,169
465,3608,4238,169
470,3607,4237,169
475,3608,4237,169
480,3608,4237,169
485,3607,4237,169
490,3605,4236,169
495,3606,4235,169
500,3606,4236,169
505,3604,4234,169
510,3606,4234,169
515,3606,4234,169
520,3606,4235,169
525,3607,4235,169
530,3607,4234,169
535,3605,4234,169
540,3606,4234,169
545,3607,4234,169
550,3607,4234,169
555,3608,4234,169
560,3607,4233,169
565,3608,4234,169
570,3609,4233,169
575,3610,4233,169
580,3610,4232,169
585,3609,4231,169
590,3610,4231,169
595,3608,4230,169
600,3607,4229,169
605,3606,4229,169
610,3606,4230,169
615,3606,4230,169
620,3606,4231,169
625,3606,4229,169
630,3607,4229,169
635,3605,4227,169
640,3606,4228,169
645,3607,4228,169
650,3606,4228,169
655,3603,4228,169
660,3604,4228,169
665,3602,4228,169
670,3603,4228,169
675,3603,4227,169
680,3605,4227,169
685,3604,4227,169
690,3605,4228,169
695,3607,4228,169
700,3608,4228,169
705,3608,4228,169
710,3607,4228,169
715,3607,4228,169
720,3607,4227,169
725,3607,4226,169
730,3607,4226,169
735,3606,4227,169
740,3606,4226,169
745,3606,4226,169
750,3607,4226,169
755,3607,4226,169
760,3607,4226,169
765,3608,4226,169
770,3607,4226,169
775,3607,4226,169
780,3607,4226,169
785,3608,4226,169
790,3609,4226,169
795,3610,4226,169
800,3613,4226,169
805,3613,4227,169
810,3613,4227,170
815,3614,4227,170
820,3614,4227,170
825,3614,4226,170
830,3613,4226,169
835,3614,4226,170
840,3614,4225,170
845,3615,4226,170
850,3616,4226,170
855,3616,4225,170
860,3615,4226,170
865,3616,4226,170
870,3615,4225,170
875,3615,4225,170
880,3615,4226,170
885,3616,4225,170
890,3615,4226,170
895,3616,4226,170
900,3616,4226,170
905,3616,4225,170
910,3618,4226,170
915,3618,4226,170
920,3617,4226,170
925,3618,4226,170
930,3619,4227,170
935,3619,4227,170
940,3617,4227,170
945,3619,4227,170
950,3618,4227,170
955,3618,4227,170
960,3617,4227,170
965,3618,4227,170
970,3618,4227,170
975,3617,4226,170
980,3616,4225,170
985,3616,4225,170
990,3614,4224,170
