secs,pps,tps,gps
0,479724,152951,22436
5,475868,151574,22254
10,461336,146900,21575
15,451404,143789,21110
20,448540,142812,20976
25,439919,140115,20573
30,433348,138030,20266
35,432822,137846,20241
40,432532,137723,20227
45,432008,137600,20203
50,429642,136857,20092
55,427631,136215,19998
60,425710,135618,19909
65,421643,134306,19719
70,419758,133727,19631
75,417763,133063,19537
80,415735,132413,19442
85,415073,132211,19411
90,413394,131683,19333
95,412591,131416,19295
100,411752,131119,19256
105,411503,131046,19244
110,411297,130978,19235
115,410327,130666,19189
120,410053,130584,19176
125,409776,130495,19164
130,409674,130457,19159
135,410021,130557,19175
140,410523,130724,19198
145,409835,130496,19166
150,409060,130256,19130
155,408159,129973,19088
160,407615,129802,19063
165,406816,129539,19026
170,406712,129503,19021
175,406441,129421,19008
180,406257,129354,19000
185,405794,129203,18978
190,405609,129139,18969
195,405458,129079,18962
200,405080,128959,18944
205,404969,128926,18939
210,405027,128941,18942
215,405021,128939,18941
220,405114,128959,18946
225,405031,128918,18942
230,404910,128872,18936
235,404950,128882,18938
240,404474,128739,18916
245,403864,128543,18887
250,403618,128456,18875
255,403275,128342,18859
260,403105,128290,18851
265,402799,128198,18837
270,402846,128213,18839
275,402772,128190,18836
280,402440,128082,18820
285,402130,127980,18805
290,401250,127701,18764
295,400763,127542,18741
300,400673,127514,18737
305,400761,127537,18741
310,400694,127522,18738
315,400163,127358,18713
320,400052,127324,18708
325,399569,127174,18685
330,399538,127154,18684
335,399599,127168,18687
340,399513,127141,18683
345,399571,127152,18685
350,399913,127261,18701
355,400143,127337,18712
360,400495,127447,18728
365,400688,127507,18737
370,400834,127553,18744
375,400652,127498,18736
380,400229,127361,18716
385,399805,127222,18696
390,399500,127127,18682
395,399329,127067,18674
400,399140,127008,18665
405,398979,126958,18657
410,398824,126905,18650
415,398771,126895,18648
420,398666,126864,18643
425,398667,126860,18643
430,398582,126829,18639
435,398576,126830,18638
440,398860,126922,18652
445,398725,126883,18645
450,398733,126891,18646
455,398916,126948,18654
460,399192,127036,18667
465,399227,127050,18669
470,399188,127040,18667
475,399145,127027,18665
480,399062,127007,18661
485,398928,126958,18655
490,399063,127000,18661
