secs,pps,tps,gps
0,450402,143195,21061
5,442124,140612,20674
10,430593,136934,20135
15,424293,134955,19841
20,419815,133516,19631
25,410249,130483,19184
30,405901,129098,18981
35,404147,128619,18899
40,403015,128242,18846
45,402995,128242,18846
50,400635,127485,18735
55,398945,126967,18656
60,397215,126381,18575
65,393537,125223,18404
70,392077,124753,18335
75,389647,123988,18222
80,387818,123409,18136
85,387360,123265,18115
90,385557,122700,18030
95,384314,122312,17972
100,383701,122116,17944
105,383414,122014,17930
110,383306,121990,17925
115,382144,121626,17871
120,381758,121482,17853
125,381421,121383,17837
130,381386,121362,17835
135,381648,121446,17848
140,382151,121619,17871
145,381591,121444,17845
150,380770,121172,17807
155,380284,121020,17784
160,379844,120876,17763
165,379155,120665,17731
170,379090,120639,17728
175,378769,120544,17714
180,378895,120585,17719
185,378508,120468,17701
190,378269,120383,17690
195,378255,120369,17689
200,377823,120234,17669
205,377849,120235,17670
210,377975,120278,17676
215,377990,120277,17677
220,378002,120280,17677
225,377836,120239,17670
230,377719,120202,17664
235,377743,120213,17665
240,377511,120135,17654
245,376929,119951,17627
250,376823,119910,17622
255,376255,119730,17595
260,375908,119621,17579
265,375439,119469,17557
270,375514,119494,17561
275,375535,119507,17562
280,375131,119377,17543
285,374716,119239,17523
290,373780,118948,17480
295,373340,118800,17459
300,373095,118724,17447
305,373134,118736,17449
310,373062,118715,17446
315,372637,118580,17426
320,372504,118539,17420
325,372058,118396,17399
330,371982,118373,17395
335,371954,118365,17394
340,371841,118337,17389
345,371894,118358,17391
350,372169,118442,17404
355,372455,118531,17417
360,372810,118645,17434
365,373018,118717,17443
370,373138,118760,17449
375,372953,118696,17440
380,372511,118551,17420
385,372108,118421,17401
390,371881,118346,17390
395,371731,118296,17383
400,371665,118275,17380
405,371586,118255,17376
410,371388,118190,17367
415,371261,118152,17361
420,371149,118118,17356
425,371148,118121,17356
430,371112,118108,17354
435,371074,118095,17352
440,371314,118174,17364
445,371214,118135,17359
450,371195,118126,17358
455,371367,118184,17366
460,371628,118267,17378
465,371701,118285,17381
470,371590,118253,17376
475,371590,118252,17376
480,371517,118232,17373
485,371457,118216,17370
490,371583,118251,17376
