secs,pps,tps,gps
0,213954,96321,14466
2,211165,94871,14276
4,209414,94139,14158
6,208196,93578,14076
8,208278,93645,14081
10,208443,93659,14092
12,208550,93730,14099
14,208479,93694,14094
16,208157,93536,14072
18,208175,93554,14074
20,208367,93671,14087
22,208394,93644,14089
24,208522,93689,14097
26,208407,93662,14090
28,208292,93580,14082
30,208303,93587,14082
32,208565,93669,14100
34,208415,93600,14090
36,208377,93650,14093
38,207903,93642,14095
40,207453,93605,14093
42,207100,93631,14097
44,206903,93697,14108
46,206454,93647,14101
48,206208,93651,14104
50,206004,93708,14110
52,205770,93714,14111
54,205541,93725,14113
56,205361,93753,14117
58,205317,93818,14128
60,205191,93849,14134
62,205076,93874,14139
64,205009,93908,14146
66,204924,93955,14151
68,204843,93989,14157
70,204715,93999,14158
72,204593,94005,14159
74,204506,94028,14163
76,204381,94030,14163
78,204255,94021,14161
80,204113,94007,14160
82,204036,94021,14162
84,203744,93939,14149
86,203635,93930,14147
88,203514,93920,14146
90,203365,93891,14142
92,203195,93844,14136
94,203093,93828,14134
96,202993,93816,14132
98,202828,93771,14126
100,202769,93766,14126
102,202751,93785,14130
104,202659,93767,14128
106,202553,93747,14126
108,202503,93751,14126
110,202428,93740,14125
112,202253,93689,14117
114,202218,93706,14119
116,202150,93695,14117
118,202051,93675,14114
120,201952,93658,14111
122,201892,93660,14110
124,201871,93668,14112
126,201785,93657,14109
128,201720,93658,14108
130,201695,93661,14109
132,201605,93642,14105
134,201553,93637,14105
136,201526,93641,14106
138,201534,93662,14109
140,201491,93663,14108
142,201404,93644,14105
144,201361,93644,14104
146,201326,93647,14104
148,201288,93645,14104
150,201263,93653,14105
152,201257,93666,14106
154,201234,93675,14107
156,201227,93684,14108
158,201217,93697,14110
160,201219,93706,14112
162,201196,93716,14112
164,201179,93721,14113
166,201162,93727,14114
168,201184,93744,14117
170,201131,93733,14115
172,201096,93726,14114
174,201098,93737,14116
176,201091,93741,14117
178,201043,93731,14116
180,201028,93733,14116
182,201003,93734,14116
184,200975,93733,14116
186,200953,93729,14115
188,200938,93733,14116
190,200910,93729,14115
192,200898,93729,14116
194,200846,93711,14113
196,200773,93687,14110
198,200728,93671,14108
200,200676,93656,14105
202,200663,93657,14106
204,200637,93654,14105
206,200625,93657,14105
208,200606,93649,14104
210,200547,93635,14101
212,200497,93619,14098
214,200475,93620,14098
216,200463,93622,14098
218,200427,93616,14097
220,200412,93615,14097
222,200382,93605,14096
224,200350,93597,14095
226,200327,93588,14094
228,200275,93568,14091
230,200286,93577,14093
232,200291,93586,14094
234,200241,93570,14092
236,200219,93569,14091
238,200198,93568,14091
240,200181,93568,14090
242,200157,93563,14089
244,200097,93543,14086
246,200068,93533,14085
248,200063,93536,14085
250,200075,93547,14087
252,200063,93547,14087
254,200093,93567,14090
256,200087,93570,14090
258,200076,93571,14090
260,200085,93580,14092
262,200078,93583,14092
264,200052,93581,14091
266,200044,93580,14091
268,200037,93580,14091
270,200068,93579,14091
272,200082,93558,14088
274,200151,93559,14089
276,200211,93558,14089
278,200272,93560,14089
280,200316,93556,14088
282,200378,93557,14088
284,200341,93514,14082
286,200366,93500,14080
288,200406,93493,14079
290,200459,93493,14079
292,200526,93498,14080
294,200565,93492,14079
296,200623,93494,14079
298,200698,93503,14081
300,200763,93508,14082
302,200799,93505,14081
304,200813,93490,14079
306,200837,93481,14077
308,200876,93476,14076
310,200904,93467,14075
312,200977,93480,14077
314,201035,93482,14078
316,201068,93478,14077
318,201080,93483,14077
320,201073,93488,14078
322,201077,93498,14079
324,201068,93500,14080
326,201048,93497,14080
328,201035,93499,14080
330,201007,93493,14079
332,200984,93487,14078
334,200949,93477,14077
336,200938,93481,14077
338,200932,93483,14078
340,200922,93488,14078
342,200925,93493,14079
344,200925,93499,14080
346,200915,93502,14080
348,200896,93500,14080
350,200897,93505,14081
352,200892,93510,14082
354,200851,93499,14080
356,200817,93488,14078
358,200826,93498,14080
360,200870,93526,14084
362,200877,93536,14085
364,200884,93545,14087
366,200871,93545,14087
368,200876,93555,14088
370,200872,93561,14088
372,200864,93562,14089
374,200853,93563,14089
376,200839,93564,14089
378,200818,93559,14088
380,200794,93553,14087
382,200786,93554,14087
384,200772,93554,14087
386,200757,93550,14087
388,200742,93547,14087
390,200739,93549,14087
392,200725,93548,14087
394,200721,93554,14087
396,200708,93550,14087
398,200702,93552,14087
400,200698,93553,14088
402,200681,93551,14087
404,200664,93548,14087
406,200656,93548,14087
408,200639,93546,14087
410,200634,93546,14087
412,200619,93543,14087
414,200617,93546,14087
416,200631,93556,14089
418,200620,93556,14089
420,200599,93550,14088
422,200601,93555,14089
424,200601,93559,14089
426,200567,93549,14088
428,200568,93553,14088
430,200560,93554,14088
432,200552,93555,14088
434,200555,93561,14089
436,200553,93564,14090
438,200549,93567,14090
440,200544,93569,14090
442,200541,93572,14091
444,200539,93576,14091
446,200542,93583,14092
448,200548,93590,14093
450,200549,93594,14094
452,200539,93592,14094
454,200538,93594,14094
456,200523,93592,14094
458,200504,93588,14093
460,200502,93591,14093
462,200479,93586,14092
464,200469,93585,14092
466,200460,93585,14092
468,200457,93586,14092
470,200451,93587,14092
472,200448,93590,14093
474,200448,93593,14093
476,200420,93584,14092
478,200415,93584,14092
480,200398,93581,14091
482,200364,93568,14089
484,200348,93564,14089
486,200337,93562,14088
488,200316,93554,14087
490,200307,93554,14087
492,200283,93545,14086
494,200272,93544,14086
496,200265,93544,14086
498,200250,93541,14085
500,200248,93545,14086
502,200233,93540,14085
504,200224,93541,14085
506,200221,93542,14085
508,200218,93542,14085
510,200215,93543,14086
512,200208,93543,14085
514,200207,93544,14086
516,200180,93536,14084
518,200179,93538,14085
520,200165,93534,14084
522,200165,93539,14085
524,200155,93537,14084
526,200152,93539,14085
528,200138,93534,14084
530,200138,93537,14084
532,200135,93538,14085
534,200123,93534,14084
536,200120,93536,14084
538,200114,93538,14084
540,200114,93540,14085
542,200115,93544,14085
544,200122,93547,14086
546,200101,93541,14085
548,200100,93544,14085
550,200100,93547,14086
552,200097,93547,14086
554,200100,93550,14087
556,200098,93553,14087
558,200109,93550,14086
560,200134,93549,14086
562,200171,93552,14087
564,200189,93548,14086
566,200227,93550,14086
568,200254,93550,14086
570,200282,93549,14086
572,200314,93550,14087
574,200340,93550,14086
576,200370,93551,14087
578,200390,93549,14086
580,200419,93550,14086
582,200452,93552,14087
584,200476,93551,14086
586,200506,93552,14087
588,200531,93551,14086
590,200558,93551,14086
592,200593,93553,14087
594,200626,93556,14088
596,200657,93560,14088
598,200689,93562,14088
600,200725,93566,14089
602,200757,93567,14089
604,200787,93571,14090
606,200799,93568,14089
608,200811,93563,14088
610,200830,93560,14088
612,200859,93561,14088
614,200873,93558,14088
616,200902,93559,14088
618,200927,93559,14088
620,200961,93563,14089
622,200993,93567,14089
624,201013,93566,14089
626,201042,93569,14089
628,201066,93568,14089
630,201081,93565,14089
632,201105,93564,14089
634,201131,93566,14089
636,201166,93570,14090
638,201197,93573,14090
640,201226,93575,14091
642,201251,93576,14091
644,201261,93571,14090
646,201252,93566,14089
648,201242,93566,14089
650,201232,93565,14089
652,201236,93569,14090
654,201239,93574,14091
656,201240,93576,14091
658,201241,93582,14092
660,201247,93588,14093
662,201247,93592,14093
664,201237,93591,14093
666,201229,93590,14093
668,201210,93584,14092
670,201194,93581,14092
672,201180,93579,14091
674,201170,93577,14091
676,201165,93578,14091
678,201150,93574,14091
680,201150,93577,14091
682,201143,93578,14091
684,201125,93573,14090
686,201118,93572,14090
688,201105,93560,14089
690,201103,93563,14089
692,201096,93564,14089
694,201089,93563,14089
696,201081,93563,14089
698,201067,93560,14088
700,201060,93560,14088
702,201055,93561,14088
704,201049,93563,14089
706,201038,93561,14088
708,201035,93563,14089
710,201024,93562,14088
712,201013,93561,14088
714,201014,93564,14088
716,201019,93569,14089
718,201021,93572,14090
720,201022,93575,14090
722,201023,93579,14091
724,201022,93581,14091
726,201015,93581,14091
728,201009,93582,14091
730,201005,93584,14092
732,201001,93586,14092
734,200998,93587,14092
736,201002,93591,14093
738,200997,93592,14093
740,200990,93590,14093
742,200985,93592,14093
744,200963,93585,14092
746,200929,93571,14090
748,200924,93571,14090
750,200912,93568,14089
752,200906,93567,14089
754,200900,93567,14089
756,200893,93566,14089
758,200888,93567,14089
760,200881,93566,14089
762,200884,93570,14090
764,200882,93572,14090
766,200873,93570,14090
768,200871,93572,14090
770,200867,93574,14090
772,200853,93571,14090
774,200855,93574,14090
776,200850,93573,14090
778,200843,93572,14090
780,200835,93572,14090
782,200817,93566,14089
784,200799,93561,14088
786,200784,93556,14088
788,200773,93554,14087
790,200759,93549,14087
792,200745,93545,14086
794,200719,93535,14085
796,200699,93528,14084
798,200682,93523,14083
800,200670,93521,14082
802,200660,93518,14082
804,200653,93517,14082
806,200649,93517,14082
808,200634,93513,14081
810,200617,93508,14080
812,200604,93504,14080
814,200591,93499,14079
816,200588,93500,14079
818,200591,93503,14080
820,200594,93507,14081
822,200595,93510,14081
824,200591,93511,14081
826,200590,93513,14081
828,200585,93513,14081
830,200585,93514,14082
832,200573,93511,14081
834,200574,93513,14082
836,200572,93513,14082
838,200567,93513,14082
840,200563,93513,14082
842,200563,93514,14082
844,200563,93516,14083
846,200566,93519,14083
848,200563,93521,14083
850,200564,93523,14084
852,200566,93527,14084
854,200567,93529,14085
856,200576,93529,14085
858,200593,93529,14084
860,200610,93529,14084
862,200625,93526,14084
864,200643,93527,14084
866,200666,93529,14085
868,200682,93528,14084
870,200697,93527,14084
872,200711,93526,14084
874,200719,93522,14083
876,200734,93521,14083
878,200757,93523,14084
880,200778,93524,14084
882,200793,93524,14084
884,200818,93527,14084
886,200833,93526,14084
888,200853,93527,14084
890,200866,93526,14084
892,200884,93526,14084
894,200908,93529,14085
896,200924,93530,14085
898,200936,93527,14084
900,200947,93524,14084
902,200966,93525,14084
904,200984,93526,14084
906,200971,93524,14084
908,200961,93522,14084
910,200960,93524,14084
912,200949,93521,14083
914,200950,93524,14084
916,200933,93518,14083
918,200919,93513,14082
920,200911,93512,14082
922,200903,93511,14082
924,200893,93508,14082
926,200887,93508,14082
928,200873,93504,14081
930,200857,93497,14080
932,200843,93493,14080
934,200831,93490,14079
936,200815,93485,14078
938,200810,93485,14078
940,200809,93487,14079
942,200805,93487,14079
944,200797,93486,14078
946,200784,93482,14078
948,200776,93480,14078
950,200764,93476,14077
952,200758,93476,14077
954,200748,93474,14077
956,200739,93473,14076
958,200721,93467,14075
960,200705,93462,14075
962,200703,93463,14075
964,200699,93464,14075
966,200688,93461,14074
968,200674,93457,14074
970,200654,93450,14073
972,200641,93446,14072
974,200622,93439,14071
976,200615,93437,14071
978,200597,93430,14070
980,200586,93427,14069
982,200571,93423,14069
984,200550,93416,14067
986,200530,93409,14066
988,200518,93406,14066
990,200506,93402,14065
992,200506,93404,14066
994,200505,93406,14066
996,200508,93410,14066
998,200511,93414,14067
1000,200515,93417,14068
1002,200515,93420,14068
1004,200513,93420,14068
1006,200515,93423,14068
1008,200507,93422,14068
1010,200506,93424,14068
1012,200509,93426,14069
1014,200509,93429,14069
1016,200506,93430,14069
1018,200502,93430,14069
1020,200501,93431,14070
1022,200497,93431,14070
1024,200490,93430,14069
1026,200484,93428,14069
1028,200478,93427,14069
1030,200468,93425,14069
1032,200457,93421,14068
1034,200448,93419,14068
1036,200444,93419,14068
1038,200433,93415,14067
1040,200420,93411,14067
1042,200412,93408,14066
1044,200401,93405,14066
1046,200403,93408,14066
1048,200398,93408,14066
1050,200394,93408,14066
1052,200388,93408,14066
1054,200380,93406,14066
1056,200378,93407,14066
1058,200372,93407,14066
1060,200370,93407,14066
1062,200366,93407,14066
1064,200367,93409,14066
1066,200365,93410,14066
1068,200358,93407,14066
1070,200354,93408,14066
1072,200348,93406,14066
1074,200339,93404,14066
1076,200329,93401,14065
1078,200323,93400,14065
1080,200313,93397,14065
1082,200305,93394,14064
1084,200298,93393,14064
1086,200298,93390,14064
1088,200297,93392,14064
1090,200293,93392,14064
1092,200294,93394,14064
1094,200290,93395,14064
1096,200283,93393,14064
1098,200283,93395,14064
1100,200302,93397,14065
1102,200313,93395,14064
1104,200329,93396,14065
1106,200347,93397,14065
1108,200359,93396,14065
1110,200372,93396,14065
1112,200385,93397,14064
1114,200400,93398,14065
1116,200412,93397,14064
1118,200425,93396,14064
1120,200434,93394,14064
1122,200444,93392,14064
1124,200470,93393,14064
1126,200503,93395,14064
1128,200535,93395,14064
1130,200563,93395,14064
1132,200592,93394,14064
1134,200625,93396,14064
1136,200661,93397,14065
1138,200691,93397,14065
1140,200720,93397,14065
1142,200748,93396,14064
1144,200770,93393,14064
1146,200798,93393,14064
1148,200832,93395,14064
1150,200863,93395,14064
1152,200893,93395,14064
1154,200925,93396,14064
1156,200953,93395,14064
1158,200977,93394,14064
1160,201004,93394,14064
1162,201032,93393,14064
1164,201062,93393,14064
1166,201095,93394,14064
1168,201118,93392,14064
1170,201149,93393,14064
1172,201178,93393,14064
1174,201202,93392,14064
1176,201232,93394,14064
1178,201264,93394,14064
1180,201289,93394,14064
1182,201310,93391,14063
1184,201337,93391,14063
1186,201357,93388,14063
1188,201381,93386,14063
1190,201400,93385,14063
1192,201406,93384,14062
1194,201408,93379,14062
1196,201416,93378,14061
1198,201421,93375,14061
1200,201433,93375,14061
1202,201443,93374,14061
1204,201449,93373,14061
1206,201453,93370,14060
1208,201466,93370,14060
1210,201466,93364,14060
1212,201474,93363,14059
1214,201476,93359,14059
1216,201486,93359,14059
1218,201490,93357,14058
1220,201494,93353,14058
1222,201496,93351,14057
1224,201501,93347,14057
1226,201506,93345,14057
1228,201507,93341,14056
1230,201509,93338,14056
1232,201518,93337,14055
1234,201527,93335,14055
1236,201531,93332,14055
1238,201537,93330,14055
1240,201538,93327,14054
1242,201545,93325,14054
1244,201549,93323,14053
1246,201555,93321,14053
1248,201561,93320,14053
1250,201558,93317,14052
