secs,pps,tps,gps,glst,bpc
0,363381,183355,4446,2640,0.004
2,199125,338464,4368,4818,0.005
4,199892,469074,4325,7270,0.007
6,250227,615985,4264,9007,0.011
8,240527,770728,4271,10093,0.013
10,219581,921997,4261,12237,0.015
12,190954,1072275,4250,13662,0.015
14,193564,1223217,4243,15423,0.018
16,199899,1372827,4234,17587,0.021
18,196441,1528640,4248,2145,0.023
20,200208,1678123,4242,4067,0.025
22,216158,1789406,4195,271,0.029
24,209378,1940684,4192,2129,0.032
26,211757,2071811,4193,3562,0.034
28,217179,2224382,4194,5305,0.038
30,230143,2374313,4191,6799,0.043
32,230508,2525264,4190,8792,0.046
34,238360,2676513,4189,11080,0.050
36,233456,2829389,4192,12334,0.051
38,236739,2977192,4187,14510,0.055
40,242848,3105915,4186,16576,0.059
42,243433,3260415,4190,18196,0.062
44,244336,3411817,4190,20110,0.065
46,245115,3562462,4190,21585,0.068
48,247922,3712012,4188,23484,0.072
50,249173,3864947,4190,25408,0.075
52,253268,3989496,4185,27795,0.079
54,251408,4135406,4180,30922,0.082
56,253119,4284546,4179,33153,0.085
58,247836,4438917,4182,438,0.087
60,260643,4591944,4185,1582,0.094
62,258333,4737103,4180,4985,0.096
64,263703,4850756,4167,408,0.101
66,259789,5002418,4169,2035,0.103
68,269033,5130812,4168,3448,0.109
70,279051,5282840,4170,4939,0.117
72,277458,5432261,4169,6821,0.119
74,273158,5582521,4170,9200,0.121
76,273959,5733687,4170,10761,0.124
78,280143,5885741,4172,11590,0.130
80,276568,6039010,4174,12774,0.132
82,273762,6191272,4176,14162,0.134
84,270800,6344077,4178,15558,0.136
86,278598,6495311,4178,17118,0.143
88,278190,6608691,4168,866,0.147
90,275793,6759299,4169,2676,0.150
92,274269,6914868,4172,4466,0.152
94,273429,7043459,4171,6866,0.155
96,272708,7195630,4172,8413,0.158
98,272963,7344288,4171,10726,0.160
100,272125,7492120,4170,13123,0.164
102,272976,7642881,4170,14783,0.168
104,272316,7794846,4171,16281,0.171
106,267946,7953976,4175,930,0.168
108,268542,8103069,4175,2331,0.171
110,267628,8258062,4177,3494,0.174
112,266519,8413284,4180,4810,0.177
114,265282,8563176,4180,5794,0.179
116,264588,8686514,4177,9329,0.182
118,262621,8839650,4178,11262,0.183
120,262309,8986791,4177,13840,0.186
122,262060,9135770,4176,15785,0.189
124,261818,9264342,4176,17801,0.192
126,260759,9413836,4176,19182,0.194
128,262789,9561509,4175,21462,0.199
130,262365,9711216,4175,23618,0.201
132,262008,9835161,4172,1492,0.205
134,259812,9984458,4172,2879,0.206
136,258911,10136048,4173,4638,0.209
138,258042,10287898,4173,6219,0.211
140,254771,10441175,4175,7992,0.212
142,255649,10592299,4175,9364,0.215
144,253954,10744697,4176,10872,0.217
146,251774,10905425,4180,378,0.215
148,252095,11055211,4180,2387,0.218
150,251648,11202720,4179,5184,0.221
152,251059,11351179,4178,7136,0.222
154,250817,11479731,4178,9461,0.225
156,250274,11629148,4178,10918,0.228
158,259666,11778802,4177,12907,0.239
160,266366,11930046,4178,14420,0.249
162,264216,12081376,4178,16143,0.250
164,262621,12205611,4177,18617,0.251
166,265343,12355716,4177,20613,0.257
168,269177,12509069,4178,22297,0.262
170,269038,12656352,4177,24609,0.266
172,269518,12803514,4176,26242,0.270
174,267310,12954073,4176,27935,0.271
