secs,pps,tps
0,3138703,2414400
5,3151566,2421127
10,3096528,2386304
15,3084163,2375688
20,3068914,2357920
25,3049561,2346702
30,3005159,2311257
35,2971852,2282180
40,2943458,2262056
45,2911711,2236320
50,2848744,2187683
55,2834328,2177314
60,2816910,2164491
65,2818660,2164513
70,2807405,2155998
75,2799402,2151184
80,2792297,2144974
85,2781917,2137040
90,2774964,2131386
95,2766179,2124027
100,2766479,2124679
105,2759764,2119273
110,2757672,2118036
115,2752652,2114233
120,2750633,2112474
125,2745047,2108221
130,2730344,2096672
135,2730633,2097677
140,2732308,2098339
145,2731704,2097714
150,2732715,2098996
155,2735806,2101436
160,2739524,2104159
165,2741315,2105399
170,2742762,2106385
175,2747037,2109565
180,2742610,2106562
185,2745278,2109011
190,2746759,2109341
195,2745805,2108655
200,2745751,2108824
205,2749164,2111193
210,2752318,2113837
215,2754896,2115726
220,2757333,2117802
225,2758436,2118554
230,2760570,2120107
235,2762952,2121991
240,2764139,2122817
245,2766197,2124187
250,2768630,2125986
255,2772812,2129266
260,2775552,2131429
265,2777577,2132672
270,2777794,2133248
275,2780906,2135341
280,2782120,2136558
285,2783598,2137514
290,2785604,2139216
295,2787137,2140218
300,2788254,2141232
305,2790911,2143320
310,2790213,2142920
315,2788081,2141509
320,2785067,2139106
325,2781157,2136115
330,2778795,2134218
335,2774157,2130757
340,2774368,2130757
345,2773923,2130444
350,2773380,2130144
355,2773065,2130109
360,2773304,2130317
365,2772224,2129413
370,2770503,2127752
375,2767167,2125374
380,2765748,2124215
385,2765646,2124413
390,2764848,2123899
395,2764505,2123326
400,2764381,2123497
405,2765790,2124445
410,2765951,2124591
415,2767217,2125591
420,2768700,2126680
425,2769230,2127265
430,2769080,2127016
435,2767553,2125931
440,2768568,2126588
445,2769810,2127642
450,2768391,2126635
455,2770066,2127877
460,2771271,2128755
465,2772238,2129449
470,2772954,2130090
475,2771856,2129257
480,2771045,2128576
485,2770643,2128484
490,2769577,2127607
495,2768671,2126721
500,2767404,2126019
505,2764081,2123268
510,2763213,2122677
515,2762490,2122068
520,2761904,2121567
525,2761910,2121835
530,2760176,2120321
535,2754770,2116183
540,2752416,2114617
545,2749126,2112022
550,2746093,2109628
555,2742629,2106959
560,2739668,2104856
565,2738469,2103996
570,2737542,2103344
575,2737304,2102941
580,2736841,2102763
585,2736964,2102809
590,2737098,2103033
595,2736164,2102317
600,2736243,2102509
605,2737232,2103172
610,2738037,2103749
615,2737859,2103778
620,2738907,2104385
625,2739069,2104572
630,2738964,2104498
635,2737586,2103439
640,2736703,2102762
645,2737433,2103333
650,2737052,2103098
655,2737472,2103378
660,2737400,2103380
665,2737319,2103470
670,2735865,2102205
675,2735210,2101753
680,2734269,2101126
685,2733856,2100669
690,2733455,2100364
695,2734154,2100957
700,2734341,2101060
705,2733512,2100516
710,2733743,2100698
715,2734312,2101006
720,2734408,2101087
725,2734264,2100890
730,2733558,2100529
735,2733734,2100625
740,2734453,2101053
745,2735032,2101551
750,2735336,2101879
755,2735452,2101887
760,2735055,2101628
765,2735809,2102130
770,2735632,2102042
775,2735079,2101703
780,2734874,2101466
785,2733530,2100556
790,2732663,2099850
795,2732642,2099811
800,2732642,2099815
805,2732556,2099875
810,2732114,2099576
815,2732572,2099934
820,2732785,2100102
825,2732898,2100152
830,2732663,2099973
835,2733138,2100264
840,2733104,2100321
845,2732751,2099973
850,2732155,2099670
855,2731726,2099302
860,2732166,2099531
865,2732147,2099596
870,2731218,2098880
875,2731404,2098878
880,2730792,2098445
885,2730997,2098644
890,2730969,2098736
895,2729782,2097783
900,2729309,2097311
905,2729071,2097239
910,2728685,2096908
915,2727846,2096263
920,2727629,2096097
925,2726636,2095367
930,2724306,2093533
935,2720751,2090787
940,2717484,2088332
945,2716156,2087377
950,2713185,2085012
955,2712098,2084241
960,2711433,2083660
965,2710576,2083034
970,2710152,2082742
975,2707752,2080921
980,2706325,2079718
985,2704198,2078075
990,2703129,2077218
