secs,pps,tps
0,3156650,2229283
5,3171164,2280500
10,3119793,2254630
15,3101912,2267519
20,3093459,2260755
25,3064884,2234353
30,3038205,2229550
35,3015543,2213926
40,2994844,2190579
45,2978415,2190572
50,2951167,2165341
55,2933920,2150851
60,2922093,2146798
65,2903386,2129128
70,2884875,2113793
75,2877419,2113709
80,2872270,2107020
85,2868024,2107169
90,2860239,2090370
95,2851849,2086024
100,2843580,2081601
105,2841038,2077824
110,2839715,2075104
115,2835064,2075524
120,2828726,2073176
125,2825362,2066858
130,2817587,2056464
135,2812330,2054883
140,2809849,2056234
145,2804487,2050731
150,2799314,2046272
155,2794356,2044532
160,2790780,2042931
165,2787311,2041346
170,2787067,2040642
175,2783434,2036638
180,2783990,2040945
185,2782680,2037337
190,2778758,2033871
195,2775631,2035658
200,2774125,2032079
205,2771197,2033778
210,2767839,2028213
215,2764120,2024919
220,2763392,2026861
225,2761380,2023718
230,2760816,2023418
235,2759030,2024930
240,2755496,2022277
245,2751254,2019606
250,2748776,2017234
255,2743711,2012879
260,2741286,2012573
265,2737215,2008493
270,2734996,2008278
275,2733487,2006208
280,2729298,2004395
285,2728813,2004060
290,2725492,2000614
295,2723108,2000565
300,2721483,1998882
305,2718136,1997160
310,2717578,1994203
315,2713326,1990955
320,2710163,1989362
325,2708232,1987895
330,2706871,1988047
335,2703520,1985075
340,2703542,1985475
345,2700594,1983965
350,2694104,1978554
355,2692437,1978734
360,2690807,1977459
365,2689533,1976447
370,2686716,1975307
375,2683331,1971283
380,2681085,1970220
385,2679025,1969279
390,2678026,1969804
395,2678091,1968825
400,2676751,1966773
405,2674108,1965682
410,2672354,1964923
415,2671171,1963975
420,2670984,1963174
425,2668569,1961270
430,2666255,1961576
435,2662804,1957353
440,2660687,1956575
445,2657100,1953470
450,2655640,1952878
455,2652916,1949873
460,2651260,1948269
465,2649310,1947578
470,2644681,1943684
475,2643070,1943222
480,2641218,1941741
485,2638389,1941129
490,2638720,1937600
495,2638710,1937303
500,2638171,1937666
505,2639651,1938517
510,2640424,1939875
515,2641553,1940467
520,2643196,1941203
525,2644071,1942612
530,2643912,1942215
535,2645072,1942841
540,2646034,1944291
545,2646982,1944761
550,2648403,1945358
555,2650456,1947637
560,2650719,1948051
565,2651731,1947651
570,2653579,1949976
575,2654066,1950333
580,2655168,1951615
585,2655367,1951968
590,2656282,1952424
595,2657862,1953623
600,2658583,1954148
605,2659546,1954442
610,2661120,1956494
615,2662277,1956933
620,2663188,1957398
625,2664302,1959289
630,2665485,1959556
635,2666944,1960662
640,2668815,1963509
645,2669875,1963692
650,2671428,1964055
655,2673018,1965864
660,2674100,1966874
665,2675368,1967232
670,2676394,1967605
675,2677497,1968632
680,2678182,1969530
685,2679027,1969777
690,2679869,1970785
695,2681705,1972376
700,2682380,1972504
705,2683742,1973531
710,2684448,1974426
715,2684894,1974567
720,2685431,1975503
725,2686895,1976429
730,2687474,1976500
735,2688570,1978210
740,2689302,1978226
745,2690055,1978432
750,2691287,1979892
755,2691707,1980021
760,2692452,1980228
765,2693560,1981587
770,2694962,1982475
775,2695286,1982539
780,2695753,1982823
785,2696582,1982946
790,2697631,1984402
795,2697861,1984559
800,2697362,1984489
805,2696737,1983982
810,2696013,1983402
815,2696152,1983491
820,2695581,1983025
825,2694290,1982483
830,2693454,1981341
835,2693711,1981517
840,2693908,1982124
845,2694326,1982268
850,2694074,1981746
855,2693812,1981365
860,2693095,1980797
865,2691815,1979641
870,2690658,1978721
875,2689590,1978181
880,2688912,1977642
885,2686513,1976061
890,2684621,1974432
895,2683376,1973895
900,2683162,1973421
905,2682256,1973128
910,2682531,1973182
915,2681943,1971661
920,2681736,1972343
925,2682118,1972048
930,2681614,1971643
935,2681144,1971690
940,2680487,1970747
945,2680334,1970469
950,2679429,1970034
955,2679171,1969680
960,2678673,1969698
965,2678593,1969348
970,2678322,1968988
975,2678068,1969179
980,2678176,1969251
985,2678792,1969977
990,2678592,1969670
